date,count,new cases,multiplication factor
03-22-2020,62,+0,0.000
03-23-2020,79,+17,1.274
03-24-2020,86,+7,1.089
03-25-2020,98,+12,1.140
03-26-2020,119,+21,1.214
03-27-2020,160,+41,1.345
03-22-2020,9,+-151,0.056
03-23-2020,14,+5,1.556
03-24-2020,14,+0,1.000
03-25-2020,22,+8,1.571
03-26-2020,27,+5,1.227
03-27-2020,34,+7,1.259
03-22-2020,131,+97,3.853
03-23-2020,155,+24,1.183
03-24-2020,169,+14,1.090
03-25-2020,247,+78,1.462
03-26-2020,303,+56,1.227
03-27-2020,367,+64,1.211
03-22-2020,1900,+1533,5.177
03-23-2020,2442,+542,1.285
03-24-2020,2869,+427,1.175
03-25-2020,3285,+416,1.145
03-26-2020,3914,+629,1.191
03-27-2020,4657,+743,1.190
03-22-2020,1034,+-3623,0.222
03-23-2020,1458,+424,1.410
03-24-2020,1880,+422,1.289
03-25-2020,2260,+380,1.202
03-26-2020,2735,+475,1.210
03-27-2020,3385,+650,1.238
03-22-2020,9654,+6269,2.852
03-23-2020,12305,+2651,1.275
03-24-2020,14904,+2599,1.211
03-25-2020,17856,+2952,1.198
03-26-2020,21873,+4017,1.225
03-27-2020,25573,+3700,1.169
03-22-2020,451,+-25122,0.018
03-23-2020,567,+116,1.257
03-24-2020,675,+108,1.190
03-25-2020,827,+152,1.225
03-26-2020,997,+170,1.206
03-27-2020,1170,+173,1.174
