Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+0,1.000
03-24-2020,25,0,0,0,+7,1.389
03-25-2020,27,0,0,0,+2,1.080
03-26-2020,50,0,0,0,+23,1.852
03-27-2020,50,0,0,0,+0,1.000
03-28-2020,71,0,0,0,+21,1.420
03-29-2020,110,0,0,0,+39,1.549
03-30-2020,110,0,0,0,+0,1.000
03-31-2020,181,2,0,0,+71,1.645
04-01-2020,181,2,0,0,+0,1.000
04-02-2020,212,2,0,0,+31,1.171
04-03-2020,260,7,0,0,+48,1.226
04-04-2020,294,9,0,0,+34,1.131
04-05-2020,354,10,0,0,+60,1.204
04-06-2020,367,12,0,0,+13,1.037
04-07-2020,388,12,0,0,+21,1.057
04-08-2020,417,14,0,0,+29,1.075
04-09-2020,417,14,0,0,+0,1.000
04-10-2020,475,14,0,0,+58,1.139
04-11-2020,543,23,0,0,+68,1.143
04-12-2020,647,26,0,621,+104,1.192
04-13-2020,693,26,0,667,+46,1.071
04-14-2020,726,27,0,699,+33,1.048
04-15-2020,726,27,0,699,+0,1.000
04-16-2020,758,28,0,730,+32,1.044
04-17-2020,805,29,0,776,+47,1.062
04-18-2020,860,31,0,829,+55,1.068
04-19-2020,915,35,0,880,+55,1.064
04-20-2020,915,35,0,880,+0,1.000
04-21-2020,996,46,0,950,+81,1.089
04-22-2020,1033,46,0,987,+37,1.037
04-23-2020,1082,50,0,1032,+49,1.047
04-24-2020,1252,57,0,1195,+170,1.157
04-25-2020,1302,57,0,1245,+50,1.040
04-26-2020,1348,58,0,1290,+46,1.035
04-27-2020,1391,60,0,1331,+43,1.032
04-28-2020,1430,61,0,1369,+39,1.028
04-29-2020,1490,62,0,1428,+60,1.042
04-30-2020,1585,63,0,1522,+95,1.064
05-01-2020,1665,68,0,1597,+80,1.050
05-02-2020,1730,68,0,1662,+65,1.039
05-03-2020,1780,68,0,1712,+50,1.029
05-04-2020,1815,68,0,1747,+35,1.020
05-05-2020,1883,72,0,1811,+68,1.037
05-06-2020,1952,75,0,1877,+69,1.037
05-07-2020,2046,78,0,1968,+94,1.048
05-08-2020,2117,80,0,2037,+71,1.035
05-09-2020,2205,81,0,2124,+88,1.042
05-10-2020,2242,81,0,2161,+37,1.017
05-11-2020,2278,81,0,2197,+36,1.016
05-12-2020,2322,84,0,2238,+44,1.019
05-13-2020,2374,86,0,2288,+52,1.022
05-14-2020,2448,91,0,2357,+74,1.031
05-15-2020,2520,99,0,2421,+72,1.029
05-16-2020,2575,102,0,2473,+55,1.022
05-17-2020,2613,102,0,2511,+38,1.015
05-18-2020,2640,102,0,2538,+27,1.010
05-19-2020,2675,104,0,2571,+35,1.013
05-20-2020,2737,108,0,2629,+62,1.023
05-21-2020,2759,108,0,2651,+22,1.008
05-22-2020,2802,111,0,2691,+43,1.016
05-23-2020,2856,112,0,2744,+54,1.019
05-24-2020,2869,112,0,2757,+13,1.005
05-25-2020,2908,112,0,2796,+39,1.014
05-26-2020,2964,116,0,2848,+56,1.019
05-27-2020,3006,118,0,2888,+42,1.014
05-28-2020,3070,118,0,2952,+64,1.021
05-29-2020,3142,120,0,3022,+72,1.023
05-30-2020,3224,120,0,3104,+82,1.026
05-31-2020,3258,120,0,3138,+34,1.011
06-01-2020,3291,123,0,3168,+33,1.010
06-02-2020,3338,125,0,3213,+47,1.014
06-03-2020,3379,127,0,3252,+41,1.012
