Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,71,0,0,0,+0,0.000
03-23-2020,118,1,0,0,+47,1.662
03-24-2020,135,2,0,0,+17,1.144
03-25-2020,135,2,0,0,+0,1.000
03-26-2020,178,4,0,0,+43,1.319
03-27-2020,220,4,0,0,+42,1.236
03-28-2020,220,4,0,0,+0,1.000
03-29-2020,270,6,0,0,+50,1.227
03-30-2020,283,7,0,0,+13,1.048
03-31-2020,313,7,0,0,+30,1.106
04-01-2020,313,7,0,0,+0,1.000
04-02-2020,359,8,0,0,+46,1.147
04-03-2020,443,12,0,0,+84,1.234
04-04-2020,443,12,0,0,+0,1.000
04-05-2020,566,12,0,0,+123,1.278
04-06-2020,588,13,0,0,+22,1.039
04-07-2020,634,15,0,0,+46,1.078
04-08-2020,674,16,0,0,+40,1.063
04-09-2020,674,16,0,0,+0,1.000
04-10-2020,766,20,0,0,+92,1.136
04-11-2020,806,21,0,0,+40,1.052
04-12-2020,845,23,0,822,+39,1.048
04-13-2020,888,23,0,865,+43,1.051
04-14-2020,888,23,0,865,+0,1.000
04-15-2020,964,36,0,928,+76,1.086
04-16-2020,1007,39,0,968,+43,1.045
04-17-2020,1063,40,0,1023,+56,1.056
04-18-2020,1114,41,0,1073,+51,1.048
04-19-2020,1164,42,0,1122,+50,1.045
04-20-2020,1193,42,0,1151,+29,1.025
04-21-2020,1241,43,0,1198,+48,1.040
04-22-2020,1242,43,0,1199,+1,1.001
04-23-2020,1352,46,0,1306,+110,1.089
04-24-2020,1403,48,0,1355,+51,1.038
04-25-2020,1439,52,0,1387,+36,1.026
04-26-2020,1470,52,0,1418,+31,1.022
04-27-2020,1500,52,0,1448,+30,1.020
04-28-2020,1533,55,0,1478,+33,1.022
04-29-2020,1568,57,0,1511,+35,1.023
04-30-2020,1603,60,0,1543,+35,1.022
05-01-2020,1636,62,0,1574,+33,1.021
05-02-2020,1706,63,0,1643,+70,1.043
05-03-2020,1749,63,0,1686,+43,1.025
05-04-2020,1776,63,0,1713,+27,1.015
05-05-2020,1809,66,0,1743,+33,1.019
05-06-2020,1863,66,0,1797,+54,1.030
05-07-2020,1917,67,0,1850,+54,1.029
05-08-2020,1961,70,0,1891,+44,1.023
05-09-2020,2023,71,0,1952,+62,1.032
05-10-2020,2064,71,0,1993,+41,1.020
05-11-2020,2101,71,0,2030,+37,1.018
05-12-2020,2133,74,0,2059,+32,1.015
05-13-2020,2178,76,0,2102,+45,1.021
05-14-2020,2234,79,0,2155,+56,1.026
05-15-2020,2367,83,0,2284,+133,1.060
05-16-2020,2351,83,0,2268,+-16,0.993
05-17-2020,2392,83,0,2309,+41,1.017
05-18-2020,2457,83,0,2374,+65,1.027
05-19-2020,2522,86,0,2436,+65,1.026
05-20-2020,2560,88,0,2472,+38,1.015
05-21-2020,2609,90,0,2519,+49,1.019
05-22-2020,2708,90,0,2618,+99,1.038
05-23-2020,2760,92,0,2668,+52,1.019
05-24-2020,2847,93,0,2754,+87,1.032
05-25-2020,2874,93,0,2781,+27,1.009
05-26-2020,2986,93,0,2893,+112,1.039
05-27-2020,3049,93,0,2956,+63,1.021
05-28-2020,3097,94,0,3003,+48,1.016
05-29-2020,3195,95,0,3100,+98,1.032
05-30-2020,3289,95,0,3194,+94,1.029
05-31-2020,3390,96,0,3294,+101,1.031
06-01-2020,3470,96,0,3374,+80,1.024
06-02-2020,3515,97,0,3418,+45,1.013
06-03-2020,3548,97,0,3451,+33,1.009
