Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,123,0,0,0,+0,0.000
03-23-2020,127,0,0,0,+4,1.033
03-24-2020,146,0,0,0,+19,1.150
03-25-2020,152,0,0,0,+6,1.041
03-26-2020,171,0,0,0,+19,1.125
03-27-2020,187,0,0,0,+16,1.094
03-28-2020,195,0,0,0,+8,1.043
03-29-2020,205,1,0,0,+10,1.051
03-30-2020,217,1,0,0,+12,1.059
03-31-2020,226,1,0,0,+9,1.041
04-01-2020,240,1,0,0,+14,1.062
04-02-2020,253,2,0,0,+13,1.054
04-03-2020,267,2,0,0,+14,1.055
04-04-2020,293,6,0,0,+26,1.097
04-05-2020,305,8,0,0,+12,1.041
04-06-2020,319,8,0,0,+14,1.046
04-07-2020,333,8,0,0,+14,1.044
04-08-2020,342,9,0,0,+9,1.027
04-09-2020,379,11,0,0,+37,1.108
04-10-2020,426,11,0,0,+47,1.124
04-11-2020,446,12,0,0,+20,1.047
04-12-2020,478,12,0,466,+32,1.072
04-13-2020,499,14,0,485,+21,1.044
04-14-2020,535,16,0,519,+36,1.072
04-15-2020,548,20,0,528,+13,1.024
04-16-2020,581,20,0,561,+33,1.060
04-17-2020,619,20,0,599,+38,1.065
04-18-2020,648,20,0,628,+29,1.047
04-19-2020,682,20,0,662,+34,1.052
04-20-2020,687,22,0,665,+5,1.007
04-21-2020,704,23,0,681,+17,1.025
04-22-2020,737,23,0,714,+33,1.047
04-23-2020,758,30,0,728,+21,1.028
04-24-2020,805,31,0,774,+47,1.062
04-25-2020,899,31,0,868,+94,1.117
04-26-2020,948,32,0,916,+49,1.055
04-27-2020,979,36,0,943,+31,1.033
04-28-2020,1009,36,0,973,+30,1.031
04-29-2020,1067,36,0,1031,+58,1.057
04-30-2020,1165,41,0,1124,+98,1.092
05-01-2020,1204,44,0,1160,+39,1.033
05-02-2020,1238,44,0,1194,+34,1.028
05-03-2020,1258,49,0,1209,+20,1.016
05-04-2020,1287,49,0,1238,+29,1.023
05-05-2020,1294,49,0,1245,+7,1.005
05-06-2020,1321,53,0,1268,+27,1.021
05-07-2020,1348,53,0,1295,+27,1.020
05-08-2020,1384,53,0,1331,+36,1.027
05-09-2020,1416,59,0,1357,+32,1.023
05-10-2020,1432,59,0,1373,+16,1.011
05-11-2020,1456,59,0,1397,+24,1.017
05-12-2020,1479,61,0,1418,+23,1.016
05-13-2020,1494,62,0,1432,+15,1.010
05-14-2020,1509,66,0,1443,+15,1.010
05-15-2020,1538,67,0,1471,+29,1.019
05-16-2020,1572,68,0,1504,+34,1.022
05-17-2020,1579,68,0,1511,+7,1.004
05-18-2020,1610,68,0,1542,+31,1.020
05-19-2020,1655,69,0,1586,+45,1.028
05-20-2020,1682,69,0,1613,+27,1.016
05-21-2020,1700,69,0,1631,+18,1.011
05-22-2020,1756,69,0,1687,+56,1.033
05-23-2020,1770,76,0,1694,+14,1.008
05-24-2020,1782,76,0,1706,+12,1.007
05-25-2020,1791,76,0,1715,+9,1.005
05-26-2020,1793,76,0,1717,+2,1.001
05-27-2020,1796,76,0,1720,+3,1.002
05-28-2020,1814,76,0,1738,+18,1.010
05-29-2020,1834,76,0,1758,+20,1.011
05-30-2020,1843,76,0,1767,+9,1.005
05-31-2020,1860,76,0,1784,+17,1.009
06-01-2020,1882,112,0,1770,+22,1.012
06-02-2020,1900,112,0,1788,+18,1.010
06-03-2020,1920,112,0,1808,+20,1.011
