Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,5,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+1,1.200
03-24-2020,8,0,0,0,+2,1.333
03-25-2020,9,0,0,0,+1,1.125
03-26-2020,14,0,0,0,+5,1.556
03-27-2020,18,0,0,0,+4,1.286
03-28-2020,20,0,0,0,+2,1.111
03-29-2020,25,0,0,0,+5,1.250
03-30-2020,26,0,0,0,+1,1.040
03-31-2020,30,0,0,0,+4,1.154
04-01-2020,32,0,0,0,+2,1.067
04-02-2020,33,0,0,0,+1,1.031
04-03-2020,56,0,0,0,+23,1.697
04-04-2020,68,0,0,0,+12,1.214
04-05-2020,74,0,0,0,+6,1.088
04-06-2020,93,0,0,0,+19,1.257
04-07-2020,126,0,0,0,+33,1.355
04-08-2020,143,1,0,0,+17,1.135
04-09-2020,149,1,0,0,+6,1.042
04-10-2020,174,1,0,0,+25,1.168
04-11-2020,188,1,0,0,+14,1.080
04-12-2020,198,1,0,197,+10,1.053
04-13-2020,235,1,0,234,+37,1.187
04-14-2020,247,1,0,246,+12,1.051
04-15-2020,254,1,0,253,+7,1.028
04-16-2020,275,6,0,269,+21,1.083
04-17-2020,321,7,0,314,+46,1.167
04-18-2020,354,7,0,347,+33,1.103
04-19-2020,383,7,0,376,+29,1.082
04-20-2020,421,8,0,413,+38,1.099
04-21-2020,462,8,0,454,+41,1.097
04-22-2020,474,12,0,462,+12,1.026
04-23-2020,512,14,0,498,+38,1.080
04-24-2020,547,15,0,532,+35,1.068
04-25-2020,575,18,0,557,+28,1.051
04-26-2020,591,19,0,572,+16,1.028
04-27-2020,627,19,0,608,+36,1.061
04-28-2020,653,20,0,633,+26,1.041
04-29-2020,700,21,0,679,+47,1.072
04-30-2020,754,21,0,733,+54,1.077
05-01-2020,802,24,0,778,+48,1.064
05-02-2020,848,26,0,822,+46,1.057
05-03-2020,899,26,0,873,+51,1.060
05-04-2020,940,26,0,914,+41,1.046
05-05-2020,983,26,0,957,+43,1.046
05-06-2020,983,26,0,957,+0,1.000
05-07-2020,1060,29,0,1031,+77,1.078
05-08-2020,1110,29,0,1081,+50,1.047
05-09-2020,1142,30,0,1112,+32,1.029
05-10-2020,1193,30,0,1163,+51,1.045
05-11-2020,1224,30,0,1194,+31,1.026
05-12-2020,1240,30,0,1210,+16,1.013
05-13-2020,1305,31,0,1274,+65,1.052
05-14-2020,1349,32,0,1317,+44,1.034
05-15-2020,1396,32,0,1364,+47,1.035
05-16-2020,1460,34,0,1426,+64,1.046
05-17-2020,1476,34,0,1442,+16,1.011
05-18-2020,1510,34,0,1476,+34,1.023
05-19-2020,1544,34,0,1510,+34,1.023
05-20-2020,1577,34,0,1543,+33,1.021
05-21-2020,1627,37,0,1590,+50,1.032
05-22-2020,1657,37,0,1620,+30,1.018
05-23-2020,1703,38,0,1665,+46,1.028
05-24-2020,1733,38,0,1695,+30,1.018
05-25-2020,1754,38,0,1716,+21,1.012
05-26-2020,1785,41,0,1744,+31,1.018
05-27-2020,1824,42,0,1782,+39,1.022
05-28-2020,1887,44,0,1843,+63,1.035
05-29-2020,1941,44,0,1897,+54,1.029
05-30-2020,1960,44,0,1916,+19,1.010
05-31-2020,1974,44,0,1930,+14,1.007
06-01-2020,1981,45,0,1936,+7,1.004
06-02-2020,2000,44,0,1956,+19,1.010
06-03-2020,2016,46,0,1970,+16,1.008
