Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,40,1,0,0,+0,0.000
03-23-2020,48,1,0,0,+8,1.200
03-24-2020,58,2,0,0,+10,1.208
03-25-2020,88,2,0,0,+30,1.517
03-26-2020,133,2,0,0,+45,1.511
03-27-2020,158,2,0,0,+25,1.188
03-28-2020,219,2,0,0,+61,1.386
03-29-2020,265,2,0,0,+46,1.210
03-30-2020,290,2,0,0,+25,1.094
03-31-2020,325,2,0,0,+35,1.121
04-01-2020,356,2,0,0,+31,1.095
04-02-2020,419,2,0,0,+63,1.177
04-03-2020,476,2,0,0,+57,1.136
04-04-2020,552,3,0,0,+76,1.160
04-05-2020,605,4,0,0,+53,1.096
04-06-2020,642,4,0,0,+37,1.061
04-07-2020,689,6,0,0,+47,1.073
04-08-2020,720,10,0,0,+31,1.045
04-09-2020,759,12,0,0,+39,1.054
04-10-2020,788,18,0,0,+29,1.038
04-11-2020,836,19,0,0,+48,1.061
04-12-2020,857,19,0,838,+21,1.025
04-13-2020,876,21,0,855,+19,1.022
04-14-2020,893,24,0,869,+17,1.019
04-15-2020,904,26,0,878,+11,1.012
04-16-2020,925,38,0,887,+21,1.023
04-17-2020,947,43,0,904,+22,1.024
04-18-2020,1009,47,0,962,+62,1.065
04-19-2020,1035,50,0,985,+26,1.026
04-20-2020,1042,55,0,987,+7,1.007
04-21-2020,1059,67,0,992,+17,1.016
04-22-2020,1088,74,0,1014,+29,1.027
04-23-2020,1149,74,0,1075,+61,1.056
04-24-2020,1177,74,0,1103,+28,1.024
04-25-2020,1198,73,0,1125,+21,1.018
04-26-2020,1211,73,0,1138,+13,1.011
04-27-2020,1224,79,0,1145,+13,1.011
04-28-2020,1235,87,0,1148,+11,1.009
04-29-2020,1273,86,0,1187,+38,1.031
04-30-2020,1289,94,0,1195,+16,1.013
05-01-2020,1319,99,0,1220,+30,1.023
05-02-2020,1333,102,0,1231,+14,1.011
05-03-2020,1345,102,0,1243,+12,1.009
05-04-2020,1365,102,0,1263,+20,1.015
05-05-2020,1375,109,0,1266,+10,1.007
05-06-2020,1394,111,0,1283,+19,1.014
05-07-2020,1439,117,0,1322,+45,1.032
05-08-2020,1455,119,0,1336,+16,1.011
05-09-2020,1486,120,0,1366,+31,1.021
05-10-2020,1503,122,0,1381,+17,1.011
05-11-2020,1511,123,0,1388,+8,1.005
05-12-2020,1526,127,0,1399,+15,1.010
05-13-2020,1545,139,0,1406,+19,1.012
05-14-2020,1551,139,0,1412,+6,1.004
05-15-2020,1582,141,0,1441,+31,1.020
05-16-2020,1595,143,0,1452,+13,1.008
05-17-2020,1603,143,0,1460,+8,1.005
05-18-2020,1641,143,0,1498,+38,1.024
05-19-2020,1658,145,0,1513,+17,1.010
05-20-2020,1687,147,0,1540,+29,1.017
05-21-2020,1718,148,0,1570,+31,1.018
05-22-2020,1739,154,0,1585,+21,1.012
05-23-2020,1753,158,0,1595,+14,1.008
05-24-2020,1777,159,0,1618,+24,1.014
05-25-2020,1805,160,0,1645,+28,1.016
05-26-2020,1816,160,0,1656,+11,1.006
05-27-2020,1828,160,0,1668,+12,1.007
05-28-2020,1851,161,0,1690,+23,1.013
05-29-2020,1870,162,0,1708,+19,1.010
05-30-2020,1897,163,0,1734,+27,1.014
05-31-2020,1911,163,0,1748,+14,1.007
06-01-2020,1919,164,0,1755,+8,1.004
06-02-2020,1928,165,0,1763,+9,1.005
06-03-2020,1952,166,0,1786,+24,1.012
