Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,4,1,0,0,+0,1.000
03-24-2020,7,1,0,0,+3,1.750
03-25-2020,7,1,0,0,+0,1.000
03-26-2020,8,1,0,0,+1,1.143
03-27-2020,21,1,0,0,+13,2.625
03-28-2020,23,1,0,0,+2,1.095
03-29-2020,26,1,0,0,+3,1.130
03-30-2020,28,1,0,0,+2,1.077
03-31-2020,30,1,0,0,+2,1.071
04-01-2020,39,2,0,0,+9,1.300
04-02-2020,46,2,0,0,+7,1.179
04-03-2020,58,2,0,0,+12,1.261
04-04-2020,59,2,0,0,+1,1.017
04-05-2020,63,2,0,0,+4,1.068
04-06-2020,87,6,0,0,+24,1.381
04-07-2020,90,6,0,0,+3,1.034
04-08-2020,95,7,0,0,+5,1.056
04-09-2020,105,7,0,0,+10,1.105
04-10-2020,119,9,0,0,+14,1.133
04-11-2020,136,10,0,0,+17,1.143
04-12-2020,147,10,0,137,+11,1.081
04-13-2020,156,11,0,145,+9,1.061
04-14-2020,167,13,0,154,+11,1.071
04-15-2020,180,15,0,165,+13,1.078
04-16-2020,224,16,0,208,+44,1.244
04-17-2020,271,19,0,252,+47,1.210
04-18-2020,293,16,0,277,+22,1.081
04-19-2020,301,19,0,282,+8,1.027
04-20-2020,327,27,0,300,+26,1.086
04-21-2020,336,27,0,309,+9,1.028
04-22-2020,343,27,0,316,+7,1.021
04-23-2020,387,23,0,364,+44,1.128
04-24-2020,400,24,0,376,+13,1.034
04-25-2020,427,26,0,401,+27,1.067
04-26-2020,439,27,0,412,+12,1.028
04-27-2020,486,33,0,453,+47,1.107
04-28-2020,504,37,0,467,+18,1.037
04-29-2020,528,43,0,485,+24,1.048
04-30-2020,560,50,0,510,+32,1.061
05-01-2020,588,51,0,537,+28,1.050
05-02-2020,600,52,0,548,+12,1.020
05-03-2020,619,54,0,565,+19,1.032
05-04-2020,664,54,0,610,+45,1.073
05-05-2020,695,55,0,640,+31,1.047
05-06-2020,718,56,0,662,+23,1.033
05-07-2020,743,58,0,685,+25,1.035
05-08-2020,781,58,0,723,+38,1.051
05-09-2020,800,58,0,742,+19,1.024
05-10-2020,816,58,0,758,+16,1.020
05-11-2020,834,59,0,775,+18,1.022
05-12-2020,867,59,0,808,+33,1.040
05-13-2020,877,60,0,817,+10,1.012
05-14-2020,898,61,0,837,+21,1.024
05-15-2020,955,60,0,895,+57,1.063
05-16-2020,985,61,0,924,+30,1.031
05-17-2020,996,61,0,935,+11,1.011
05-18-2020,1033,61,0,972,+37,1.037
05-19-2020,1053,65,0,988,+20,1.019
05-20-2020,1106,65,0,1041,+53,1.050
05-21-2020,1139,65,0,1074,+33,1.030
05-22-2020,1191,65,0,1126,+52,1.046
05-23-2020,1213,65,0,1148,+22,1.018
05-24-2020,1240,65,0,1175,+27,1.022
05-25-2020,1277,66,0,1211,+37,1.030
05-26-2020,1309,66,0,1243,+32,1.025
05-27-2020,1353,66,0,1287,+44,1.034
05-28-2020,1419,66,0,1353,+66,1.049
05-29-2020,1451,68,0,1383,+32,1.023
05-30-2020,1600,69,0,1531,+149,1.103
05-31-2020,1618,69,0,1549,+18,1.011
06-01-2020,1662,69,0,1593,+44,1.027
06-02-2020,1711,70,0,1641,+49,1.029
06-03-2020,1743,71,0,1672,+32,1.019
