Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,18,0,0,0,+0,0.000
03-23-2020,20,0,0,0,+2,1.111
03-24-2020,24,0,0,0,+4,1.200
03-25-2020,31,0,0,0,+7,1.292
03-26-2020,41,0,0,0,+10,1.323
03-27-2020,63,0,0,0,+22,1.537
03-28-2020,88,0,0,0,+25,1.397
03-29-2020,99,0,0,0,+11,1.125
03-30-2020,110,0,0,0,+11,1.111
03-31-2020,127,1,0,0,+17,1.155
04-01-2020,158,1,0,0,+31,1.244
04-02-2020,206,3,0,0,+48,1.304
04-03-2020,249,4,0,0,+43,1.209
04-04-2020,289,6,0,0,+40,1.161
04-05-2020,319,6,0,0,+30,1.104
04-06-2020,343,8,0,0,+24,1.075
04-07-2020,370,8,0,0,+27,1.079
04-08-2020,466,12,0,0,+96,1.259
04-09-2020,505,12,0,0,+39,1.084
04-10-2020,554,16,0,0,+49,1.097
04-11-2020,615,19,0,0,+61,1.110
04-12-2020,659,27,0,632,+44,1.072
04-13-2020,724,29,0,695,+65,1.099
04-14-2020,783,32,0,751,+59,1.081
04-15-2020,845,32,0,813,+62,1.079
04-16-2020,896,32,0,864,+51,1.060
04-17-2020,966,34,0,932,+70,1.078
04-18-2020,1005,41,0,964,+39,1.040
04-19-2020,1047,46,0,1001,+42,1.042
04-20-2020,1098,48,0,1050,+51,1.049
04-21-2020,1157,52,0,1105,+59,1.054
04-22-2020,1190,56,0,1134,+33,1.029
04-23-2020,1294,61,0,1233,+104,1.087
04-24-2020,1373,63,0,1310,+79,1.061
04-25-2020,1430,70,0,1360,+57,1.042
04-26-2020,1510,71,0,1439,+80,1.056
04-27-2020,1544,74,0,1470,+34,1.023
04-28-2020,1571,78,0,1493,+27,1.017
04-29-2020,1662,83,0,1579,+91,1.058
04-30-2020,1725,91,0,1634,+63,1.038
05-01-2020,1807,90,0,1717,+82,1.048
05-02-2020,1885,94,0,1791,+78,1.043
05-03-2020,1959,96,0,1863,+74,1.039
05-04-2020,2018,101,0,1917,+59,1.030
05-05-2020,2045,107,0,1938,+27,1.013
05-06-2020,2085,108,0,1977,+40,1.020
05-07-2020,2194,111,0,2083,+109,1.052
05-08-2020,2290,115,0,2175,+96,1.044
05-09-2020,2372,117,0,2255,+82,1.036
05-10-2020,2463,121,0,2342,+91,1.038
05-11-2020,2492,124,0,2368,+29,1.012
05-12-2020,2520,127,0,2393,+28,1.011
05-13-2020,2596,133,0,2463,+76,1.030
05-14-2020,2661,135,0,2526,+65,1.025
05-15-2020,2752,136,0,2616,+91,1.034
05-16-2020,2801,141,0,2660,+49,1.018
05-17-2020,2856,142,0,2714,+55,1.020
05-18-2020,2893,142,0,2751,+37,1.013
05-19-2020,2981,145,0,2836,+88,1.030
05-20-2020,3033,145,0,2888,+52,1.017
05-21-2020,3132,147,0,2985,+99,1.033
05-22-2020,3207,149,0,3058,+75,1.024
05-23-2020,3282,150,0,3132,+75,1.023
05-24-2020,3307,153,0,3154,+25,1.008
05-25-2020,3357,157,0,3200,+50,1.015
05-26-2020,3394,159,0,3235,+37,1.011
05-27-2020,3448,163,0,3285,+54,1.016
05-28-2020,3556,163,0,3393,+108,1.031
05-29-2020,3643,167,0,3476,+87,1.024
05-30-2020,3743,172,0,3571,+100,1.027
05-31-2020,3785,174,0,3611,+42,1.011
06-01-2020,3842,175,0,3667,+57,1.015
06-02-2020,3924,178,0,3746,+82,1.021
06-03-2020,4009,178,0,3831,+85,1.022
