Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,5,0,0,0,+0,0.000
03-23-2020,7,0,0,0,+2,1.400
03-24-2020,7,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+0,1.000
03-26-2020,8,0,0,0,+1,1.143
03-27-2020,10,0,0,0,+2,1.250
03-28-2020,12,0,0,0,+2,1.200
03-29-2020,17,0,0,0,+5,1.417
03-30-2020,22,0,0,0,+5,1.294
03-31-2020,23,0,0,0,+1,1.045
04-01-2020,26,0,0,0,+3,1.130
04-02-2020,30,0,0,0,+4,1.154
04-03-2020,34,0,0,0,+4,1.133
04-04-2020,36,0,0,0,+2,1.059
04-05-2020,36,0,0,0,+0,1.000
04-06-2020,40,0,0,0,+4,1.111
04-07-2020,42,0,0,0,+2,1.050
04-08-2020,46,0,0,0,+4,1.095
04-09-2020,53,0,0,0,+7,1.152
04-10-2020,55,0,0,0,+2,1.038
04-11-2020,58,0,0,0,+3,1.055
04-12-2020,68,0,0,68,+10,1.172
04-13-2020,68,0,0,68,+0,1.000
04-14-2020,72,0,0,72,+4,1.059
04-15-2020,76,0,0,76,+4,1.056
04-16-2020,76,0,0,76,+0,1.000
04-17-2020,83,1,0,82,+7,1.092
04-18-2020,85,2,0,83,+2,1.024
04-19-2020,93,2,0,91,+8,1.094
04-20-2020,95,2,0,93,+2,1.022
04-21-2020,97,2,0,95,+2,1.021
04-22-2020,105,2,0,103,+8,1.082
04-23-2020,131,2,0,129,+26,1.248
04-24-2020,142,3,0,139,+11,1.084
04-25-2020,150,3,0,147,+8,1.056
04-26-2020,165,5,0,160,+15,1.100
04-27-2020,168,5,0,163,+3,1.018
04-28-2020,186,8,0,178,+18,1.107
04-29-2020,196,8,0,188,+10,1.054
04-30-2020,212,10,0,202,+16,1.082
05-01-2020,231,11,0,220,+19,1.090
05-02-2020,260,14,0,246,+29,1.126
05-03-2020,281,17,0,264,+21,1.081
05-04-2020,299,17,0,282,+18,1.064
05-05-2020,344,20,0,324,+45,1.151
05-06-2020,382,24,0,358,+38,1.110
05-07-2020,426,27,0,399,+44,1.115
05-08-2020,477,27,0,450,+51,1.120
05-09-2020,518,29,0,489,+41,1.086
05-10-2020,549,29,0,520,+31,1.060
05-11-2020,571,29,0,542,+22,1.040
05-12-2020,613,31,0,582,+42,1.074
05-13-2020,640,33,0,607,+27,1.044
05-14-2020,678,35,0,643,+38,1.059
05-15-2020,726,38,0,688,+48,1.071
05-16-2020,770,40,0,730,+44,1.061
05-17-2020,821,40,0,781,+51,1.066
05-18-2020,869,42,0,827,+48,1.058
05-19-2020,919,42,0,877,+50,1.058
05-20-2020,955,45,0,910,+36,1.039
05-21-2020,995,49,0,946,+40,1.042
05-22-2020,1044,53,0,991,+49,1.049
05-23-2020,1092,55,0,1037,+48,1.046
05-24-2020,1164,55,0,1109,+72,1.066
05-25-2020,1210,56,0,1154,+46,1.040
05-26-2020,1241,56,0,1185,+31,1.026
05-27-2020,1262,59,0,1203,+21,1.017
05-28-2020,1289,63,0,1226,+27,1.021
05-29-2020,1324,67,0,1257,+35,1.027
05-30-2020,1363,70,0,1293,+39,1.029
05-31-2020,1399,70,0,1329,+36,1.026
06-01-2020,1429,70,0,1359,+30,1.021
06-02-2020,1441,71,0,1370,+12,1.008
06-03-2020,1470,73,0,1397,+29,1.020
