Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+1,1.333
03-24-2020,4,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+3,1.750
03-26-2020,9,0,0,0,+2,1.286
03-27-2020,11,0,0,0,+2,1.222
03-28-2020,13,0,0,0,+2,1.182
03-29-2020,13,0,0,0,+0,1.000
03-30-2020,17,0,0,0,+4,1.308
03-31-2020,16,0,0,0,+-1,0.941
04-01-2020,33,0,0,0,+17,2.062
04-02-2020,35,0,0,0,+2,1.061
04-03-2020,39,0,0,0,+4,1.114
04-04-2020,42,0,0,0,+3,1.077
04-05-2020,45,0,0,0,+3,1.071
04-06-2020,58,0,0,0,+13,1.289
04-07-2020,65,0,0,0,+7,1.121
04-08-2020,78,0,0,0,+13,1.200
04-09-2020,52,0,0,0,+-26,0.667
04-10-2020,55,0,0,0,+3,1.058
04-11-2020,66,0,0,0,+11,1.200
04-12-2020,72,0,0,72,+6,1.091
04-13-2020,89,0,0,89,+17,1.236
04-14-2020,97,0,0,97,+8,1.090
04-15-2020,110,0,0,110,+13,1.134
04-16-2020,118,0,0,118,+8,1.073
04-17-2020,141,0,0,141,+23,1.195
04-18-2020,169,4,0,165,+28,1.199
04-19-2020,178,4,0,174,+9,1.053
04-20-2020,202,4,0,198,+24,1.135
04-21-2020,226,5,0,221,+24,1.119
04-22-2020,235,5,0,230,+9,1.040
04-23-2020,268,5,0,263,+33,1.140
04-24-2020,296,5,0,291,+28,1.104
04-25-2020,314,5,0,309,+18,1.061
04-26-2020,336,5,0,331,+22,1.070
04-27-2020,362,5,0,357,+26,1.077
04-28-2020,380,5,0,375,+18,1.050
04-29-2020,392,5,0,387,+12,1.032
04-30-2020,449,6,0,443,+57,1.145
05-01-2020,478,6,0,472,+29,1.065
05-02-2020,507,6,0,501,+29,1.061
05-03-2020,526,6,0,520,+19,1.037
05-04-2020,549,6,0,543,+23,1.044
05-05-2020,576,7,0,569,+27,1.049
05-06-2020,612,7,0,605,+36,1.062
05-07-2020,630,7,0,623,+18,1.029
05-08-2020,671,10,0,661,+41,1.065
05-09-2020,710,10,0,700,+39,1.058
05-10-2020,716,10,0,706,+6,1.008
05-11-2020,727,10,0,717,+11,1.015
05-12-2020,744,11,0,733,+17,1.023
05-13-2020,817,12,0,805,+73,1.098
05-14-2020,859,12,0,847,+42,1.051
05-15-2020,927,16,0,911,+68,1.079
05-16-2020,962,20,0,942,+35,1.038
05-17-2020,981,20,0,961,+19,1.020
05-18-2020,988,20,0,968,+7,1.007
05-19-2020,1023,20,0,1003,+35,1.035
05-20-2020,1080,22,0,1058,+57,1.056
05-21-2020,1121,22,0,1099,+41,1.038
05-22-2020,1139,23,0,1116,+18,1.016
05-23-2020,1144,25,0,1119,+5,1.004
05-24-2020,1191,25,0,1166,+47,1.041
05-25-2020,1191,26,0,1165,+0,1.000
05-26-2020,1214,26,0,1188,+23,1.019
05-27-2020,1250,26,0,1224,+36,1.030
05-28-2020,1290,28,0,1262,+40,1.032
05-29-2020,1414,34,0,1380,+124,1.096
05-30-2020,1491,35,0,1456,+77,1.054
05-31-2020,1524,35,0,1489,+33,1.022
06-01-2020,1526,39,0,1487,+2,1.001
06-02-2020,1569,41,0,1528,+43,1.028
06-03-2020,1586,45,0,1541,+17,1.011
