Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,45,0,0,0,+0,0.000
03-23-2020,58,0,0,0,+13,1.289
03-24-2020,58,0,0,0,+0,1.000
03-25-2020,69,0,0,0,+11,1.190
03-26-2020,119,0,0,0,+50,1.725
03-27-2020,119,0,0,0,+0,1.000
03-28-2020,155,1,0,0,+36,1.303
03-29-2020,241,3,0,0,+86,1.555
03-30-2020,241,3,0,0,+0,1.000
03-31-2020,333,6,0,0,+92,1.382
04-01-2020,333,6,0,0,+0,1.000
04-02-2020,381,7,0,0,+48,1.144
04-03-2020,441,10,0,0,+60,1.157
04-04-2020,500,10,0,0,+59,1.134
04-05-2020,608,13,0,0,+108,1.216
04-06-2020,652,15,0,0,+44,1.072
04-07-2020,718,15,0,0,+66,1.101
04-08-2020,764,19,0,0,+46,1.064
04-09-2020,764,19,0,0,+0,1.000
04-10-2020,877,19,0,0,+113,1.148
04-11-2020,931,30,0,0,+54,1.062
04-12-2020,1083,38,0,1045,+152,1.163
04-13-2020,1142,39,0,1103,+59,1.054
04-14-2020,1183,43,0,1140,+41,1.036
04-15-2020,1183,43,0,1140,+0,1.000
04-16-2020,1243,52,0,1191,+60,1.051
04-17-2020,1342,55,0,1287,+99,1.080
04-18-2020,1419,58,0,1361,+77,1.057
04-19-2020,1536,65,0,1471,+117,1.082
04-20-2020,1536,65,0,1471,+0,1.000
04-21-2020,1649,80,0,1569,+113,1.074
04-22-2020,1717,87,0,1630,+68,1.041
04-23-2020,1824,101,0,1723,+107,1.062
04-24-2020,2030,125,0,1905,+206,1.113
04-25-2020,2083,127,0,1956,+53,1.026
04-26-2020,2160,127,0,2033,+77,1.037
04-27-2020,2252,130,0,2122,+92,1.043
04-28-2020,2312,136,0,2176,+60,1.027
04-29-2020,2389,140,0,2249,+77,1.033
04-30-2020,2472,141,0,2331,+83,1.035
05-01-2020,2557,152,0,2405,+85,1.034
05-02-2020,2625,153,0,2472,+68,1.027
05-03-2020,2706,156,0,2550,+81,1.031
05-04-2020,2758,157,0,2601,+52,1.019
05-05-2020,2883,165,0,2718,+125,1.045
05-06-2020,2977,167,0,2810,+94,1.033
05-07-2020,3089,172,0,2917,+112,1.038
05-08-2020,3148,177,0,2971,+59,1.019
05-09-2020,3228,176,0,3052,+80,1.025
05-10-2020,3272,176,0,3096,+44,1.014
05-11-2020,3313,179,0,3134,+41,1.013
05-12-2020,3370,183,0,3187,+57,1.017
05-13-2020,3464,200,0,3264,+94,1.028
05-14-2020,3526,213,0,3313,+62,1.018
05-15-2020,3583,227,0,3356,+57,1.016
05-16-2020,3652,244,0,3408,+69,1.019
05-17-2020,3703,254,0,3449,+51,1.014
05-18-2020,3767,253,0,3514,+64,1.017
05-19-2020,3827,258,0,3569,+60,1.016
05-20-2020,3889,272,0,3617,+62,1.016
05-21-2020,3943,273,0,3670,+54,1.014
05-22-2020,3974,276,0,3698,+31,1.008
05-23-2020,4027,278,0,3749,+53,1.013
05-24-2020,4039,280,0,3759,+12,1.003
05-25-2020,4075,280,0,3795,+36,1.009
05-26-2020,4121,284,0,3837,+46,1.011
05-27-2020,4166,298,0,3868,+45,1.011
05-28-2020,4201,301,0,3900,+35,1.008
05-29-2020,4254,304,0,3950,+53,1.013
05-30-2020,4353,305,0,4048,+99,1.023
05-31-2020,4394,305,0,4089,+41,1.009
06-01-2020,4416,307,0,4109,+22,1.005
06-02-2020,4453,309,0,4144,+37,1.008
06-03-2020,4496,320,0,4176,+43,1.010
