Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,26,0,0,0,+0,0.000
03-23-2020,34,0,0,0,+8,1.308
03-24-2020,36,0,0,0,+2,1.059
03-25-2020,46,0,0,0,+10,1.278
03-26-2020,54,0,0,0,+8,1.174
03-27-2020,63,0,0,0,+9,1.167
03-28-2020,75,0,0,0,+12,1.190
03-29-2020,84,2,0,0,+9,1.120
03-30-2020,86,2,0,0,+2,1.024
03-31-2020,104,2,0,0,+18,1.209
04-01-2020,119,2,0,0,+15,1.144
04-02-2020,128,2,0,0,+9,1.076
04-03-2020,135,2,0,0,+7,1.055
04-04-2020,150,2,0,0,+15,1.111
04-05-2020,181,2,0,0,+31,1.207
04-06-2020,203,2,0,0,+22,1.122
04-07-2020,237,2,0,0,+34,1.167
04-08-2020,254,2,0,0,+17,1.072
04-09-2020,280,2,0,0,+26,1.102
04-10-2020,312,2,0,0,+32,1.114
04-11-2020,349,2,0,0,+37,1.119
04-12-2020,366,2,0,364,+17,1.049
04-13-2020,390,2,0,388,+24,1.066
04-14-2020,401,2,0,399,+11,1.028
04-15-2020,420,2,0,418,+19,1.047
04-16-2020,453,16,0,437,+33,1.079
04-17-2020,485,16,0,469,+32,1.071
04-18-2020,520,16,0,504,+35,1.072
04-19-2020,575,16,0,559,+55,1.106
04-20-2020,593,22,0,571,+18,1.031
04-21-2020,625,22,0,603,+32,1.054
04-22-2020,663,24,0,639,+38,1.061
04-23-2020,686,24,0,662,+23,1.035
04-24-2020,722,24,0,698,+36,1.052
04-25-2020,764,29,0,735,+42,1.058
04-26-2020,790,32,0,758,+26,1.034
04-27-2020,836,32,0,804,+46,1.058
04-28-2020,865,32,0,833,+29,1.035
04-29-2020,912,32,0,880,+47,1.054
04-30-2020,967,41,0,926,+55,1.060
05-01-2020,1004,42,0,962,+37,1.038
05-02-2020,1044,46,0,998,+40,1.040
05-03-2020,1106,46,0,1060,+62,1.059
05-04-2020,1139,47,0,1092,+33,1.030
05-05-2020,1169,49,0,1120,+30,1.026
05-06-2020,1169,49,0,1120,+0,1.000
05-07-2020,1248,52,0,1196,+79,1.068
05-08-2020,1281,57,0,1224,+33,1.026
05-09-2020,1332,60,0,1272,+51,1.040
05-10-2020,1368,61,0,1307,+36,1.027
05-11-2020,1399,60,0,1339,+31,1.023
05-12-2020,1416,66,0,1350,+17,1.012
05-13-2020,1460,69,0,1391,+44,1.031
05-14-2020,1499,70,0,1429,+39,1.027
05-15-2020,1534,71,0,1463,+35,1.023
05-16-2020,1560,74,0,1486,+26,1.017
05-17-2020,1590,75,0,1515,+30,1.019
05-18-2020,1638,77,0,1561,+48,1.030
05-19-2020,1688,79,0,1609,+50,1.031
05-20-2020,1728,81,0,1647,+40,1.024
05-21-2020,1763,89,0,1674,+35,1.020
05-22-2020,1795,91,0,1704,+32,1.018
05-23-2020,1804,95,0,1709,+9,1.005
05-24-2020,1873,98,0,1775,+69,1.038
05-25-2020,1897,101,0,1796,+24,1.013
05-26-2020,1935,104,0,1831,+38,1.020
05-27-2020,1988,109,0,1879,+53,1.027
05-28-2020,2039,109,0,1930,+51,1.026
05-29-2020,2089,111,0,1978,+50,1.025
05-30-2020,2107,113,0,1994,+18,1.009
05-31-2020,2116,115,0,2001,+9,1.004
06-01-2020,2123,116,0,2007,+7,1.003
06-02-2020,2133,117,0,2016,+10,1.005
06-03-2020,2142,120,0,2022,+9,1.004
