Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,5,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+1,1.200
03-24-2020,6,0,0,0,+0,1.000
03-25-2020,12,0,0,0,+6,2.000
03-26-2020,10,0,0,0,+-2,0.833
03-27-2020,14,0,0,0,+4,1.400
03-28-2020,17,0,0,0,+3,1.214
03-29-2020,24,0,0,0,+7,1.412
03-30-2020,29,0,0,0,+5,1.208
03-31-2020,31,0,0,0,+2,1.069
04-01-2020,40,0,0,0,+9,1.290
04-02-2020,50,1,0,0,+10,1.250
04-03-2020,72,1,0,0,+22,1.440
04-04-2020,98,1,0,0,+26,1.361
04-05-2020,121,1,0,0,+23,1.235
04-06-2020,132,1,0,0,+11,1.091
04-07-2020,144,4,0,0,+12,1.091
04-08-2020,168,4,0,0,+24,1.167
04-09-2020,191,4,0,0,+23,1.137
04-10-2020,211,6,0,0,+20,1.105
04-11-2020,230,7,0,0,+19,1.090
04-12-2020,253,8,0,245,+23,1.100
04-13-2020,267,8,0,259,+14,1.055
04-14-2020,284,11,0,273,+17,1.064
04-15-2020,322,13,0,309,+38,1.134
04-16-2020,344,13,0,331,+22,1.068
04-17-2020,370,17,0,353,+26,1.076
04-18-2020,382,19,0,363,+12,1.032
04-19-2020,398,19,0,379,+16,1.042
04-20-2020,410,19,0,391,+12,1.030
04-21-2020,469,19,0,450,+59,1.144
04-22-2020,505,24,0,481,+36,1.077
04-23-2020,544,30,0,514,+39,1.077
04-24-2020,566,29,0,537,+22,1.040
04-25-2020,596,29,0,567,+30,1.053
04-26-2020,638,29,0,609,+42,1.070
04-27-2020,749,30,0,719,+111,1.174
04-28-2020,868,35,0,833,+119,1.159
04-29-2020,908,37,0,871,+40,1.046
04-30-2020,964,41,0,923,+56,1.062
05-01-2020,1012,45,0,967,+48,1.050
05-02-2020,1050,48,0,1002,+38,1.038
05-03-2020,1075,49,0,1026,+25,1.024
05-04-2020,1135,51,0,1084,+60,1.056
05-05-2020,1190,51,0,1139,+55,1.048
05-06-2020,1246,54,0,1192,+56,1.047
05-07-2020,1302,62,0,1240,+56,1.045
05-08-2020,1423,68,0,1355,+121,1.093
05-09-2020,1494,72,0,1422,+71,1.050
05-10-2020,1510,72,0,1438,+16,1.011
05-11-2020,1533,77,0,1456,+23,1.015
05-12-2020,1558,79,0,1479,+25,1.016
05-13-2020,1584,88,0,1496,+26,1.017
05-14-2020,1649,99,0,1550,+65,1.041
05-15-2020,1678,107,0,1571,+29,1.018
05-16-2020,1716,110,0,1606,+38,1.023
05-17-2020,1758,112,0,1646,+42,1.024
05-18-2020,1807,112,0,1695,+49,1.028
05-19-2020,1838,121,0,1717,+31,1.017
05-20-2020,1875,126,0,1749,+37,1.020
05-21-2020,1895,128,0,1767,+20,1.011
05-22-2020,1919,130,0,1789,+24,1.013
05-23-2020,1936,143,0,1793,+17,1.009
05-24-2020,1961,144,0,1817,+25,1.013
05-25-2020,2028,144,0,1884,+67,1.034
05-26-2020,2049,149,0,1900,+21,1.010
05-27-2020,2087,155,0,1932,+38,1.019
05-28-2020,2120,156,0,1964,+33,1.016
05-29-2020,2154,158,0,1996,+34,1.016
05-30-2020,2183,159,0,2024,+29,1.013
05-31-2020,2214,159,0,2055,+31,1.014
06-01-2020,2222,159,0,2063,+8,1.004
06-02-2020,2251,162,0,2089,+29,1.013
06-03-2020,2284,163,0,2121,+33,1.015
