Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,24,0,0,0,+0,0.000
03-23-2020,31,0,0,0,+7,1.292
03-24-2020,41,0,0,0,+10,1.323
03-25-2020,53,0,0,0,+12,1.293
03-26-2020,72,0,0,0,+19,1.358
03-27-2020,88,0,0,0,+16,1.222
03-28-2020,112,0,0,0,+24,1.273
03-29-2020,129,2,0,0,+17,1.152
03-30-2020,152,2,0,0,+23,1.178
03-31-2020,187,2,0,0,+35,1.230
04-01-2020,221,2,0,0,+34,1.182
04-02-2020,265,2,0,0,+44,1.199
04-03-2020,313,4,0,0,+48,1.181
04-04-2020,343,6,0,0,+30,1.096
04-05-2020,394,7,0,0,+51,1.149
04-06-2020,435,8,0,0,+41,1.104
04-07-2020,459,9,0,0,+24,1.055
04-08-2020,571,10,0,0,+112,1.244
04-09-2020,638,12,0,0,+67,1.117
04-10-2020,689,17,0,0,+51,1.080
04-11-2020,756,22,0,0,+67,1.097
04-12-2020,812,24,0,788,+56,1.074
04-13-2020,873,26,0,847,+61,1.075
04-14-2020,962,29,0,933,+89,1.102
04-15-2020,1060,29,0,1031,+98,1.102
04-16-2020,1160,31,0,1129,+100,1.094
04-17-2020,1273,38,0,1235,+113,1.097
04-18-2020,1378,43,0,1335,+105,1.082
04-19-2020,1392,51,0,1341,+14,1.010
04-20-2020,1511,54,0,1457,+119,1.085
04-21-2020,1542,59,0,1483,+31,1.021
04-22-2020,1602,64,0,1538,+60,1.039
04-23-2020,1672,66,0,1606,+70,1.044
04-24-2020,1728,71,0,1657,+56,1.033
04-25-2020,1791,78,0,1713,+63,1.036
04-26-2020,1866,79,0,1787,+75,1.042
04-27-2020,1933,88,0,1845,+67,1.036
04-28-2020,1977,90,0,1887,+44,1.023
04-29-2020,2014,101,0,1913,+37,1.019
04-30-2020,2068,112,0,1956,+54,1.027
05-01-2020,2162,115,0,2047,+94,1.045
05-02-2020,2237,126,0,2111,+75,1.035
05-03-2020,2319,129,0,2190,+82,1.037
05-04-2020,2411,129,0,2282,+92,1.040
05-05-2020,2609,133,0,2476,+198,1.082
05-06-2020,2752,140,0,2612,+143,1.055
05-07-2020,2856,149,0,2707,+104,1.038
05-08-2020,2941,155,0,2786,+85,1.030
05-09-2020,3208,163,0,3045,+267,1.091
05-10-2020,3317,169,0,3148,+109,1.034
05-11-2020,3353,171,0,3182,+36,1.011
05-12-2020,3404,178,0,3226,+51,1.015
05-13-2020,3476,186,0,3290,+72,1.021
05-14-2020,3505,192,0,3313,+29,1.008
05-15-2020,3606,192,0,3414,+101,1.029
05-16-2020,3719,200,0,3519,+113,1.031
05-17-2020,3798,203,0,3595,+79,1.021
05-18-2020,3830,208,0,3622,+32,1.008
05-19-2020,4002,210,0,3792,+172,1.045
05-20-2020,4152,215,0,3937,+150,1.037
05-21-2020,4339,218,0,4121,+187,1.045
05-22-2020,4492,220,0,4272,+153,1.035
05-23-2020,4673,229,0,4444,+181,1.040
05-24-2020,4782,231,0,4551,+109,1.023
05-25-2020,4888,234,0,4654,+106,1.022
05-26-2020,4997,236,0,4761,+109,1.022
05-27-2020,5054,236,0,4818,+57,1.011
05-28-2020,5203,240,0,4963,+149,1.029
05-29-2020,5426,248,0,5178,+223,1.043
05-30-2020,5564,254,0,5310,+138,1.025
05-31-2020,5664,258,0,5406,+100,1.018
06-01-2020,5604,261,0,5343,+-60,0.989
06-02-2020,5688,263,0,5425,+84,1.015
06-03-2020,5801,266,0,5535,+113,1.020
