Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,28,1,0,0,+0,0.000
03-23-2020,35,1,0,0,+7,1.250
03-24-2020,42,1,0,0,+7,1.200
03-25-2020,51,1,0,0,+9,1.214
03-26-2020,81,1,0,0,+30,1.588
03-27-2020,103,1,0,0,+22,1.272
03-28-2020,141,1,0,0,+38,1.369
03-29-2020,162,1,0,0,+21,1.149
03-30-2020,186,1,0,0,+24,1.148
03-31-2020,227,1,0,0,+41,1.220
04-01-2020,289,1,0,0,+62,1.273
04-02-2020,353,3,0,0,+64,1.221
04-03-2020,427,3,0,0,+74,1.210
04-04-2020,491,4,0,0,+64,1.150
04-05-2020,590,6,0,0,+99,1.202
04-06-2020,648,11,0,0,+58,1.098
04-07-2020,652,11,0,0,+4,1.006
04-08-2020,866,13,0,0,+214,1.328
04-09-2020,979,16,0,0,+113,1.130
04-10-2020,1072,21,0,0,+93,1.095
04-11-2020,1173,26,0,0,+101,1.094
04-12-2020,1257,30,0,1227,+84,1.072
04-13-2020,1361,31,0,1330,+104,1.083
04-14-2020,1377,41,0,1336,+16,1.012
04-15-2020,1485,41,0,1444,+108,1.078
04-16-2020,1516,41,0,1475,+31,1.021
04-17-2020,1569,37,0,1532,+53,1.035
04-18-2020,1664,45,0,1619,+95,1.061
04-19-2020,1733,50,0,1683,+69,1.041
04-20-2020,1875,50,0,1825,+142,1.082
04-21-2020,1925,58,0,1867,+50,1.027
04-22-2020,2012,67,0,1945,+87,1.045
04-23-2020,2132,71,0,2061,+120,1.060
04-24-2020,2234,74,0,2160,+102,1.048
04-25-2020,2387,79,0,2308,+153,1.068
04-26-2020,2509,81,0,2428,+122,1.051
04-27-2020,2548,98,0,2450,+39,1.016
04-28-2020,2631,107,0,2524,+83,1.033
04-29-2020,2740,118,0,2622,+109,1.041
04-30-2020,2831,123,0,2708,+91,1.033
05-01-2020,3013,129,0,2884,+182,1.064
05-02-2020,3183,139,0,3044,+170,1.056
05-03-2020,3301,147,0,3154,+118,1.037
05-04-2020,3448,151,0,3297,+147,1.045
05-05-2020,3430,157,0,3273,+-18,0.995
05-06-2020,3527,163,0,3364,+97,1.028
05-07-2020,3662,169,0,3493,+135,1.038
05-08-2020,3763,177,0,3586,+101,1.028
05-09-2020,3737,185,0,3552,+-26,0.993
05-10-2020,3862,191,0,3671,+125,1.033
05-11-2020,3948,194,0,3754,+86,1.022
05-12-2020,4051,204,0,3847,+103,1.026
05-13-2020,4160,218,0,3942,+109,1.027
05-14-2020,4290,223,0,4067,+130,1.031
05-15-2020,4399,234,0,4165,+109,1.025
05-16-2020,4549,240,0,4309,+150,1.034
05-17-2020,4624,250,0,4374,+75,1.016
05-18-2020,4749,255,0,4494,+125,1.027
05-19-2020,4920,263,0,4657,+171,1.036
05-20-2020,5025,277,0,4748,+105,1.021
05-21-2020,5135,286,0,4849,+110,1.022
05-22-2020,5170,292,0,4878,+35,1.007
05-23-2020,5290,299,0,4991,+120,1.023
05-24-2020,5373,300,0,5073,+83,1.016
05-25-2020,5476,307,0,5169,+103,1.019
05-26-2020,5498,312,0,5186,+22,1.004
05-27-2020,5562,320,0,5242,+64,1.012
05-28-2020,5678,323,0,5355,+116,1.021
05-29-2020,5819,336,0,5483,+141,1.025
05-30-2020,5955,340,0,5615,+136,1.023
05-31-2020,6065,344,0,5721,+110,1.018
06-01-2020,6299,349,0,5950,+234,1.039
06-02-2020,6385,358,0,6027,+86,1.014
06-03-2020,6457,366,0,6091,+72,1.011
