Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,24,0,0,0,+0,0.000
03-23-2020,30,0,0,0,+6,1.250
03-24-2020,40,0,0,0,+10,1.333
03-25-2020,51,1,0,0,+11,1.275
03-26-2020,67,1,0,0,+16,1.314
03-27-2020,100,2,0,0,+33,1.493
03-28-2020,133,2,0,0,+33,1.330
03-29-2020,148,2,0,0,+15,1.113
03-30-2020,173,2,0,0,+25,1.169
03-31-2020,191,2,0,0,+18,1.104
04-01-2020,255,3,0,0,+64,1.335
04-02-2020,283,3,0,0,+28,1.110
04-03-2020,314,6,0,0,+31,1.110
04-04-2020,330,6,0,0,+16,1.051
04-05-2020,347,6,0,0,+17,1.052
04-06-2020,383,7,0,0,+36,1.104
04-07-2020,405,10,0,0,+22,1.057
04-08-2020,423,11,0,0,+18,1.044
04-09-2020,444,11,0,0,+21,1.050
04-10-2020,464,11,0,0,+20,1.045
04-11-2020,480,15,0,0,+16,1.034
04-12-2020,501,16,0,485,+21,1.044
04-13-2020,502,16,0,486,+1,1.002
04-14-2020,514,16,0,498,+12,1.024
04-15-2020,530,18,0,512,+16,1.031
04-16-2020,550,18,0,532,+20,1.038
04-17-2020,573,18,0,555,+23,1.042
04-18-2020,590,20,0,570,+17,1.030
04-19-2020,632,21,0,611,+42,1.071
04-20-2020,632,21,0,611,+0,1.000
04-21-2020,672,22,0,650,+40,1.063
04-22-2020,678,22,0,656,+6,1.009
04-23-2020,708,22,0,686,+30,1.044
04-24-2020,747,22,0,725,+39,1.055
04-25-2020,756,37,0,719,+9,1.012
04-26-2020,772,37,0,735,+16,1.021
04-27-2020,798,39,0,759,+26,1.034
04-28-2020,820,39,0,781,+22,1.028
04-29-2020,842,40,0,802,+22,1.027
04-30-2020,860,43,0,817,+18,1.021
05-01-2020,902,45,0,857,+42,1.049
05-02-2020,937,46,0,891,+35,1.039
05-03-2020,946,47,0,899,+9,1.010
05-04-2020,961,47,0,914,+15,1.016
05-05-2020,969,48,0,921,+8,1.008
05-06-2020,997,55,0,942,+28,1.029
05-07-2020,1021,57,0,964,+24,1.024
05-08-2020,1038,61,0,977,+17,1.017
05-09-2020,1056,66,0,990,+18,1.017
05-10-2020,1068,68,0,1000,+12,1.011
05-11-2020,1075,73,0,1002,+7,1.007
05-12-2020,1093,73,0,1020,+18,1.017
05-13-2020,1111,79,0,1032,+18,1.016
05-14-2020,1119,82,0,1037,+8,1.007
05-15-2020,1137,86,0,1051,+18,1.016
05-16-2020,1147,90,0,1057,+10,1.009
05-17-2020,1150,93,0,1057,+3,1.003
05-18-2020,1155,95,0,1060,+5,1.004
05-19-2020,1177,96,0,1081,+22,1.019
05-20-2020,1197,98,0,1099,+20,1.017
05-21-2020,1202,99,0,1103,+5,1.004
05-22-2020,1257,103,0,1154,+55,1.046
05-23-2020,1264,107,0,1157,+7,1.006
05-24-2020,1269,109,0,1160,+5,1.004
05-25-2020,1277,110,0,1167,+8,1.006
05-26-2020,1280,110,0,1170,+3,1.002
05-27-2020,1286,111,0,1175,+6,1.005
05-28-2020,1295,115,0,1180,+9,1.007
05-29-2020,1303,116,0,1187,+8,1.006
05-30-2020,1305,115,0,1190,+2,1.002
05-31-2020,1312,116,0,1196,+7,1.005
06-01-2020,1424,118,0,1306,+112,1.085
06-02-2020,1430,118,0,1312,+6,1.004
06-03-2020,1435,121,0,1314,+5,1.003
