Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,10,0,0,0,+0,0.000
03-23-2020,16,0,0,0,+6,1.600
03-24-2020,18,0,0,0,+2,1.125
03-25-2020,19,0,0,0,+1,1.056
03-26-2020,20,1,0,0,+1,1.053
03-27-2020,25,1,0,0,+5,1.250
03-28-2020,28,1,0,0,+3,1.120
03-29-2020,28,1,0,0,+0,1.000
03-30-2020,36,1,0,0,+8,1.286
03-31-2020,44,1,0,0,+8,1.222
04-01-2020,46,1,0,0,+2,1.045
04-02-2020,51,1,0,0,+5,1.109
04-03-2020,51,1,0,0,+0,1.000
04-04-2020,58,1,0,0,+7,1.137
04-05-2020,58,1,0,0,+0,1.000
04-06-2020,68,2,0,0,+10,1.172
04-07-2020,71,2,0,0,+3,1.044
04-08-2020,74,2,0,0,+3,1.042
04-09-2020,84,3,0,0,+10,1.135
04-10-2020,84,3,0,0,+0,1.000
04-11-2020,91,3,0,0,+7,1.083
04-12-2020,101,3,0,98,+10,1.110
04-13-2020,101,3,0,98,+0,1.000
04-14-2020,107,3,0,104,+6,1.059
04-15-2020,110,3,0,107,+3,1.028
04-16-2020,115,3,0,112,+5,1.045
04-17-2020,124,3,0,121,+9,1.078
04-18-2020,126,3,0,123,+2,1.016
04-19-2020,126,3,0,123,+0,1.000
04-20-2020,126,3,0,123,+0,1.000
04-21-2020,135,3,0,132,+9,1.071
