Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,457,6,0,0,+0,0.000
03-23-2020,609,6,0,0,+152,1.333
03-24-2020,701,6,0,0,+92,1.151
03-25-2020,819,6,0,0,+118,1.168
03-26-2020,1206,6,0,0,+387,1.473
03-27-2020,1505,6,0,0,+299,1.248
03-28-2020,1838,13,0,0,+333,1.221
03-29-2020,2169,23,0,0,+331,1.180
03-30-2020,2482,23,0,0,+313,1.144
03-31-2020,2909,4,0,0,+427,1.172
04-01-2020,3494,75,0,0,+585,1.201
04-02-2020,4099,120,0,0,+605,1.173
04-03-2020,4866,132,0,0,+767,1.187
04-04-2020,5760,179,0,0,+894,1.184
04-05-2020,6187,189,0,0,+427,1.074
04-06-2020,6862,200,0,0,+675,1.109
04-07-2020,7533,263,0,0,+671,1.098
04-08-2020,7874,314,0,0,+341,1.045
04-09-2020,8343,345,0,0,+469,1.060
04-10-2020,8928,390,0,0,+585,1.070
04-11-2020,9362,435,0,0,+434,1.049
04-12-2020,9784,453,0,9331,+422,1.045
04-13-2020,10092,482,0,9610,+308,1.031
04-14-2020,10426,550,0,9876,+334,1.033
04-15-2020,10848,608,0,10240,+422,1.040
04-16-2020,11409,668,0,10741,+561,1.052
04-17-2020,11863,714,0,11149,+454,1.040
04-18-2020,12163,741,0,11422,+300,1.025
04-19-2020,12639,767,0,11872,+476,1.039
04-20-2020,13011,787,0,12224,+372,1.029
04-21-2020,13356,787,0,12569,+345,1.027
04-22-2020,13686,876,0,12810,+330,1.025
04-23-2020,14049,907,0,13142,+363,1.027
04-24-2020,14363,934,0,13429,+314,1.022
04-25-2020,14738,954,0,13784,+375,1.026
04-26-2020,14965,955,0,14010,+227,1.015
04-27-2020,15104,960,0,14144,+139,1.009
04-28-2020,15251,1002,0,14249,+147,1.010
04-29-2020,15446,1057,0,14389,+195,1.013
04-30-2020,15610,1136,0,14474,+164,1.011
05-01-2020,15830,1187,0,14643,+220,1.014
05-02-2020,15974,1202,0,14772,+144,1.009
05-03-2020,16185,1210,0,14975,+211,1.013
05-04-2020,16282,1215,0,15067,+97,1.006
05-05-2020,16460,1261,0,15199,+178,1.011
05-06-2020,16520,1289,0,15231,+60,1.004
05-07-2020,16609,1319,0,15290,+89,1.005
05-08-2020,16709,1329,0,15380,+100,1.006
05-09-2020,16804,1348,0,15456,+95,1.006
05-10-2020,16929,1355,0,15574,+125,1.007
05-11-2020,17028,1358,0,15670,+99,1.006
05-12-2020,17091,1388,0,15703,+63,1.004
05-13-2020,17150,1409,0,15741,+59,1.003
05-14-2020,17080,1423,0,15657,+-70,0.996
05-15-2020,17195,1443,0,15752,+115,1.007
05-16-2020,17246,1450,0,15796,+51,1.003
05-17-2020,17361,1455,0,15906,+115,1.007
05-18-2020,17459,1460,0,15999,+98,1.006
05-19-2020,17522,1474,0,16048,+63,1.004
05-20-2020,17518,1500,0,16018,+-4,1.000
05-21-2020,17583,1508,0,16075,+65,1.004
05-22-2020,17653,1515,0,16138,+70,1.004
05-23-2020,17668,1521,0,16147,+15,1.001
05-24-2020,17804,1525,0,16279,+136,1.008
05-25-2020,17901,1525,0,16376,+97,1.005
05-26-2020,17963,1528,0,16435,+62,1.003
05-27-2020,18023,1547,0,16476,+60,1.003
05-28-2020,18158,1553,0,16605,+135,1.007
05-29-2020,18223,1567,0,16656,+65,1.004
05-30-2020,18211,1573,0,16638,+-12,0.999
05-31-2020,18272,1579,0,16693,+61,1.003
06-01-2020,18302,1580,0,16722,+30,1.002
06-02-2020,18333,1584,0,16749,+31,1.002
06-03-2020,18376,1595,0,16781,+43,1.002
