Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,13,0,0,0,+0,0.000
03-23-2020,14,0,0,0,+1,1.077
03-24-2020,16,0,0,0,+2,1.143
03-25-2020,20,0,0,0,+4,1.250
03-26-2020,36,0,0,0,+16,1.800
03-27-2020,65,0,0,0,+29,1.806
03-28-2020,65,0,0,0,+0,1.000
03-29-2020,68,0,0,0,+3,1.046
03-30-2020,82,0,0,0,+14,1.206
03-31-2020,110,0,0,0,+28,1.341
04-01-2020,151,0,0,0,+41,1.373
04-02-2020,168,1,0,0,+17,1.113
04-03-2020,201,1,0,0,+33,1.196
04-04-2020,235,2,0,0,+34,1.169
04-05-2020,276,3,0,0,+41,1.174
04-06-2020,326,3,0,0,+50,1.181
04-07-2020,369,4,0,0,+43,1.132
04-08-2020,416,12,0,0,+47,1.127
04-09-2020,616,12,0,0,+200,1.481
04-10-2020,720,12,0,0,+104,1.169
04-11-2020,930,19,0,0,+210,1.292
04-12-2020,1035,20,0,1015,+105,1.113
04-13-2020,1150,21,0,1129,+115,1.111
04-14-2020,1247,27,0,1220,+97,1.084
04-15-2020,1335,28,0,1307,+88,1.071
04-16-2020,1419,31,0,1388,+84,1.063
04-17-2020,1537,34,0,1503,+118,1.083
04-18-2020,1748,40,0,1708,+211,1.137
04-19-2020,1898,65,0,1833,+150,1.086
04-20-2020,1945,74,0,1871,+47,1.025
04-21-2020,1988,82,0,1906,+43,1.022
04-22-2020,2069,85,0,1984,+81,1.041
04-23-2020,2212,86,0,2126,+143,1.069
04-24-2020,2339,87,0,2252,+127,1.057
04-25-2020,2406,88,0,2318,+67,1.029
04-26-2020,2491,88,0,2403,+85,1.035
04-27-2020,2526,89,0,2437,+35,1.014
04-28-2020,2605,91,0,2514,+79,1.031
04-29-2020,2637,116,0,2521,+32,1.012
04-30-2020,2698,117,0,2581,+61,1.023
05-01-2020,2748,117,0,2631,+50,1.019
05-02-2020,2810,118,0,2692,+62,1.023
05-03-2020,2886,118,0,2768,+76,1.027
05-04-2020,2948,118,0,2830,+62,1.021
05-05-2020,3004,147,0,2857,+56,1.019
05-06-2020,3048,148,0,2900,+44,1.015
05-07-2020,3095,168,0,2927,+47,1.015
05-08-2020,3190,168,0,3022,+95,1.031
05-09-2020,3257,169,0,3088,+67,1.021
05-10-2020,3371,170,0,3201,+114,1.035
05-11-2020,3417,171,0,3246,+46,1.014
05-12-2020,3453,172,0,3281,+36,1.011
05-13-2020,3485,179,0,3306,+32,1.009
05-14-2020,3530,196,0,3334,+45,1.013
05-15-2020,3593,207,0,3386,+63,1.018
05-16-2020,3643,208,0,3435,+50,1.014
05-17-2020,3677,208,0,3469,+34,1.009
05-18-2020,3719,248,0,3471,+42,1.011
05-19-2020,3735,262,0,3473,+16,1.004
05-20-2020,3763,273,0,3490,+28,1.007
05-21-2020,3784,279,0,3505,+21,1.006
05-22-2020,3838,283,0,3555,+54,1.014
05-23-2020,3845,292,0,3553,+7,1.002
05-24-2020,3885,296,0,3589,+40,1.010
05-25-2020,3903,296,0,3607,+18,1.005
05-26-2020,3919,296,0,3623,+16,1.004
05-27-2020,3952,301,0,3651,+33,1.008
05-28-2020,3973,308,0,3665,+21,1.005
05-29-2020,3988,311,0,3677,+15,1.004
05-30-2020,4002,316,0,3686,+14,1.004
05-31-2020,4061,317,0,3744,+59,1.015
06-01-2020,4074,317,0,3757,+13,1.003
06-02-2020,4107,321,0,3786,+33,1.008
06-03-2020,4132,322,0,3810,+25,1.006
