Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,32,0,0,0,+0,0.000
03-23-2020,38,0,0,0,+6,1.188
03-24-2020,43,0,0,0,+5,1.132
03-25-2020,48,0,0,0,+5,1.116
03-26-2020,48,0,0,0,+0,1.000
03-27-2020,55,0,0,0,+7,1.146
03-28-2020,93,0,0,0,+38,1.691
03-29-2020,101,1,0,0,+8,1.086
03-30-2020,101,1,0,0,+0,1.000
03-31-2020,129,3,0,0,+28,1.277
04-01-2020,129,4,0,0,+0,1.000
04-02-2020,148,4,0,0,+19,1.147
04-03-2020,202,7,0,0,+54,1.365
04-04-2020,202,7,0,0,+0,1.000
04-05-2020,246,7,0,0,+44,1.218
04-06-2020,262,7,0,0,+16,1.065
04-07-2020,307,8,0,0,+45,1.172
04-08-2020,307,8,0,0,+0,1.000
04-09-2020,325,11,0,0,+18,1.059
04-10-2020,407,12,0,0,+82,1.252
04-11-2020,407,13,0,0,+0,1.000
04-12-2020,440,16,0,424,+33,1.081
04-13-2020,455,16,0,439,+15,1.034
04-14-2020,455,16,0,439,+0,1.000
04-15-2020,477,17,0,460,+22,1.048
04-16-2020,477,17,0,460,+0,1.000
04-17-2020,491,18,0,473,+14,1.029
04-18-2020,527,23,0,504,+36,1.073
04-19-2020,542,24,0,518,+15,1.028
04-20-2020,566,24,0,542,+24,1.044
04-21-2020,566,24,0,542,+0,1.000
04-22-2020,600,29,0,571,+34,1.060
04-23-2020,631,31,0,600,+31,1.052
04-24-2020,651,33,0,618,+20,1.032
04-25-2020,670,33,0,637,+19,1.029
04-26-2020,688,33,0,655,+18,1.027
04-27-2020,694,33,0,661,+6,1.009
04-28-2020,738,35,0,703,+44,1.063
04-29-2020,765,35,0,730,+27,1.037
04-30-2020,811,35,0,776,+46,1.060
05-01-2020,830,36,0,794,+19,1.023
05-02-2020,883,38,0,845,+53,1.064
05-03-2020,920,40,0,880,+37,1.042
05-04-2020,944,40,0,904,+24,1.026
05-05-2020,963,42,0,921,+19,1.020
05-06-2020,981,44,0,937,+18,1.019
05-07-2020,1012,44,0,968,+31,1.032
05-08-2020,1030,45,0,985,+18,1.018
05-09-2020,1050,46,0,1004,+20,1.019
05-10-2020,1073,46,0,1027,+23,1.022
05-11-2020,1086,48,0,1038,+13,1.012
05-12-2020,1111,50,0,1061,+25,1.023
05-13-2020,1124,53,0,1071,+13,1.012
05-14-2020,1149,54,0,1095,+25,1.022
05-15-2020,1180,56,0,1124,+31,1.027
05-16-2020,1194,56,0,1138,+14,1.012
05-17-2020,1210,57,0,1153,+16,1.013
05-18-2020,1218,59,0,1159,+8,1.007
05-19-2020,1225,59,0,1166,+7,1.006
05-20-2020,1284,59,0,1225,+59,1.048
05-21-2020,1273,63,0,1210,+-11,0.991
05-22-2020,1313,66,0,1247,+40,1.031
05-23-2020,1313,66,0,1247,+0,1.000
05-24-2020,1337,68,0,1269,+24,1.018
05-25-2020,1347,68,0,1279,+10,1.007
05-26-2020,1362,68,0,1294,+15,1.011
05-27-2020,1383,69,0,1314,+21,1.015
05-28-2020,1434,70,0,1364,+51,1.037
05-29-2020,1445,71,0,1374,+11,1.008
05-30-2020,1464,71,0,1393,+19,1.013
05-31-2020,1476,71,0,1405,+12,1.008
06-01-2020,1486,71,0,1415,+10,1.007
06-02-2020,1499,72,0,1427,+13,1.009
06-03-2020,1524,72,0,1452,+25,1.017
