Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,46,1,0,0,+0,0.000
03-23-2020,57,1,0,0,+11,1.239
03-24-2020,69,1,0,0,+12,1.211
03-25-2020,69,2,0,0,+0,1.000
03-26-2020,84,3,0,0,+15,1.217
03-27-2020,113,5,0,0,+29,1.345
03-28-2020,125,5,0,0,+12,1.106
03-29-2020,140,5,0,0,+15,1.120
03-30-2020,157,6,0,0,+17,1.121
03-31-2020,168,6,0,0,+11,1.070
04-01-2020,207,9,0,0,+39,1.232
04-02-2020,229,9,0,0,+22,1.106
04-03-2020,254,9,0,0,+25,1.109
04-04-2020,342,9,0,0,+88,1.346
04-05-2020,384,11,0,0,+42,1.123
04-06-2020,410,12,0,0,+26,1.068
04-07-2020,456,12,0,0,+46,1.112
04-08-2020,503,18,0,0,+47,1.103
04-09-2020,554,20,0,0,+51,1.101
04-10-2020,615,22,0,0,+61,1.110
04-11-2020,665,24,0,0,+50,1.081
04-12-2020,723,27,0,696,+58,1.087
04-13-2020,772,30,0,742,+49,1.068
04-14-2020,794,33,0,761,+22,1.028
04-15-2020,815,33,0,782,+21,1.026
04-16-2020,890,37,0,853,+75,1.092
04-17-2020,918,37,0,881,+28,1.031
04-18-2020,959,37,0,922,+41,1.045
04-19-2020,992,38,0,954,+33,1.034
04-20-2020,1015,39,0,976,+23,1.023
04-21-2020,1029,39,0,990,+14,1.014
04-22-2020,1080,39,0,1041,+51,1.050
04-23-2020,1167,43,0,1124,+87,1.081
04-24-2020,1334,43,0,1291,+167,1.143
04-25-2020,1334,43,0,1291,+0,1.000
04-26-2020,1334,43,0,1291,+0,1.000
04-27-2020,1334,43,0,1291,+0,1.000
04-28-2020,1275,44,0,1231,+-59,0.956
04-29-2020,1307,44,0,1263,+32,1.025
04-30-2020,1374,48,0,1326,+67,1.051
05-01-2020,1374,48,0,1326,+0,1.000
05-02-2020,1477,48,0,1429,+103,1.075
05-03-2020,1585,48,0,1537,+108,1.073
05-04-2020,1585,48,0,1537,+0,1.000
05-05-2020,1652,48,0,1604,+67,1.042
05-06-2020,1677,48,0,1629,+25,1.015
05-07-2020,1761,53,0,1708,+84,1.050
05-08-2020,1805,54,0,1751,+44,1.025
05-09-2020,1805,54,0,1751,+0,1.000
05-10-2020,1835,56,0,1779,+30,1.017
05-11-2020,1901,56,0,1845,+66,1.036
05-12-2020,1901,56,0,1845,+0,1.000
05-13-2020,1942,57,0,1885,+41,1.022
05-14-2020,1976,58,0,1918,+34,1.018
05-15-2020,1976,58,0,1918,+0,1.000
05-16-2020,2120,62,0,2058,+144,1.073
05-17-2020,2120,62,0,2058,+0,1.000
05-18-2020,2120,62,0,2058,+0,1.000
05-19-2020,2278,62,0,2216,+158,1.075
05-20-2020,2278,62,0,2216,+0,1.000
05-21-2020,2322,63,0,2259,+44,1.019
05-22-2020,2371,64,0,2307,+49,1.021
05-23-2020,2392,66,0,2326,+21,1.009
05-24-2020,2418,66,0,2352,+26,1.011
05-25-2020,2418,66,0,2352,+0,1.000
05-26-2020,2449,69,0,2380,+31,1.013
05-27-2020,2449,69,0,2380,+0,1.000
05-28-2020,2583,71,0,2512,+134,1.055
05-29-2020,2583,71,0,2512,+0,1.000
05-30-2020,2636,72,0,2564,+53,1.021
05-31-2020,2825,73,0,2752,+189,1.072
06-01-2020,2830,74,0,2756,+5,1.002
06-02-2020,2839,75,0,2764,+9,1.003
06-03-2020,2882,75,0,2807,+43,1.015
