Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,3,0,0,0,+0,1.000
03-24-2020,4,0,0,0,+1,1.333
03-25-2020,4,0,0,0,+0,1.000
03-26-2020,5,0,0,0,+1,1.250
03-27-2020,7,0,0,0,+2,1.400
03-28-2020,6,0,0,0,+-1,0.857
03-29-2020,6,0,0,0,+0,1.000
03-30-2020,6,0,0,0,+0,1.000
03-31-2020,7,0,0,0,+1,1.167
04-01-2020,7,0,0,0,+0,1.000
04-02-2020,8,0,0,0,+1,1.143
04-03-2020,8,0,0,0,+0,1.000
04-04-2020,10,0,0,0,+2,1.250
04-05-2020,12,0,0,0,+2,1.200
04-06-2020,12,0,0,0,+0,1.000
04-07-2020,15,0,0,0,+3,1.250
04-08-2020,19,0,0,0,+4,1.267
04-09-2020,21,0,0,0,+2,1.105
04-10-2020,35,0,0,0,+14,1.667
04-11-2020,41,0,0,0,+6,1.171
04-12-2020,47,0,0,47,+6,1.146
04-13-2020,62,0,0,62,+15,1.319
04-14-2020,78,0,0,78,+16,1.258
04-15-2020,85,0,0,85,+7,1.090
04-16-2020,109,0,0,109,+24,1.282
04-17-2020,138,1,0,137,+29,1.266
04-18-2020,166,1,0,165,+28,1.203
04-19-2020,192,1,0,191,+26,1.157
04-20-2020,259,2,0,257,+67,1.349
04-21-2020,366,2,0,364,+107,1.413
04-22-2020,379,4,0,375,+13,1.036
04-23-2020,420,4,0,416,+41,1.108
04-24-2020,530,7,0,523,+110,1.262
04-25-2020,691,8,0,683,+161,1.304
04-26-2020,714,9,0,705,+23,1.033
04-27-2020,844,11,0,833,+130,1.182
04-28-2020,941,12,0,929,+97,1.115
04-29-2020,1082,13,0,1069,+141,1.150
04-30-2020,1140,13,0,1127,+58,1.054
05-01-2020,1195,13,0,1182,+55,1.048
05-02-2020,1255,13,0,1242,+60,1.050
05-03-2020,1306,15,0,1291,+51,1.041
05-04-2020,1361,15,0,1346,+55,1.042
05-05-2020,1378,18,0,1360,+17,1.012
05-06-2020,1396,19,0,1377,+18,1.013
05-07-2020,1450,19,0,1431,+54,1.039
05-08-2020,1463,20,0,1443,+13,1.009
05-09-2020,1477,20,0,1457,+14,1.010
05-10-2020,1493,23,0,1470,+16,1.011
05-11-2020,1512,25,0,1487,+19,1.013
05-12-2020,1521,28,0,1493,+9,1.006
05-13-2020,1528,28,0,1500,+7,1.005
05-14-2020,1533,29,0,1504,+5,1.003
05-15-2020,1548,29,0,1519,+15,1.010
05-16-2020,1571,29,0,1542,+23,1.015
05-17-2020,1587,30,0,1557,+16,1.010
05-18-2020,1603,30,0,1573,+16,1.010
05-19-2020,1628,31,0,1597,+25,1.016
05-20-2020,1636,36,0,1600,+8,1.005
05-21-2020,1654,37,0,1617,+18,1.011
05-22-2020,1662,37,0,1625,+8,1.005
05-23-2020,1669,38,0,1631,+7,1.004
05-24-2020,1676,39,0,1637,+7,1.004
05-25-2020,1682,39,0,1643,+6,1.004
05-26-2020,1692,40,0,1652,+10,1.006
05-27-2020,1713,43,0,1670,+21,1.012
05-28-2020,1724,43,0,1681,+11,1.006
05-29-2020,1730,44,0,1686,+6,1.003
05-30-2020,1739,44,0,1695,+9,1.005
05-31-2020,1746,44,0,1702,+7,1.004
06-01-2020,1747,45,0,1702,+1,1.001
06-02-2020,1759,45,0,1714,+12,1.007
06-03-2020,1759,46,0,1713,+0,1.000
