Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,14,0,0,0,+0,0.000
03-23-2020,16,0,0,0,+2,1.143
03-24-2020,28,0,0,0,+12,1.750
03-25-2020,28,0,0,0,+0,1.000
03-26-2020,39,0,0,0,+11,1.393
03-27-2020,39,0,0,0,+0,1.000
03-28-2020,61,0,0,0,+22,1.564
03-29-2020,61,0,0,0,+0,1.000
03-30-2020,68,1,0,0,+7,1.115
03-31-2020,95,1,0,0,+27,1.397
04-01-2020,95,1,0,0,+0,1.000
04-02-2020,109,1,0,0,+14,1.147
04-03-2020,123,1,0,0,+14,1.128
04-04-2020,144,1,0,0,+21,1.171
04-05-2020,144,1,0,0,+0,1.000
04-06-2020,167,1,0,0,+23,1.160
04-07-2020,173,1,0,0,+6,1.036
04-08-2020,173,1,0,0,+0,1.000
04-09-2020,184,1,0,0,+11,1.064
04-10-2020,199,2,0,0,+15,1.082
04-11-2020,216,2,0,0,+17,1.085
04-12-2020,225,2,0,223,+9,1.042
04-13-2020,237,2,0,235,+12,1.053
04-14-2020,250,2,0,248,+13,1.055
04-15-2020,259,3,0,256,+9,1.036
04-16-2020,272,3,0,269,+13,1.050
04-17-2020,285,3,0,282,+13,1.048
04-18-2020,302,3,0,299,+17,1.060
04-19-2020,304,3,0,301,+2,1.007
04-20-2020,315,3,0,312,+11,1.036
04-21-2020,333,3,0,330,+18,1.057
