Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,12,0,0,0,+0,0.000
03-23-2020,12,0,0,0,+0,1.000
03-24-2020,16,0,0,0,+4,1.333
03-25-2020,21,0,0,0,+5,1.312
03-26-2020,28,0,0,0,+7,1.333
03-27-2020,31,0,0,0,+3,1.107
03-28-2020,40,1,0,0,+9,1.290
03-29-2020,44,2,0,0,+4,1.100
03-30-2020,46,2,0,0,+2,1.045
03-31-2020,53,2,0,0,+7,1.152
04-01-2020,63,3,0,0,+10,1.189
04-02-2020,68,4,0,0,+5,1.079
04-03-2020,72,5,0,0,+4,1.059
04-04-2020,75,5,0,0,+3,1.042
04-05-2020,94,6,0,0,+19,1.253
04-06-2020,94,6,0,0,+0,1.000
04-07-2020,97,7,0,0,+3,1.032
04-08-2020,108,8,0,0,+11,1.113
04-09-2020,108,8,0,0,+0,1.000
04-10-2020,116,9,0,0,+8,1.074
04-11-2020,134,10,0,0,+18,1.155
04-12-2020,134,10,0,124,+0,1.000
04-13-2020,143,12,0,131,+9,1.067
04-14-2020,143,12,0,131,+0,1.000
04-15-2020,149,13,0,136,+6,1.042
04-16-2020,151,13,0,138,+2,1.013
04-17-2020,164,15,0,149,+13,1.086
04-18-2020,169,16,0,153,+5,1.030
04-19-2020,169,16,0,153,+0,1.000
04-20-2020,170,16,0,154,+1,1.006
04-21-2020,170,16,0,154,+0,1.000
