Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,24,0,0,0,+0,0.000
03-23-2020,25,0,0,0,+1,1.042
03-24-2020,31,0,0,0,+6,1.240
03-25-2020,67,0,0,0,+36,2.161
03-26-2020,90,0,0,0,+23,1.343
03-27-2020,129,1,0,0,+39,1.433
03-28-2020,179,1,0,0,+50,1.388
03-29-2020,208,1,0,0,+29,1.162
03-30-2020,263,2,0,0,+55,1.264
03-31-2020,306,2,0,0,+43,1.163
04-01-2020,366,3,0,0,+60,1.196
04-02-2020,424,3,0,0,+58,1.158
04-03-2020,517,4,0,0,+93,1.219
04-04-2020,601,5,0,0,+84,1.162
04-05-2020,659,8,0,0,+58,1.097
04-06-2020,722,8,0,0,+63,1.096
04-07-2020,768,16,0,0,+46,1.064
04-08-2020,835,23,0,0,+67,1.087
04-09-2020,994,23,0,0,+159,1.190
04-10-2020,1086,23,0,0,+92,1.093
04-11-2020,1191,39,0,0,+105,1.097
04-12-2020,1327,43,0,1284,+136,1.114
04-13-2020,1394,43,0,1351,+67,1.050
04-14-2020,1435,43,0,1392,+41,1.029
04-15-2020,1508,56,0,1452,+73,1.051
04-16-2020,1605,56,0,1549,+97,1.064
04-17-2020,1659,63,0,1596,+54,1.034
04-18-2020,1698,75,0,1623,+39,1.024
04-19-2020,1731,87,0,1644,+33,1.019
04-20-2020,1731,87,0,1644,+0,1.000
04-21-2020,1852,96,0,1756,+121,1.070
04-22-2020,1908,96,0,1812,+56,1.030
04-23-2020,2181,96,0,2085,+273,1.143
04-24-2020,2697,96,0,2601,+516,1.237
04-25-2020,2829,130,0,2699,+132,1.049
04-26-2020,2923,130,0,2793,+94,1.033
04-27-2020,3068,137,0,2931,+145,1.050
04-28-2020,3270,155,0,3115,+202,1.066
04-29-2020,3429,165,0,3264,+159,1.049
04-30-2020,3580,172,0,3408,+151,1.044
05-01-2020,3792,182,0,3610,+212,1.059
05-02-2020,3916,187,0,3729,+124,1.033
05-03-2020,4019,198,0,3821,+103,1.026
05-04-2020,4103,205,0,3898,+84,1.021
05-05-2020,4235,210,0,4025,+132,1.032
05-06-2020,4380,223,0,4157,+145,1.034
05-07-2020,4529,232,0,4297,+149,1.034
05-08-2020,4670,252,0,4418,+141,1.031
05-09-2020,4847,260,0,4587,+177,1.038
05-10-2020,4931,266,0,4665,+84,1.017
05-11-2020,4999,274,0,4725,+68,1.014
05-12-2020,5125,278,0,4847,+126,1.025
05-13-2020,5249,288,0,4961,+124,1.024
05-14-2020,5440,297,0,5143,+191,1.036
05-15-2020,5590,303,0,5287,+150,1.028
05-16-2020,5748,313,0,5435,+158,1.028
05-17-2020,5870,320,0,5550,+122,1.021
05-18-2020,5996,324,0,5672,+126,1.021
05-19-2020,6080,330,0,5750,+84,1.014
05-20-2020,6165,338,0,5827,+85,1.014
05-21-2020,6286,345,0,5941,+121,1.020
05-22-2020,6362,353,0,6009,+76,1.012
05-23-2020,6426,362,0,6064,+64,1.010
05-24-2020,6596,369,0,6227,+170,1.026
05-25-2020,6681,375,0,6306,+85,1.013
05-26-2020,6733,382,0,6351,+52,1.008
05-27-2020,6779,390,0,6389,+46,1.007
05-28-2020,6852,399,0,6453,+73,1.011
05-29-2020,6930,404,0,6526,+78,1.011
05-30-2020,7089,410,0,6679,+159,1.023
05-31-2020,7159,415,0,6744,+70,1.010
06-01-2020,7348,429,0,6919,+189,1.026
06-02-2020,7380,435,0,6945,+32,1.004
06-03-2020,7453,441,0,7012,+73,1.010
