Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,217,3,0,0,+0,0.000
03-23-2020,263,3,0,0,+46,1.212
03-24-2020,311,3,0,0,+48,1.183
03-25-2020,355,3,0,0,+44,1.141
03-26-2020,504,3,0,0,+149,1.420
03-27-2020,614,5,0,0,+110,1.218
03-28-2020,814,10,0,0,+200,1.326
03-29-2020,838,11,0,0,+24,1.029
03-30-2020,1152,11,0,0,+314,1.375
03-31-2020,1219,12,0,0,+67,1.058
04-01-2020,1232,12,0,0,+13,1.011
04-02-2020,1481,17,0,0,+249,1.202
04-03-2020,1598,22,0,0,+117,1.079
04-04-2020,1765,31,0,0,+167,1.105
04-05-2020,1886,40,0,0,+121,1.069
04-06-2020,2067,46,0,0,+181,1.096
04-07-2020,2230,47,0,0,+163,1.079
04-08-2020,2358,58,0,0,+128,1.057
04-09-2020,2454,66,0,0,+96,1.041
04-10-2020,2645,72,0,0,+191,1.078
04-11-2020,2806,76,0,0,+161,1.061
04-12-2020,2945,76,0,2869,+139,1.050
04-13-2020,3177,77,0,3100,+232,1.079
04-14-2020,3261,78,0,3183,+84,1.026
04-15-2020,3363,92,0,3271,+102,1.031
04-16-2020,3466,101,0,3365,+103,1.031
04-17-2020,3688,107,0,3581,+222,1.064
04-18-2020,3838,115,0,3723,+150,1.041
04-19-2020,3971,115,0,3856,+133,1.035
04-20-2020,4078,122,0,3956,+107,1.027
04-21-2020,4168,126,0,4042,+90,1.022
04-22-2020,4228,141,0,4087,+60,1.014
04-23-2020,4431,157,0,4274,+203,1.048
04-24-2020,4591,162,0,4429,+160,1.036
04-25-2020,4659,162,0,4497,+68,1.015
04-26-2020,4729,170,0,4559,+70,1.015
04-27-2020,4794,174,0,4620,+65,1.014
04-28-2020,4847,179,0,4668,+53,1.011
04-29-2020,4898,182,0,4716,+51,1.011
04-30-2020,4953,185,0,4768,+55,1.011
05-01-2020,5144,199,0,4945,+191,1.039
05-02-2020,5257,204,0,5053,+113,1.022
05-03-2020,5312,207,0,5105,+55,1.010
05-04-2020,5383,208,0,5175,+71,1.013
05-05-2020,5492,215,0,5277,+109,1.020
05-06-2020,5553,219,0,5334,+61,1.011
05-07-2020,5677,230,0,5447,+124,1.022
05-08-2020,5688,248,0,5440,+11,1.002
05-09-2020,5780,257,0,5523,+92,1.016
05-10-2020,5858,257,0,5601,+78,1.013
05-11-2020,5882,258,0,5624,+24,1.004
05-12-2020,5973,258,0,5715,+91,1.015
05-13-2020,5998,267,0,5731,+25,1.004
05-14-2020,6057,267,0,5790,+59,1.010
05-15-2020,6133,272,0,5861,+76,1.013
05-16-2020,6201,278,0,5923,+68,1.011
05-17-2020,6243,279,0,5964,+42,1.007
05-18-2020,6322,281,0,6041,+79,1.013
05-19-2020,6369,282,0,6087,+47,1.007
05-20-2020,6407,285,0,6122,+38,1.006
05-21-2020,6514,286,0,6228,+107,1.017
05-22-2020,6580,286,0,6294,+66,1.010
05-23-2020,6649,292,0,6357,+69,1.010
05-24-2020,6697,292,0,6405,+48,1.007
05-25-2020,6760,298,0,6462,+63,1.009
05-26-2020,6799,300,0,6499,+39,1.006
05-27-2020,6825,305,0,6520,+26,1.004
05-28-2020,6870,307,0,6563,+45,1.007
05-29-2020,6975,308,0,6667,+105,1.015
05-30-2020,7067,313,0,6754,+92,1.013
05-31-2020,7123,313,0,6810,+56,1.008
06-01-2020,7196,314,0,6882,+73,1.010
06-02-2020,7248,317,0,6931,+52,1.007
06-03-2020,7339,318,0,7021,+91,1.013
