Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,3,0,0,0,+0,0.000
03-23-2020,3,0,0,0,+0,1.000
03-24-2020,3,0,0,0,+0,1.000
03-25-2020,3,0,0,0,+0,1.000
03-26-2020,4,0,0,0,+1,1.333
03-27-2020,5,0,0,0,+1,1.250
03-28-2020,6,0,0,0,+1,1.200
03-29-2020,6,0,0,0,+0,1.000
03-30-2020,7,0,0,0,+1,1.167
03-31-2020,9,0,0,0,+2,1.286
04-01-2020,11,0,0,0,+2,1.222
04-02-2020,17,0,0,0,+6,1.545
04-03-2020,24,0,0,0,+7,1.412
04-04-2020,24,0,0,0,+0,1.000
04-05-2020,29,0,0,0,+5,1.208
04-06-2020,39,0,0,0,+10,1.345
04-07-2020,41,0,0,0,+2,1.051
04-08-2020,41,0,0,0,+0,1.000
04-09-2020,50,0,0,0,+9,1.220
04-10-2020,55,1,0,0,+5,1.100
04-11-2020,60,1,0,0,+5,1.091
04-12-2020,68,1,0,67,+8,1.133
04-13-2020,77,1,0,76,+9,1.132
04-14-2020,97,1,0,96,+20,1.260
04-15-2020,114,1,0,113,+17,1.175
04-16-2020,139,1,0,138,+25,1.219
04-17-2020,180,1,0,179,+41,1.295
04-18-2020,204,1,0,203,+24,1.133
04-19-2020,215,1,0,214,+11,1.054
04-20-2020,285,1,0,284,+70,1.326
04-21-2020,314,2,0,312,+29,1.102
04-22-2020,402,2,0,400,+88,1.280
04-23-2020,455,2,0,453,+53,1.132
04-24-2020,605,2,0,603,+150,1.330
04-25-2020,720,2,0,718,+115,1.190
04-26-2020,776,2,0,774,+56,1.078
04-27-2020,853,2,0,851,+77,1.099
04-28-2020,920,3,0,917,+67,1.079
04-29-2020,971,3,0,968,+51,1.055
04-30-2020,1057,3,0,1054,+86,1.089
05-01-2020,1175,5,0,1170,+118,1.112
05-02-2020,1272,6,0,1266,+97,1.083
05-03-2020,1358,6,0,1352,+86,1.068
05-04-2020,1448,6,0,1442,+90,1.066
05-05-2020,1545,9,0,1536,+97,1.067
05-06-2020,1653,11,0,1642,+108,1.070
05-07-2020,1706,12,0,1694,+53,1.032
05-08-2020,1777,13,0,1764,+71,1.042
05-09-2020,1834,18,0,1816,+57,1.032
05-10-2020,1897,18,0,1879,+63,1.034
05-11-2020,1924,18,0,1906,+27,1.014
05-12-2020,1958,20,0,1938,+34,1.018
05-13-2020,1982,20,0,1962,+24,1.012
05-14-2020,1999,21,0,1978,+17,1.009
05-15-2020,2034,21,0,2013,+35,1.018
05-16-2020,2070,22,0,2048,+36,1.018
05-17-2020,2096,22,0,2074,+26,1.013
05-18-2020,2102,23,0,2079,+6,1.003
05-19-2020,2118,26,0,2092,+16,1.008
05-20-2020,2135,29,0,2106,+17,1.008
05-21-2020,2177,29,0,2148,+42,1.020
05-22-2020,2204,31,0,2173,+27,1.012
05-23-2020,2238,32,0,2206,+34,1.015
05-24-2020,2243,32,0,2211,+5,1.002
05-25-2020,2249,32,0,2217,+6,1.003
05-26-2020,2249,32,0,2217,+0,1.000
05-27-2020,2285,33,0,2252,+36,1.016
05-28-2020,2300,34,0,2266,+15,1.007
05-29-2020,2308,35,0,2273,+8,1.003
05-30-2020,2318,37,0,2281,+10,1.004
05-31-2020,2319,37,0,2282,+1,1.000
06-01-2020,2320,37,0,2283,+1,1.000
06-02-2020,2334,37,0,2297,+14,1.006
06-03-2020,2350,37,0,2313,+16,1.007
