Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,15,0,0,0,+0,0.000
03-23-2020,34,0,0,0,+19,2.267
03-24-2020,40,0,0,0,+6,1.176
03-25-2020,93,0,0,0,+53,2.325
03-26-2020,115,1,0,0,+22,1.237
03-27-2020,140,2,0,0,+25,1.217
03-28-2020,189,2,0,0,+49,1.350
03-29-2020,219,5,0,0,+30,1.159
03-30-2020,222,5,0,0,+3,1.014
03-31-2020,242,7,0,0,+20,1.090
04-01-2020,298,7,0,0,+56,1.231
04-02-2020,336,10,0,0,+38,1.128
04-03-2020,377,10,0,0,+41,1.122
04-04-2020,598,10,0,0,+221,1.586
04-05-2020,647,19,0,0,+49,1.082
04-06-2020,711,21,0,0,+64,1.099
04-07-2020,756,26,0,0,+45,1.063
04-08-2020,803,25,0,0,+47,1.062
04-09-2020,906,26,0,0,+103,1.128
04-10-2020,950,39,0,0,+44,1.049
04-11-2020,974,39,0,0,+24,1.025
04-12-2020,1018,39,0,979,+44,1.045
04-13-2020,1033,39,0,994,+15,1.015
