Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,22,0,0,0,+0,0.000
03-23-2020,33,1,0,0,+11,1.500
03-24-2020,51,1,0,0,+18,1.545
03-25-2020,61,1,0,0,+10,1.196
03-26-2020,73,1,0,0,+12,1.197
03-27-2020,95,1,0,0,+22,1.301
03-28-2020,123,1,0,0,+28,1.295
03-29-2020,163,1,0,0,+40,1.325
03-30-2020,200,1,0,0,+37,1.227
03-31-2020,228,3,0,0,+28,1.140
04-01-2020,289,3,0,0,+61,1.268
04-02-2020,343,6,0,0,+54,1.187
04-03-2020,406,7,0,0,+63,1.184
04-04-2020,481,8,0,0,+75,1.185
04-05-2020,556,8,0,0,+75,1.156
04-06-2020,645,8,0,0,+89,1.160
04-07-2020,736,12,0,0,+91,1.141
04-08-2020,838,22,0,0,+102,1.139
04-09-2020,990,23,0,0,+152,1.181
04-10-2020,1072,29,0,0,+82,1.083
