Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,6,0,0,0,+0,0.000
03-23-2020,6,0,0,0,+0,1.000
03-24-2020,6,0,0,0,+0,1.000
03-25-2020,7,0,0,0,+1,1.167
03-26-2020,10,0,0,0,+3,1.429
03-27-2020,13,0,0,0,+3,1.300
03-28-2020,13,0,0,0,+0,1.000
03-29-2020,20,0,0,0,+7,1.538
03-30-2020,20,0,0,0,+0,1.000
03-31-2020,26,0,0,0,+6,1.300
04-01-2020,26,0,0,0,+0,1.000
04-02-2020,37,0,0,0,+11,1.423
04-03-2020,55,0,0,0,+18,1.486
04-04-2020,62,0,0,0,+7,1.127
04-05-2020,77,0,0,0,+15,1.242
04-06-2020,87,0,0,0,+10,1.130
04-07-2020,101,1,0,0,+14,1.161
04-08-2020,108,1,0,0,+7,1.069
04-09-2020,118,1,0,0,+10,1.093
04-10-2020,147,3,0,0,+29,1.246
04-11-2020,159,3,0,0,+12,1.082
04-12-2020,195,3,0,192,+36,1.226
04-13-2020,195,3,0,192,+0,1.000
04-14-2020,216,3,0,213,+21,1.108
04-15-2020,239,3,0,236,+23,1.106
04-16-2020,254,3,0,251,+15,1.063
04-17-2020,270,4,0,266,+16,1.063
04-18-2020,279,5,0,274,+9,1.033
04-19-2020,298,6,0,292,+19,1.068
04-20-2020,298,6,0,292,+0,1.000
04-21-2020,310,7,0,303,+12,1.040
