Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,0,0,0,0,+0,0.000
03-29-2020,0,0,0,0,+0,0.000
03-30-2020,1,0,0,0,+1,0.000
03-31-2020,1,0,0,0,+0,1.000
04-01-2020,1,0,0,0,+0,1.000
04-02-2020,2,0,0,0,+1,2.000
04-03-2020,2,0,0,0,+0,1.000
04-04-2020,4,0,0,0,+2,2.000
04-05-2020,4,0,0,0,+0,1.000
04-06-2020,4,0,0,0,+0,1.000
04-07-2020,12,0,0,0,+8,3.000
04-08-2020,15,0,0,0,+3,1.250
04-09-2020,16,1,0,0,+1,1.067
04-10-2020,18,1,0,0,+2,1.125
04-11-2020,23,1,0,0,+5,1.278
04-12-2020,22,1,0,21,+-1,0.957
04-13-2020,28,1,0,27,+6,1.273
04-14-2020,28,1,0,27,+0,1.000
04-15-2020,33,1,0,32,+5,1.179
04-16-2020,37,1,0,36,+4,1.121
04-17-2020,50,1,0,49,+13,1.351
04-18-2020,52,1,0,51,+2,1.040
04-19-2020,71,1,0,70,+19,1.365
04-20-2020,87,1,0,86,+16,1.225
04-21-2020,107,1,0,106,+20,1.230
04-22-2020,138,1,0,137,+31,1.290
04-23-2020,199,1,0,198,+61,1.442
04-24-2020,255,1,0,254,+56,1.281
04-25-2020,315,1,0,314,+60,1.235
04-26-2020,586,1,0,585,+271,1.860
04-27-2020,1025,1,0,1024,+439,1.749
04-28-2020,1101,1,0,1100,+76,1.074
04-29-2020,1125,3,0,1122,+24,1.022
04-30-2020,1164,2,0,1162,+39,1.035
05-01-2020,1214,2,0,1212,+50,1.043
05-02-2020,1224,2,0,1222,+10,1.008
05-03-2020,1293,2,0,1291,+69,1.056
05-04-2020,1371,2,0,1369,+78,1.060
05-05-2020,1406,2,0,1404,+35,1.026
05-06-2020,1442,2,0,1440,+36,1.026
05-07-2020,1469,2,0,1467,+27,1.019
05-08-2020,1497,2,0,1495,+28,1.019
05-09-2020,1507,2,0,1505,+10,1.007
05-10-2020,1520,3,0,1517,+13,1.009
05-11-2020,1524,3,0,1521,+4,1.003
05-12-2020,1542,4,0,1538,+18,1.012
05-13-2020,1544,4,0,1540,+2,1.001
05-14-2020,1546,4,0,1542,+2,1.001
05-15-2020,1551,5,0,1546,+5,1.003
05-16-2020,1553,5,0,1548,+2,1.001
05-17-2020,1553,5,0,1548,+0,1.000
05-18-2020,1552,5,0,1547,+-1,0.999
05-19-2020,1560,6,0,1554,+8,1.005
05-20-2020,1564,6,0,1558,+4,1.003
05-21-2020,1572,6,0,1566,+8,1.005
05-22-2020,1578,6,0,1572,+6,1.004
05-23-2020,1579,6,0,1573,+1,1.001
05-24-2020,1581,6,0,1575,+2,1.001
05-25-2020,1582,6,0,1576,+1,1.001
05-26-2020,1582,6,0,1576,+0,1.000
05-27-2020,1586,7,0,1579,+4,1.003
05-28-2020,1589,7,0,1582,+3,1.002
05-29-2020,1589,7,0,1582,+0,1.000
05-30-2020,1587,7,0,1580,+-2,0.999
05-31-2020,1587,7,0,1580,+0,1.000
06-01-2020,1587,7,0,1580,+0,1.000
06-02-2020,1592,7,0,1585,+5,1.003
06-03-2020,1592,7,0,1585,+0,1.000
