Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,1,0,0,0,+0,1.000
03-24-2020,3,0,0,0,+2,3.000
03-25-2020,6,0,0,0,+3,2.000
03-26-2020,6,0,0,0,+0,1.000
03-27-2020,11,1,0,0,+5,1.833
03-28-2020,18,1,0,0,+7,1.636
03-29-2020,20,1,0,0,+2,1.111
03-30-2020,24,1,0,0,+4,1.200
03-31-2020,32,1,0,0,+8,1.333
04-01-2020,34,1,0,0,+2,1.062
04-02-2020,43,1,0,0,+9,1.265
04-03-2020,46,1,0,0,+3,1.070
04-04-2020,48,1,0,0,+2,1.043
04-05-2020,54,1,0,0,+6,1.125
04-06-2020,65,1,0,0,+11,1.204
04-07-2020,70,1,0,0,+5,1.077
04-08-2020,77,1,0,0,+7,1.100
04-09-2020,83,1,0,0,+6,1.078
04-10-2020,88,1,0,0,+5,1.060
04-11-2020,95,2,0,0,+7,1.080
04-12-2020,107,2,0,105,+12,1.126
04-13-2020,116,2,0,114,+9,1.084
04-14-2020,123,2,0,121,+7,1.060
04-15-2020,135,2,0,133,+12,1.098
04-16-2020,152,2,0,150,+17,1.126
04-17-2020,152,2,0,150,+0,1.000
04-18-2020,197,2,0,195,+45,1.296
04-19-2020,212,2,0,210,+15,1.076
04-20-2020,246,2,0,244,+34,1.160
04-21-2020,255,6,0,249,+9,1.037
04-22-2020,274,7,0,267,+19,1.075
04-23-2020,290,8,0,282,+16,1.058
04-24-2020,318,8,0,310,+28,1.097
04-25-2020,357,9,0,348,+39,1.123
04-26-2020,397,10,0,387,+40,1.112
04-27-2020,431,12,0,419,+34,1.086
04-28-2020,472,12,0,460,+41,1.095
04-29-2020,492,12,0,480,+20,1.042
04-30-2020,513,12,0,501,+21,1.043
05-01-2020,542,12,0,530,+29,1.057
05-02-2020,572,12,0,560,+30,1.055
05-03-2020,605,12,0,593,+33,1.058
05-04-2020,630,12,0,618,+25,1.041
05-05-2020,643,12,0,631,+13,1.021
05-06-2020,686,17,0,669,+43,1.067
05-07-2020,709,17,0,692,+23,1.034
05-08-2020,752,17,0,735,+43,1.061
05-09-2020,781,18,0,763,+29,1.039
05-10-2020,805,18,0,787,+24,1.031
05-11-2020,821,21,0,800,+16,1.020
05-12-2020,866,23,0,843,+45,1.055
05-13-2020,935,23,0,912,+69,1.080
05-14-2020,991,25,0,966,+56,1.060
05-15-2020,1032,26,0,1006,+41,1.041
05-16-2020,1106,26,0,1080,+74,1.072
05-17-2020,1147,26,0,1121,+41,1.037
05-18-2020,1173,27,0,1146,+26,1.023
05-19-2020,1229,28,0,1201,+56,1.048
05-20-2020,1277,32,0,1245,+48,1.039
05-21-2020,1370,34,0,1336,+93,1.073
05-22-2020,1442,34,0,1408,+72,1.053
05-23-2020,1487,35,0,1452,+45,1.031
05-24-2020,1528,36,0,1492,+41,1.028
05-25-2020,1564,37,0,1527,+36,1.024
05-26-2020,1580,37,0,1543,+16,1.010
05-27-2020,1596,37,0,1559,+16,1.010
05-28-2020,1632,40,0,1592,+36,1.023
05-29-2020,1661,42,0,1619,+29,1.018
05-30-2020,1685,43,0,1642,+24,1.014
05-31-2020,1705,44,0,1661,+20,1.012
06-01-2020,1744,44,0,1700,+39,1.023
06-02-2020,1762,54,0,1708,+18,1.010
06-03-2020,1783,55,0,1728,+21,1.012
