Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,5,0,0,0,+0,0.000
03-23-2020,5,0,0,0,+0,1.000
03-24-2020,5,0,0,0,+0,1.000
03-25-2020,8,0,0,0,+3,1.600
03-26-2020,10,0,0,0,+2,1.250
03-27-2020,17,0,0,0,+7,1.700
03-28-2020,21,0,0,0,+4,1.235
03-29-2020,28,1,0,0,+7,1.333
03-30-2020,33,1,0,0,+5,1.179
03-31-2020,40,1,0,0,+7,1.212
04-01-2020,56,1,0,0,+16,1.400
04-02-2020,69,1,0,0,+13,1.232
04-03-2020,90,1,0,0,+21,1.304
04-04-2020,95,1,0,0,+5,1.056
04-05-2020,111,2,0,0,+16,1.168
04-06-2020,129,2,0,0,+18,1.162
04-07-2020,136,2,0,0,+7,1.054
04-08-2020,164,2,0,0,+28,1.206
04-09-2020,180,3,0,0,+16,1.098
04-10-2020,220,4,0,0,+40,1.222
04-11-2020,235,5,0,0,+15,1.068
04-12-2020,253,9,0,244,+18,1.077
04-13-2020,274,10,0,264,+21,1.083
04-14-2020,292,12,0,280,+18,1.066
04-15-2020,310,12,0,298,+18,1.062
04-16-2020,327,13,0,314,+17,1.055
04-17-2020,337,15,0,322,+10,1.031
04-18-2020,347,16,0,331,+10,1.030
04-19-2020,370,17,0,353,+23,1.066
04-20-2020,392,20,0,372,+22,1.059
04-21-2020,401,23,0,378,+9,1.023
04-22-2020,427,30,0,397,+26,1.065
04-23-2020,442,32,0,410,+15,1.035
04-24-2020,459,34,0,425,+17,1.038
04-25-2020,483,35,0,448,+24,1.052
04-26-2020,504,35,0,469,+21,1.043
04-27-2020,529,37,0,492,+25,1.050
04-28-2020,539,39,0,500,+10,1.019
04-29-2020,551,42,0,509,+12,1.022
04-30-2020,564,44,0,520,+13,1.024
05-01-2020,611,46,0,565,+47,1.083
05-02-2020,622,47,0,575,+11,1.018
05-03-2020,637,50,0,587,+15,1.024
05-04-2020,651,50,0,601,+14,1.022
05-05-2020,660,50,0,610,+9,1.014
05-06-2020,670,52,0,618,+10,1.015
05-07-2020,698,51,0,647,+28,1.042
05-08-2020,716,54,0,662,+18,1.026
05-09-2020,729,53,0,676,+13,1.018
05-10-2020,748,54,0,694,+19,1.026
05-11-2020,756,54,0,702,+8,1.011
05-12-2020,761,55,0,706,+5,1.007
05-13-2020,778,57,0,721,+17,1.022
05-14-2020,796,59,0,737,+18,1.023
05-15-2020,829,61,0,768,+33,1.041
05-16-2020,844,62,0,782,+15,1.018
05-17-2020,859,62,0,797,+15,1.018
05-18-2020,867,62,0,805,+8,1.009
05-19-2020,895,63,0,832,+28,1.032
05-20-2020,921,64,0,857,+26,1.029
05-21-2020,943,65,0,878,+22,1.024
05-22-2020,956,67,0,889,+13,1.014
05-23-2020,969,69,0,900,+13,1.014
05-24-2020,989,69,0,920,+20,1.021
05-25-2020,997,69,0,928,+8,1.008
05-26-2020,1001,70,0,931,+4,1.004
05-27-2020,1008,71,0,937,+7,1.007
05-28-2020,1027,72,0,955,+19,1.019
05-29-2020,1056,72,0,984,+29,1.028
05-30-2020,1085,72,0,1013,+29,1.027
05-31-2020,1108,72,0,1036,+23,1.021
06-01-2020,1120,73,0,1047,+12,1.011
06-02-2020,1133,73,0,1060,+13,1.012
06-03-2020,1152,75,0,1077,+19,1.017
