Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,23,0,0,0,+0,0.000
03-23-2020,40,0,0,0,+17,1.739
03-24-2020,40,0,0,0,+0,1.000
03-25-2020,54,0,0,0,+14,1.350
03-26-2020,84,0,0,0,+30,1.556
03-27-2020,107,0,0,0,+23,1.274
03-28-2020,116,0,0,0,+9,1.084
03-29-2020,137,0,0,0,+21,1.181
03-30-2020,146,0,0,0,+9,1.066
03-31-2020,159,1,0,0,+13,1.089
04-01-2020,183,1,0,0,+24,1.151
04-02-2020,210,2,0,0,+27,1.148
04-03-2020,226,2,0,0,+16,1.076
04-04-2020,250,2,0,0,+24,1.106
04-05-2020,269,2,0,0,+19,1.076
04-06-2020,307,3,0,0,+38,1.141
04-07-2020,335,6,0,0,+28,1.091
04-08-2020,373,6,0,0,+38,1.113
04-09-2020,425,7,0,0,+52,1.139
04-10-2020,485,9,0,0,+60,1.141
04-11-2020,532,15,0,0,+47,1.097
04-12-2020,562,17,0,545,+30,1.056
04-13-2020,593,17,0,576,+31,1.055
04-14-2020,636,20,0,616,+43,1.073
04-15-2020,675,25,0,650,+39,1.061
04-16-2020,722,26,0,696,+47,1.070
04-17-2020,739,30,0,709,+17,1.024
04-18-2020,796,36,0,760,+57,1.077
04-19-2020,877,42,0,835,+81,1.102
04-20-2020,915,44,0,871,+38,1.043
04-21-2020,943,65,0,878,+28,1.031
04-22-2020,950,67,0,883,+7,1.007
04-23-2020,989,67,0,922,+39,1.041
04-24-2020,1064,77,0,987,+75,1.076
04-25-2020,1134,82,0,1052,+70,1.066
04-26-2020,1177,82,0,1095,+43,1.038
04-27-2020,1214,81,0,1133,+37,1.031
04-28-2020,1256,85,0,1171,+42,1.035
04-29-2020,1304,101,0,1203,+48,1.038
04-30-2020,1375,111,0,1264,+71,1.054
05-01-2020,1432,111,0,1321,+57,1.041
05-02-2020,1469,117,0,1352,+37,1.026
05-03-2020,1502,117,0,1385,+33,1.022
05-04-2020,1560,118,0,1442,+58,1.039
05-05-2020,1601,149,0,1452,+41,1.026
05-06-2020,1636,156,0,1480,+35,1.022
05-07-2020,1673,167,0,1506,+37,1.023
05-08-2020,1728,176,0,1552,+55,1.033
05-09-2020,1774,183,0,1591,+46,1.027
05-10-2020,1865,184,0,1681,+91,1.051
05-11-2020,1884,187,0,1697,+19,1.010
05-12-2020,1929,189,0,1740,+45,1.024
05-13-2020,1955,197,0,1758,+26,1.013
05-14-2020,2008,213,0,1795,+53,1.027
05-15-2020,2060,218,0,1842,+52,1.026
05-16-2020,2100,220,0,1880,+40,1.019
05-17-2020,2118,220,0,1898,+18,1.009
05-18-2020,2153,227,0,1926,+35,1.017
05-19-2020,2199,230,0,1969,+46,1.021
05-20-2020,2217,235,0,1982,+18,1.008
05-21-2020,2267,238,0,2029,+50,1.023
05-22-2020,2320,242,0,2078,+53,1.023
05-23-2020,2364,245,0,2119,+44,1.019
05-24-2020,2390,248,0,2142,+26,1.011
05-25-2020,2428,251,0,2177,+38,1.016
05-26-2020,2454,252,0,2202,+26,1.011
05-27-2020,2504,260,0,2244,+50,1.020
05-28-2020,2555,270,0,2285,+51,1.020
05-29-2020,2607,277,0,2330,+52,1.020
05-30-2020,2669,280,0,2389,+62,1.024
05-31-2020,2729,281,0,2448,+60,1.022
06-01-2020,2784,281,0,2503,+55,1.020
06-02-2020,2823,284,0,2539,+39,1.014
06-03-2020,2863,287,0,2576,+40,1.014
