Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,8,0,0,0,+0,0.000
03-23-2020,9,0,0,0,+1,1.125
03-24-2020,10,0,0,0,+1,1.111
03-25-2020,11,0,0,0,+1,1.100
03-26-2020,12,0,0,0,+1,1.091
03-27-2020,12,0,0,0,+0,1.000
03-28-2020,12,0,0,0,+0,1.000
03-29-2020,12,0,0,0,+0,1.000
03-30-2020,21,0,0,0,+9,1.750
03-31-2020,43,0,0,0,+22,2.048
04-01-2020,59,0,0,0,+16,1.372
04-02-2020,73,0,0,0,+14,1.237
04-03-2020,89,0,0,0,+16,1.219
04-04-2020,106,0,0,0,+17,1.191
04-05-2020,108,0,0,0,+2,1.019
04-06-2020,108,0,0,0,+0,1.000
04-07-2020,128,0,0,0,+20,1.185
04-08-2020,145,0,0,0,+17,1.133
04-09-2020,158,0,0,0,+13,1.090
04-10-2020,179,0,0,0,+21,1.133
04-11-2020,203,0,0,0,+24,1.134
04-12-2020,209,0,0,209,+6,1.030
04-13-2020,211,0,0,211,+2,1.010
04-14-2020,241,0,0,241,+30,1.142
04-15-2020,254,0,0,254,+13,1.054
04-16-2020,267,0,0,267,+13,1.051
04-17-2020,291,0,0,291,+24,1.090
04-18-2020,310,0,0,310,+19,1.065
04-19-2020,311,0,0,311,+1,1.003
04-20-2020,331,0,0,331,+20,1.064
04-21-2020,346,0,0,346,+15,1.045
04-22-2020,356,7,0,349,+10,1.029
04-23-2020,402,7,0,395,+46,1.129
04-24-2020,423,17,0,406,+21,1.052
04-25-2020,440,18,0,422,+17,1.040
04-26-2020,457,18,0,439,+17,1.039
04-27-2020,457,18,0,439,+0,1.000
04-28-2020,488,19,0,469,+31,1.068
04-29-2020,501,19,0,482,+13,1.027
04-30-2020,531,20,0,511,+30,1.060
05-01-2020,557,24,0,533,+26,1.049
05-02-2020,593,24,0,569,+36,1.065
05-03-2020,601,24,0,577,+8,1.013
05-04-2020,601,24,0,577,+0,1.000
05-05-2020,646,25,0,621,+45,1.075
05-06-2020,646,25,0,621,+0,1.000
05-07-2020,707,26,0,681,+61,1.094
05-08-2020,741,26,0,715,+34,1.048
05-09-2020,765,26,0,739,+24,1.032
05-10-2020,787,26,0,761,+22,1.029
05-11-2020,789,26,0,763,+2,1.003
05-12-2020,837,28,0,809,+48,1.061
05-13-2020,862,29,0,833,+25,1.030
05-14-2020,909,29,0,880,+47,1.055
05-15-2020,946,29,0,917,+37,1.041
05-16-2020,978,29,0,949,+32,1.034
05-17-2020,988,29,0,959,+10,1.010
05-18-2020,1002,29,0,973,+14,1.014
05-19-2020,1043,29,0,1014,+41,1.041
05-20-2020,1100,29,0,1071,+57,1.055
05-21-2020,1132,29,0,1103,+32,1.029
05-22-2020,1152,29,0,1123,+20,1.018
05-23-2020,1193,29,0,1164,+41,1.036
05-24-2020,1193,29,0,1164,+0,1.000
05-25-2020,1200,30,0,1170,+7,1.006
05-26-2020,1213,32,0,1181,+13,1.011
05-27-2020,1263,32,0,1231,+50,1.041
05-28-2020,1331,36,0,1295,+68,1.054
05-29-2020,1400,35,0,1365,+69,1.052
05-30-2020,1461,35,0,1426,+61,1.044
05-31-2020,1548,35,0,1513,+87,1.060
06-01-2020,1568,35,0,1533,+20,1.013
06-02-2020,1627,37,0,1590,+59,1.038
06-03-2020,1661,37,0,1624,+34,1.021
