Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,126,2,0,0,+0,0.000
03-23-2020,126,4,0,0,+0,1.000
03-24-2020,212,4,0,0,+86,1.683
03-25-2020,249,6,0,0,+37,1.175
03-26-2020,350,6,0,0,+101,1.406
03-27-2020,443,10,0,0,+93,1.266
03-28-2020,443,10,0,0,+0,1.000
03-29-2020,528,14,0,0,+85,1.192
03-30-2020,753,14,0,0,+225,1.426
03-31-2020,869,23,0,0,+116,1.154
04-01-2020,961,28,0,0,+92,1.106
04-02-2020,1125,34,0,0,+164,1.171
04-03-2020,1279,39,0,0,+154,1.137
04-04-2020,1418,41,0,0,+139,1.109
04-05-2020,1519,41,0,0,+101,1.071
04-06-2020,1608,41,0,0,+89,1.059
04-07-2020,1734,54,0,0,+126,1.078
04-08-2020,1878,65,0,0,+144,1.083
