Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,13,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+5,1.385
03-24-2020,21,0,0,0,+3,1.167
03-25-2020,22,0,0,0,+1,1.048
03-26-2020,32,0,0,0,+10,1.455
03-27-2020,46,0,0,0,+14,1.438
03-28-2020,57,1,0,0,+11,1.239
03-29-2020,59,1,0,0,+2,1.035
03-30-2020,61,1,0,0,+2,1.034
03-31-2020,104,3,0,0,+43,1.705
04-01-2020,122,3,0,0,+18,1.173
04-02-2020,148,5,0,0,+26,1.213
04-03-2020,195,6,0,0,+47,1.318
04-04-2020,224,9,0,0,+29,1.149
04-05-2020,238,9,0,0,+14,1.062
04-06-2020,244,9,0,0,+6,1.025
04-07-2020,266,10,0,0,+22,1.090
04-08-2020,293,11,0,0,+27,1.102
04-09-2020,297,11,0,0,+4,1.014
04-10-2020,310,11,0,0,+13,1.044
04-11-2020,331,11,0,0,+21,1.068
04-12-2020,362,11,0,351,+31,1.094
04-13-2020,391,12,0,379,+29,1.080
04-14-2020,435,12,0,423,+44,1.113
04-15-2020,456,13,0,443,+21,1.048
04-16-2020,468,13,0,455,+12,1.026
04-17-2020,491,14,0,477,+23,1.049
04-18-2020,505,17,0,488,+14,1.029
04-19-2020,519,17,0,502,+14,1.028
04-20-2020,540,20,0,520,+21,1.040
04-21-2020,546,20,0,526,+6,1.011
04-22-2020,549,21,0,528,+3,1.005
04-23-2020,616,21,0,595,+67,1.122
04-24-2020,629,21,0,608,+13,1.021
04-25-2020,642,21,0,621,+13,1.021
04-26-2020,641,21,0,620,+-1,0.998
04-27-2020,649,24,0,625,+8,1.012
04-28-2020,669,24,0,645,+20,1.031
04-29-2020,691,26,0,665,+22,1.033
04-30-2020,713,27,0,686,+22,1.032
05-01-2020,727,33,0,694,+14,1.020
05-02-2020,777,33,0,744,+50,1.069
05-03-2020,793,33,0,760,+16,1.021
05-04-2020,804,32,0,772,+11,1.014
05-05-2020,813,33,0,780,+9,1.011
05-06-2020,849,33,0,816,+36,1.044
05-07-2020,878,34,0,844,+29,1.034
05-08-2020,888,34,0,854,+10,1.011
05-09-2020,901,34,0,867,+13,1.015
05-10-2020,925,34,0,891,+24,1.027
05-11-2020,944,34,0,910,+19,1.021
05-12-2020,951,35,0,916,+7,1.007
05-13-2020,955,35,0,920,+4,1.004
05-14-2020,983,36,0,947,+28,1.029
05-15-2020,999,38,0,961,+16,1.016
05-16-2020,1002,38,0,964,+3,1.003
05-17-2020,1008,39,0,969,+6,1.006
05-18-2020,1009,38,0,971,+1,1.001
05-19-2020,1010,38,0,972,+1,1.001
05-20-2020,1034,39,0,995,+24,1.024
05-21-2020,1047,42,0,1005,+13,1.013
05-22-2020,1071,43,0,1028,+24,1.023
05-23-2020,1089,43,0,1046,+18,1.017
05-24-2020,1119,43,0,1076,+30,1.028
05-25-2020,1132,43,0,1089,+13,1.012
05-26-2020,1173,44,0,1129,+41,1.036
05-27-2020,1189,46,0,1143,+16,1.014
05-28-2020,1204,45,0,1159,+15,1.013
05-29-2020,1217,45,0,1172,+13,1.011
05-30-2020,1216,45,0,1171,+-1,0.999
05-31-2020,1221,49,0,1172,+5,1.004
06-01-2020,1234,50,0,1184,+13,1.011
06-02-2020,1238,51,0,1187,+4,1.003
06-03-2020,1260,51,0,1209,+22,1.018
