Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,67,2,0,0,+0,0.000
03-23-2020,79,2,0,0,+12,1.179
03-24-2020,86,2,0,0,+7,1.089
03-25-2020,101,2,0,0,+15,1.174
03-26-2020,115,2,0,0,+14,1.139
03-27-2020,144,2,0,0,+29,1.252
03-28-2020,181,8,0,0,+37,1.257
03-29-2020,222,9,0,0,+41,1.227
03-30-2020,245,9,0,0,+23,1.104
03-31-2020,279,12,0,0,+34,1.139
04-01-2020,293,15,0,0,+14,1.050
04-02-2020,329,17,0,0,+36,1.123
04-03-2020,381,18,0,0,+52,1.158
04-04-2020,428,20,0,0,+47,1.123
04-05-2020,456,23,0,0,+28,1.065
04-06-2020,515,25,0,0,+59,1.129
04-07-2020,550,29,0,0,+35,1.068
04-08-2020,588,29,0,0,+38,1.069
04-09-2020,629,29,0,0,+41,1.070
04-10-2020,662,33,0,0,+33,1.052
04-11-2020,696,33,0,0,+34,1.051
04-12-2020,714,33,0,681,+18,1.026
04-13-2020,782,35,0,747,+68,1.095
04-14-2020,895,41,0,854,+113,1.145
04-15-2020,924,43,0,881,+29,1.032
04-16-2020,990,47,0,943,+66,1.071
04-17-2020,1072,51,0,1021,+82,1.083
04-18-2020,1100,51,0,1049,+28,1.026
04-19-2020,1125,51,0,1074,+25,1.023
04-20-2020,1196,56,0,1140,+71,1.063
04-21-2020,1215,59,0,1156,+19,1.016
