Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,14,0,0,0,+0,0.000
03-23-2020,17,0,0,0,+3,1.214
03-24-2020,18,0,0,0,+1,1.059
03-25-2020,23,1,0,0,+5,1.278
03-26-2020,28,1,0,0,+5,1.217
03-27-2020,41,2,0,0,+13,1.464
03-28-2020,56,2,0,0,+15,1.366
03-29-2020,62,2,0,0,+6,1.107
03-30-2020,71,2,0,0,+9,1.145
03-31-2020,81,2,0,0,+10,1.141
04-01-2020,117,2,0,0,+36,1.444
04-02-2020,146,5,0,0,+29,1.248
04-03-2020,175,5,0,0,+29,1.199
04-04-2020,196,10,0,0,+21,1.120
04-05-2020,238,10,0,0,+42,1.214
04-06-2020,257,10,0,0,+19,1.080
04-07-2020,281,10,0,0,+24,1.093
04-08-2020,288,14,0,0,+7,1.025
04-09-2020,210,15,0,0,+-78,0.729
04-10-2020,214,15,0,0,+4,1.019
04-11-2020,238,15,0,0,+24,1.112
04-12-2020,243,15,0,228,+5,1.021
04-13-2020,253,21,0,232,+10,1.041
04-14-2020,270,22,0,248,+17,1.067
04-15-2020,266,24,0,242,+-4,0.985
04-16-2020,299,26,0,273,+33,1.124
04-17-2020,304,26,0,278,+5,1.017
04-18-2020,314,29,0,285,+10,1.033
04-19-2020,333,26,0,307,+19,1.061
04-20-2020,337,31,0,306,+4,1.012
04-21-2020,342,31,0,311,+5,1.015
04-22-2020,353,35,0,318,+11,1.032
04-23-2020,372,32,0,340,+19,1.054
04-24-2020,391,34,0,357,+19,1.051
04-25-2020,402,38,0,364,+11,1.028
04-26-2020,420,38,0,382,+18,1.045
04-27-2020,425,38,0,387,+5,1.012
04-28-2020,439,38,0,401,+14,1.033
04-29-2020,453,42,0,411,+14,1.032
04-30-2020,486,42,0,444,+33,1.073
05-01-2020,498,44,0,454,+12,1.025
05-02-2020,512,44,0,468,+14,1.028
05-03-2020,527,44,0,483,+15,1.029
05-04-2020,540,44,0,496,+13,1.025
05-05-2020,561,46,0,515,+21,1.039
05-06-2020,588,48,0,540,+27,1.048
05-07-2020,618,49,0,569,+30,1.051
05-08-2020,659,55,0,604,+41,1.066
05-09-2020,679,55,0,624,+20,1.030
05-10-2020,699,55,0,644,+20,1.029
05-11-2020,713,56,0,657,+14,1.020
05-12-2020,720,58,0,662,+7,1.010
05-13-2020,772,58,0,714,+52,1.072
05-14-2020,795,59,0,736,+23,1.030
05-15-2020,823,62,0,761,+28,1.035
05-16-2020,839,64,0,775,+16,1.019
05-17-2020,866,64,0,802,+27,1.032
05-18-2020,901,65,0,836,+35,1.040
05-19-2020,943,66,0,877,+42,1.047
05-20-2020,961,68,0,893,+18,1.019
05-21-2020,972,69,0,903,+11,1.011
05-22-2020,979,69,0,910,+7,1.007
05-23-2020,1000,72,0,928,+21,1.021
05-24-2020,1019,72,0,947,+19,1.019
05-25-2020,1028,72,0,956,+9,1.009
05-26-2020,1041,73,0,968,+13,1.013
05-27-2020,1066,75,0,991,+25,1.024
05-28-2020,1078,79,0,999,+12,1.011
05-29-2020,1104,81,0,1023,+26,1.024
05-30-2020,1123,81,0,1042,+19,1.017
05-31-2020,1151,81,0,1070,+28,1.025
06-01-2020,1155,81,0,1074,+4,1.003
06-02-2020,1173,81,0,1092,+18,1.016
06-03-2020,1186,85,0,1101,+13,1.011
