Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,33,0,0,0,+0,0.000
03-23-2020,39,0,0,0,+6,1.182
03-24-2020,41,0,0,0,+2,1.051
03-25-2020,47,0,0,0,+6,1.146
03-26-2020,65,0,0,0,+18,1.383
03-27-2020,81,0,0,0,+16,1.246
03-28-2020,92,0,0,0,+11,1.136
03-29-2020,95,0,0,0,+3,1.033
03-30-2020,119,1,0,0,+24,1.253
03-31-2020,146,1,0,0,+27,1.227
04-01-2020,150,1,0,0,+4,1.027
04-02-2020,178,2,0,0,+28,1.187
04-03-2020,203,2,0,0,+25,1.140
04-04-2020,221,2,0,0,+18,1.089
04-05-2020,231,2,0,0,+10,1.045
04-06-2020,246,2,0,0,+15,1.065
04-07-2020,271,3,0,0,+25,1.102
04-08-2020,277,3,0,0,+6,1.022
04-09-2020,292,3,0,0,+15,1.054
04-10-2020,318,3,0,0,+26,1.089
04-11-2020,344,4,0,0,+26,1.082
04-12-2020,361,4,0,357,+17,1.049
04-13-2020,376,5,0,371,+15,1.042
04-14-2020,380,5,0,375,+4,1.011
04-15-2020,395,5,0,390,+15,1.039
04-16-2020,416,6,0,410,+21,1.053
04-17-2020,445,8,0,437,+29,1.070
04-18-2020,457,8,0,449,+12,1.027
04-19-2020,463,8,0,455,+6,1.013
04-20-2020,470,9,0,461,+7,1.015
04-21-2020,477,10,0,467,+7,1.015
04-22-2020,483,10,0,473,+6,1.013
04-23-2020,507,14,0,493,+24,1.050
04-24-2020,526,15,0,511,+19,1.037
04-25-2020,535,15,0,520,+9,1.017
04-26-2020,552,15,0,537,+17,1.032
04-27-2020,562,15,0,547,+10,1.018
04-28-2020,568,16,0,552,+6,1.011
04-29-2020,581,17,0,564,+13,1.023
04-30-2020,596,19,0,577,+15,1.026
05-01-2020,610,21,0,589,+14,1.023
05-02-2020,628,21,0,607,+18,1.030
05-03-2020,640,21,0,619,+12,1.019
05-04-2020,653,22,0,631,+13,1.020
05-05-2020,656,25,0,631,+3,1.005
05-06-2020,677,27,0,650,+21,1.032
05-07-2020,705,27,0,678,+28,1.041
05-08-2020,712,27,0,685,+7,1.010
05-09-2020,734,27,0,707,+22,1.031
05-10-2020,752,27,0,725,+18,1.025
05-11-2020,766,28,0,738,+14,1.019
05-12-2020,843,32,0,811,+77,1.101
05-13-2020,864,34,0,830,+21,1.025
05-14-2020,882,35,0,847,+18,1.021
05-15-2020,915,37,0,878,+33,1.037
05-16-2020,923,37,0,886,+8,1.009
05-17-2020,948,37,0,911,+25,1.027
05-18-2020,1006,37,0,969,+58,1.061
05-19-2020,1030,40,0,990,+24,1.024
05-20-2020,1058,40,0,1018,+28,1.027
05-21-2020,1112,41,0,1071,+54,1.051
05-22-2020,1160,42,0,1118,+48,1.043
05-23-2020,1195,45,0,1150,+35,1.030
05-24-2020,1251,45,0,1206,+56,1.047
05-25-2020,1282,46,0,1236,+31,1.025
05-26-2020,1305,46,0,1259,+23,1.018
05-27-2020,1334,46,0,1288,+29,1.022
05-28-2020,1401,49,0,1352,+67,1.050
05-29-2020,1454,49,0,1405,+53,1.038
05-30-2020,1514,49,0,1465,+60,1.041
05-31-2020,1539,49,0,1490,+25,1.017
06-01-2020,1580,49,0,1531,+41,1.027
06-02-2020,1605,49,0,1556,+25,1.016
06-03-2020,1679,49,0,1630,+74,1.046
