Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,38,1,0,0,+0,0.000
03-23-2020,38,1,0,0,+0,1.000
03-24-2020,45,1,0,0,+7,1.184
03-25-2020,53,1,0,0,+8,1.178
03-26-2020,66,1,0,0,+13,1.245
03-27-2020,87,1,0,0,+21,1.318
03-28-2020,118,1,0,0,+31,1.356
03-29-2020,134,1,0,0,+16,1.136
03-30-2020,134,1,0,0,+0,1.000
03-31-2020,160,1,0,0,+26,1.194
04-01-2020,184,1,0,0,+24,1.150
04-02-2020,207,1,0,0,+23,1.125
04-03-2020,227,1,0,0,+20,1.097
04-04-2020,256,3,0,0,+29,1.128
04-05-2020,287,3,0,0,+31,1.121
04-06-2020,306,4,0,0,+19,1.066
04-07-2020,306,4,0,0,+0,1.000
04-08-2020,343,5,0,0,+37,1.121
04-09-2020,378,6,0,0,+35,1.102
04-10-2020,406,6,0,0,+28,1.074
04-11-2020,425,7,0,0,+19,1.047
04-12-2020,453,7,0,446,+28,1.066
04-13-2020,472,10,0,462,+19,1.042
04-14-2020,472,10,0,462,+0,1.000
04-15-2020,477,10,0,467,+5,1.011
04-16-2020,505,11,0,494,+28,1.059
04-17-2020,505,11,0,494,+0,1.000
04-18-2020,522,13,0,509,+17,1.034
04-19-2020,522,13,0,509,+0,1.000
04-20-2020,527,13,0,514,+5,1.010
04-21-2020,570,14,0,556,+43,1.082
04-22-2020,584,14,0,570,+14,1.025
04-23-2020,609,14,0,595,+25,1.043
04-24-2020,639,16,0,623,+30,1.049
04-25-2020,639,16,0,623,+0,1.000
04-26-2020,654,16,0,638,+15,1.023
04-27-2020,663,17,0,646,+9,1.014
04-28-2020,676,17,0,659,+13,1.020
04-29-2020,692,19,0,673,+16,1.024
04-30-2020,710,19,0,691,+18,1.026
05-01-2020,724,20,0,704,+14,1.020
05-02-2020,766,22,0,744,+42,1.058
05-03-2020,784,22,0,762,+18,1.023
05-04-2020,789,22,0,767,+5,1.006
05-05-2020,804,22,0,782,+15,1.019
05-06-2020,828,22,0,806,+24,1.030
05-07-2020,839,22,0,817,+11,1.013
05-08-2020,857,24,0,833,+18,1.021
05-09-2020,887,27,0,860,+30,1.035
05-10-2020,918,28,0,890,+31,1.035
05-11-2020,918,28,0,890,+0,1.000
05-12-2020,939,29,0,910,+21,1.023
05-13-2020,963,29,0,934,+24,1.026
05-14-2020,978,30,0,948,+15,1.016
05-15-2020,993,30,0,963,+15,1.015
05-16-2020,1008,31,0,977,+15,1.015
05-17-2020,1016,31,0,985,+8,1.008
05-18-2020,1028,31,0,997,+12,1.012
05-19-2020,1047,31,0,1016,+19,1.018
05-20-2020,1073,31,0,1042,+26,1.025
05-21-2020,1090,31,0,1059,+17,1.016
05-22-2020,1090,31,0,1059,+0,1.000
05-23-2020,1132,31,0,1101,+42,1.039
05-24-2020,1136,33,0,1103,+4,1.004
05-25-2020,1151,33,0,1118,+15,1.013
05-26-2020,1157,33,0,1124,+6,1.005
05-27-2020,1189,33,0,1156,+32,1.028
05-28-2020,1217,33,0,1184,+28,1.024
05-29-2020,1217,33,0,1184,+0,1.000
05-30-2020,1278,34,0,1244,+61,1.050
05-31-2020,1297,34,0,1263,+19,1.015
06-01-2020,1312,34,0,1278,+15,1.012
06-02-2020,1312,34,0,1278,+0,1.000
06-03-2020,1346,34,0,1312,+34,1.026
