Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,61,1,0,0,+0,0.000
03-23-2020,71,1,0,0,+10,1.164
03-24-2020,86,1,0,0,+15,1.211
03-25-2020,108,1,0,0,+22,1.256
03-26-2020,131,1,0,0,+23,1.213
03-27-2020,147,1,0,0,+16,1.122
03-28-2020,168,2,0,0,+21,1.143
03-29-2020,168,3,0,0,+0,1.000
03-30-2020,187,3,0,0,+19,1.113
03-31-2020,212,3,0,0,+25,1.134
04-01-2020,249,3,0,0,+37,1.175
04-02-2020,250,3,0,0,+1,1.004
04-03-2020,307,3,0,0,+57,1.228
04-04-2020,307,5,0,0,+0,1.000
04-05-2020,386,6,0,0,+79,1.257
04-06-2020,417,7,0,0,+31,1.080
04-07-2020,442,7,0,0,+25,1.060
04-08-2020,462,7,0,0,+20,1.045
04-09-2020,484,8,0,0,+22,1.048
04-10-2020,511,9,0,0,+27,1.056
04-11-2020,530,11,0,0,+19,1.037
04-12-2020,539,11,0,528,+9,1.017
04-13-2020,552,11,0,541,+13,1.024
04-14-2020,552,11,0,541,+0,1.000
04-15-2020,615,14,0,601,+63,1.114
04-16-2020,631,16,0,615,+16,1.026
04-17-2020,648,19,0,629,+17,1.027
04-18-2020,685,19,0,666,+37,1.057
04-19-2020,693,20,0,673,+8,1.012
04-20-2020,707,22,0,685,+14,1.020
04-21-2020,749,22,0,727,+42,1.059
04-22-2020,763,22,0,741,+14,1.019
04-23-2020,770,23,0,747,+7,1.009
04-24-2020,786,23,0,763,+16,1.021
04-25-2020,805,25,0,780,+19,1.024
04-26-2020,817,29,0,788,+12,1.015
04-27-2020,820,25,0,795,+3,1.004
04-28-2020,842,25,0,817,+22,1.027
04-29-2020,862,25,0,837,+20,1.024
04-30-2020,891,27,0,864,+29,1.034
05-01-2020,907,28,0,879,+16,1.018
05-02-2020,934,28,0,906,+27,1.030
05-03-2020,945,28,0,917,+11,1.012
05-04-2020,947,28,0,919,+2,1.002
05-05-2020,969,29,0,940,+22,1.023
05-06-2020,985,29,0,956,+16,1.017
05-07-2020,999,29,0,970,+14,1.014
05-08-2020,1014,29,0,985,+15,1.015
05-09-2020,1036,32,0,1004,+22,1.022
05-10-2020,1048,31,0,1017,+12,1.012
05-11-2020,1048,32,0,1016,+0,1.000
05-12-2020,1066,32,0,1034,+18,1.017
05-13-2020,1080,33,0,1047,+14,1.013
05-14-2020,1089,33,0,1056,+9,1.008
05-15-2020,1100,33,0,1067,+11,1.010
05-16-2020,1121,33,0,1088,+21,1.019
05-17-2020,1146,33,0,1113,+25,1.022
05-18-2020,1155,33,0,1122,+9,1.008
05-19-2020,1192,33,0,1159,+37,1.032
05-20-2020,1209,33,0,1176,+17,1.014
05-21-2020,1234,36,0,1198,+25,1.021
05-22-2020,1259,36,0,1223,+25,1.020
05-23-2020,1296,36,0,1260,+37,1.029
05-24-2020,1321,36,0,1285,+25,1.019
05-25-2020,1336,37,0,1299,+15,1.011
05-26-2020,1353,37,0,1316,+17,1.013
05-27-2020,1375,37,0,1338,+22,1.016
05-28-2020,1384,37,0,1347,+9,1.007
05-29-2020,1404,37,0,1367,+20,1.014
05-30-2020,1426,37,0,1389,+22,1.016
05-31-2020,1450,37,0,1413,+24,1.017
06-01-2020,1468,38,0,1430,+18,1.012
06-02-2020,1506,37,0,1469,+38,1.026
06-03-2020,1513,38,0,1475,+7,1.005
