Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,805,4,0,0,+0,0.000
03-23-2020,922,9,0,0,+117,1.145
03-24-2020,1194,9,0,0,+272,1.295
03-25-2020,1418,14,0,0,+224,1.188
03-26-2020,1418,18,0,0,+0,1.000
03-27-2020,2239,20,0,0,+821,1.579
03-28-2020,2613,28,0,0,+374,1.167
03-29-2020,3445,40,0,0,+832,1.318
03-30-2020,3727,44,0,0,+282,1.082
03-31-2020,4496,61,0,0,+769,1.206
04-01-2020,5152,95,0,0,+656,1.146
04-02-2020,5575,107,0,0,+423,1.082
04-03-2020,6111,141,0,0,+536,1.096
04-04-2020,7439,167,0,0,+1328,1.217
04-05-2020,8034,186,0,0,+595,1.080
04-06-2020,8728,209,0,0,+694,1.086
04-07-2020,8728,209,0,0,+0,1.000
04-08-2020,10520,310,0,0,+1792,1.205
04-09-2020,10520,310,0,0,+0,1.000
04-10-2020,12472,399,0,0,+1952,1.186
04-11-2020,13417,455,0,0,+945,1.076
04-12-2020,14585,485,0,14100,+1168,1.087
04-13-2020,15474,543,0,14931,+889,1.061
04-14-2020,16323,577,0,15746,+849,1.055
04-15-2020,17306,630,0,16676,+983,1.060
04-16-2020,18087,722,0,17365,+781,1.045
04-17-2020,19391,760,0,18631,+1304,1.072
04-18-2020,20395,860,0,19535,+1004,1.052
04-19-2020,21272,877,0,20395,+877,1.043
04-20-2020,22101,915,0,21186,+829,1.039
04-21-2020,23181,1002,0,22179,+1080,1.049
04-22-2020,24546,1072,0,23474,+1365,1.059
04-23-2020,25811,1142,0,24669,+1265,1.052
04-24-2020,27616,1220,0,26396,+1805,1.070
04-25-2020,29058,1267,0,27791,+1442,1.052
04-26-2020,30574,1313,0,29261,+1516,1.052
04-27-2020,31953,1347,0,30606,+1379,1.045
04-28-2020,33449,1457,0,31992,+1496,1.047
04-29-2020,34880,1516,0,33364,+1431,1.043
04-30-2020,36513,1607,0,34906,+1633,1.047
05-01-2020,38668,1673,0,36995,+2155,1.059
05-02-2020,40227,1743,0,38484,+1559,1.040
05-03-2020,42324,1786,0,40538,+2097,1.052
05-04-2020,43715,1802,0,41913,+1391,1.033
05-05-2020,45223,1922,0,43301,+1508,1.034
05-06-2020,46689,2004,0,44685,+1466,1.032
05-07-2020,48341,2110,0,46231,+1652,1.035
05-08-2020,50236,2197,0,48039,+1895,1.039
05-09-2020,51674,2264,0,49410,+1438,1.029
05-10-2020,52655,2317,0,50338,+981,1.019
05-11-2020,53381,2361,0,51020,+726,1.014
05-12-2020,55470,2449,0,53021,+2089,1.039
05-13-2020,56406,2589,0,53817,+936,1.017
05-14-2020,58457,2675,0,55782,+2051,1.036
05-15-2020,59905,2762,0,57143,+1448,1.025
05-16-2020,61212,2814,0,58398,+1307,1.022
05-17-2020,62218,2839,0,59379,+1006,1.016
05-18-2020,63690,2889,0,60801,+1472,1.024
05-19-2020,64691,2980,0,61711,+1001,1.016
05-20-2020,66213,3074,0,63139,+1522,1.024
05-21-2020,67551,3114,0,64437,+1338,1.020
05-22-2020,68949,3187,0,65762,+1398,1.021
05-23-2020,70417,3246,0,67171,+1468,1.021
05-24-2020,72010,3304,0,68706,+1593,1.023
05-25-2020,73097,3324,0,69773,+1087,1.015
05-26-2020,73819,3354,0,70465,+722,1.010
05-27-2020,74521,3455,0,71066,+702,1.010
05-28-2020,75306,3519,0,71787,+785,1.011
05-29-2020,76266,3570,0,72696,+960,1.013
05-30-2020,77119,3603,0,73516,+853,1.011
05-31-2020,77925,3642,0,74283,+806,1.010
06-01-2020,78495,3658,0,74837,+570,1.007
06-02-2020,79673,3726,0,75947,+1178,1.015
06-03-2020,80204,3780,0,76424,+531,1.007
