Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,53,0,0,0,+0,0.000
03-23-2020,66,0,0,0,+13,1.245
03-24-2020,74,0,0,0,+8,1.121
03-25-2020,87,0,0,0,+13,1.176
03-26-2020,90,0,0,0,+3,1.034
03-27-2020,92,1,0,0,+2,1.022
03-28-2020,120,1,0,0,+28,1.304
03-29-2020,142,3,0,0,+22,1.183
03-30-2020,154,3,0,0,+12,1.085
03-31-2020,169,3,0,0,+15,1.097
04-01-2020,169,3,0,0,+0,1.000
04-02-2020,204,5,0,0,+35,1.207
04-03-2020,222,5,0,0,+18,1.088
04-04-2020,231,5,0,0,+9,1.041
04-05-2020,238,5,0,0,+7,1.030
04-06-2020,249,5,0,0,+11,1.046
04-07-2020,253,9,0,0,+4,1.016
04-08-2020,262,10,0,0,+9,1.036
04-09-2020,269,11,0,0,+7,1.027
04-10-2020,276,11,0,0,+7,1.026
04-11-2020,284,12,0,0,+8,1.029
04-12-2020,292,12,0,280,+8,1.028
04-13-2020,299,12,0,287,+7,1.024
04-14-2020,331,12,0,319,+32,1.107
04-15-2020,339,14,0,325,+8,1.024
04-16-2020,343,14,0,329,+4,1.012
04-17-2020,360,14,0,346,+17,1.050
04-18-2020,369,14,0,355,+9,1.025
04-19-2020,378,16,0,362,+9,1.024
04-20-2020,380,16,0,364,+2,1.005
04-21-2020,386,17,0,369,+6,1.016
04-22-2020,395,18,0,377,+9,1.023
04-23-2020,414,23,0,391,+19,1.048
04-24-2020,426,24,0,402,+12,1.029
04-25-2020,426,24,0,402,+0,1.000
04-26-2020,454,24,0,430,+28,1.066
04-27-2020,459,24,0,435,+5,1.011
04-28-2020,466,24,0,442,+7,1.015
04-29-2020,472,25,0,447,+6,1.013
04-30-2020,486,26,0,460,+14,1.030
05-01-2020,504,27,0,477,+18,1.037
05-02-2020,527,27,0,500,+23,1.046
05-03-2020,549,28,0,521,+22,1.042
05-04-2020,558,28,0,530,+9,1.016
05-05-2020,571,30,0,541,+13,1.023
05-06-2020,583,30,0,553,+12,1.021
05-07-2020,631,30,0,601,+48,1.082
05-08-2020,658,30,0,628,+27,1.043
05-09-2020,685,30,0,655,+27,1.041
05-10-2020,702,30,0,672,+17,1.025
05-11-2020,714,31,0,683,+12,1.017
05-12-2020,721,31,0,690,+7,1.010
05-13-2020,744,32,0,712,+23,1.032
05-14-2020,778,34,0,744,+34,1.046
05-15-2020,798,34,0,764,+20,1.026
05-16-2020,821,35,0,786,+23,1.029
05-17-2020,837,35,0,802,+16,1.019
05-18-2020,852,36,0,816,+15,1.018
05-19-2020,863,38,0,825,+11,1.013
05-20-2020,891,38,0,853,+28,1.032
05-21-2020,919,38,0,881,+28,1.031
05-22-2020,968,38,0,930,+49,1.053
05-23-2020,1009,40,0,969,+41,1.042
05-24-2020,1032,40,0,992,+23,1.023
05-25-2020,1040,40,0,1000,+8,1.008
05-26-2020,1056,41,0,1015,+16,1.015
05-27-2020,1065,43,0,1022,+9,1.009
05-28-2020,1092,46,0,1046,+27,1.025
05-29-2020,1117,47,0,1070,+25,1.023
05-30-2020,1146,50,0,1096,+29,1.026
05-31-2020,1175,50,0,1125,+29,1.025
06-01-2020,1189,50,0,1139,+14,1.012
06-02-2020,1203,54,0,1149,+14,1.012
06-03-2020,1226,54,0,1172,+23,1.019
