Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,1,0,0,0,+0,1.000
03-24-2020,2,0,0,0,+1,2.000
03-25-2020,3,0,0,0,+1,1.500
03-26-2020,4,0,0,0,+1,1.333
03-27-2020,9,0,0,0,+5,2.250
03-28-2020,11,0,0,0,+2,1.222
03-29-2020,11,0,0,0,+0,1.000
03-30-2020,12,1,0,0,+1,1.091
03-31-2020,18,1,0,0,+6,1.500
04-01-2020,27,1,0,0,+9,1.500
04-02-2020,31,1,0,0,+4,1.148
04-03-2020,36,1,0,0,+5,1.161
04-04-2020,40,2,0,0,+4,1.111
04-05-2020,54,2,0,0,+14,1.350
04-06-2020,64,2,0,0,+10,1.185
04-07-2020,71,2,0,0,+7,1.109
04-08-2020,80,2,0,0,+9,1.127
04-09-2020,111,3,0,0,+31,1.387
04-10-2020,138,3,0,0,+27,1.243
04-11-2020,154,3,0,0,+16,1.116
04-12-2020,165,3,0,162,+11,1.071
04-13-2020,187,3,0,184,+22,1.133
04-14-2020,201,3,0,198,+14,1.075
04-15-2020,210,3,0,207,+9,1.045
04-16-2020,223,3,0,220,+13,1.062
04-17-2020,263,3,0,260,+40,1.179
04-18-2020,272,4,0,268,+9,1.034
04-19-2020,308,4,0,304,+36,1.132
04-20-2020,338,4,0,334,+30,1.097
04-21-2020,360,4,0,356,+22,1.065
04-22-2020,382,5,0,377,+22,1.061
04-23-2020,424,5,0,419,+42,1.110
04-24-2020,466,5,0,461,+42,1.099
04-25-2020,504,6,0,498,+38,1.082
04-26-2020,520,6,0,514,+16,1.032
04-27-2020,595,8,0,587,+75,1.144
04-28-2020,659,10,0,649,+64,1.108
04-29-2020,687,10,0,677,+28,1.042
04-30-2020,723,12,0,711,+36,1.052
05-01-2020,746,13,0,733,+23,1.032
05-02-2020,809,16,0,793,+63,1.084
05-03-2020,881,17,0,864,+72,1.089
05-04-2020,940,19,0,921,+59,1.067
05-05-2020,985,23,0,962,+45,1.048
05-06-2020,1059,25,0,1034,+74,1.075
05-07-2020,1090,25,0,1065,+31,1.029
05-08-2020,1124,28,0,1096,+34,1.031
05-09-2020,1245,34,0,1211,+121,1.108
05-10-2020,1287,36,0,1251,+42,1.034
05-11-2020,1363,40,0,1323,+76,1.059
05-12-2020,1427,43,0,1384,+64,1.047
05-13-2020,1447,43,0,1404,+20,1.014
05-14-2020,1471,48,0,1423,+24,1.017
05-15-2020,1488,48,0,1440,+17,1.012
05-16-2020,1592,49,0,1543,+104,1.070
05-17-2020,1608,51,0,1557,+16,1.010
05-18-2020,1679,53,0,1626,+71,1.044
05-19-2020,1759,56,0,1703,+80,1.048
05-20-2020,1830,57,0,1773,+71,1.040
05-21-2020,1869,60,0,1809,+39,1.021
05-22-2020,1921,61,0,1860,+52,1.028
05-23-2020,1924,62,0,1862,+3,1.002
05-24-2020,1947,63,0,1884,+23,1.012
05-25-2020,1991,63,0,1928,+44,1.023
05-26-2020,2024,63,0,1961,+33,1.017
05-27-2020,2098,65,0,2033,+74,1.037
05-28-2020,2146,65,0,2081,+48,1.023
05-29-2020,2209,69,0,2140,+63,1.029
05-30-2020,2259,72,0,2187,+50,1.023
05-31-2020,2298,73,0,2225,+39,1.017
06-01-2020,2310,75,0,2235,+12,1.005
06-02-2020,2345,78,0,2267,+35,1.015
06-03-2020,2431,79,0,2352,+86,1.037
