Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,125,1,0,0,+0,0.000
03-23-2020,149,1,0,0,+24,1.192
03-24-2020,167,2,0,0,+18,1.121
03-25-2020,206,2,0,0,+39,1.234
03-26-2020,259,2,0,0,+53,1.257
03-27-2020,330,2,0,0,+71,1.274
03-28-2020,370,3,0,0,+40,1.121
03-29-2020,440,3,0,0,+70,1.189
03-30-2020,493,4,0,0,+53,1.120
03-31-2020,527,6,0,0,+34,1.069
04-01-2020,589,9,0,0,+62,1.118
04-02-2020,663,12,0,0,+74,1.126
04-03-2020,780,13,0,0,+117,1.176
04-04-2020,781,13,0,0,+1,1.001
04-05-2020,826,14,0,0,+45,1.058
04-06-2020,871,15,0,0,+45,1.054
04-07-2020,911,19,0,0,+40,1.046
04-08-2020,960,23,0,0,+49,1.054
04-09-2020,1014,23,0,0,+54,1.056
04-10-2020,1052,23,0,0,+38,1.037
