Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,11,0,0,0,+0,0.000
03-23-2020,18,0,0,0,+7,1.636
03-24-2020,21,0,0,0,+3,1.167
03-25-2020,21,0,0,0,+0,1.000
03-26-2020,25,0,0,0,+4,1.190
03-27-2020,28,0,0,0,+3,1.120
03-28-2020,33,0,0,0,+5,1.179
03-29-2020,39,0,0,0,+6,1.182
03-30-2020,46,0,0,0,+7,1.179
03-31-2020,47,0,0,0,+1,1.022
04-01-2020,48,0,0,0,+1,1.021
04-02-2020,52,0,0,0,+4,1.083
04-03-2020,54,0,0,0,+2,1.038
04-04-2020,56,1,0,0,+2,1.037
04-05-2020,63,2,0,0,+7,1.125
04-06-2020,67,2,0,0,+4,1.063
04-07-2020,71,3,0,0,+4,1.060
04-08-2020,75,3,0,0,+4,1.056
04-09-2020,79,3,0,0,+4,1.053
04-10-2020,85,4,0,0,+6,1.076
04-11-2020,87,4,0,0,+2,1.024
04-12-2020,95,4,0,91,+8,1.092
04-13-2020,95,4,0,91,+0,1.000
04-14-2020,103,5,0,98,+8,1.084
04-15-2020,103,5,0,98,+0,1.000
04-16-2020,103,5,0,98,+0,1.000
04-17-2020,110,5,0,105,+7,1.068
04-18-2020,113,5,0,108,+3,1.027
04-19-2020,116,6,0,110,+3,1.027
04-20-2020,124,6,0,118,+8,1.069
04-21-2020,127,6,0,121,+3,1.024
04-22-2020,130,6,0,124,+3,1.024
04-23-2020,131,6,0,125,+1,1.008
04-24-2020,136,6,0,130,+5,1.038
04-25-2020,138,6,0,132,+2,1.015
04-26-2020,143,7,0,136,+5,1.036
04-27-2020,144,7,0,137,+1,1.007
04-28-2020,156,9,0,147,+12,1.083
04-29-2020,157,9,0,148,+1,1.006
04-30-2020,162,10,0,152,+5,1.032
05-01-2020,171,11,0,160,+9,1.056
05-02-2020,189,11,0,178,+18,1.105
05-03-2020,202,11,0,191,+13,1.069
05-04-2020,215,11,0,204,+13,1.064
05-05-2020,241,11,0,230,+26,1.121
05-06-2020,292,12,0,280,+51,1.212
05-07-2020,322,12,0,310,+30,1.103
05-08-2020,364,12,0,352,+42,1.130
05-09-2020,408,15,0,393,+44,1.121
05-10-2020,430,15,0,415,+22,1.054
05-11-2020,471,15,0,456,+41,1.095
05-12-2020,508,15,0,493,+37,1.079
05-13-2020,524,15,0,509,+16,1.031
05-14-2020,562,16,0,546,+38,1.073
05-15-2020,623,17,0,606,+61,1.109
05-16-2020,666,18,0,648,+43,1.069
05-17-2020,742,23,0,719,+76,1.114
05-18-2020,802,23,0,779,+60,1.081
05-19-2020,841,25,0,816,+39,1.049
05-20-2020,885,31,0,854,+44,1.052
05-21-2020,929,32,0,897,+44,1.050
05-22-2020,961,33,0,928,+32,1.034
05-23-2020,999,33,0,966,+38,1.040
05-24-2020,1059,35,0,1024,+60,1.060
05-25-2020,1102,35,0,1067,+43,1.041
05-26-2020,1164,38,0,1126,+62,1.056
05-27-2020,1182,44,0,1138,+18,1.015
05-28-2020,1202,49,0,1153,+20,1.017
05-29-2020,1230,51,0,1179,+28,1.023
05-30-2020,1263,54,0,1209,+33,1.027
05-31-2020,1327,55,0,1272,+64,1.051
06-01-2020,1349,57,0,1292,+22,1.017
06-02-2020,1368,59,0,1309,+19,1.014
06-03-2020,1388,59,0,1329,+20,1.015
