Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,0,0,0,0,+0,0.000
03-29-2020,0,0,0,0,+0,0.000
03-30-2020,0,0,0,0,+0,0.000
04-12-2020,0,0,0,0,+0,0.000
04-13-2020,2,0,0,2,+2,0.000
04-14-2020,2,0,0,2,+0,1.000
04-15-2020,2,0,0,2,+0,1.000
04-16-2020,3,0,0,3,+1,1.500
04-17-2020,9,0,0,9,+6,3.000
04-18-2020,22,0,0,22,+13,2.444
04-19-2020,29,0,0,29,+7,1.318
04-20-2020,51,0,0,51,+22,1.759
04-21-2020,73,0,0,73,+22,1.431
04-22-2020,86,0,0,86,+13,1.178
04-23-2020,246,0,0,246,+160,2.860
04-24-2020,246,0,0,246,+0,1.000
04-25-2020,332,0,0,332,+86,1.350
04-26-2020,403,0,0,403,+71,1.214
04-27-2020,459,0,0,459,+56,1.139
04-28-2020,608,0,0,608,+149,1.325
04-29-2020,608,0,0,608,+0,1.000
04-30-2020,656,1,0,655,+48,1.079
05-01-2020,942,1,0,941,+286,1.436
05-02-2020,942,1,0,941,+0,1.000
05-03-2020,980,1,0,979,+38,1.040
05-04-2020,980,1,0,979,+0,1.000
05-05-2020,980,1,0,979,+0,1.000
05-06-2020,980,1,0,979,+0,1.000
05-07-2020,1017,3,0,1014,+37,1.038
05-08-2020,1323,3,0,1320,+306,1.301
05-09-2020,1342,3,0,1339,+19,1.014
05-10-2020,1348,3,0,1345,+6,1.004
05-11-2020,1378,3,0,1375,+30,1.022
05-12-2020,1362,3,0,1359,+-16,0.988
05-13-2020,1376,3,0,1373,+14,1.010
05-14-2020,1412,3,0,1409,+36,1.026
05-15-2020,1444,3,0,1441,+32,1.023
05-16-2020,1454,3,0,1451,+10,1.007
05-17-2020,1458,3,0,1455,+4,1.003
05-18-2020,1476,3,0,1473,+18,1.012
05-19-2020,1476,3,0,1473,+0,1.000
05-20-2020,1475,15,0,1460,+-1,0.999
05-21-2020,1489,15,0,1474,+14,1.009
05-22-2020,1568,15,0,1553,+79,1.053
05-23-2020,1575,15,0,1560,+7,1.004
05-24-2020,1582,15,0,1567,+7,1.004
05-25-2020,1612,15,0,1597,+30,1.019
05-26-2020,1639,15,0,1624,+27,1.017
05-27-2020,1639,15,0,1624,+0,1.000
05-28-2020,1650,15,0,1635,+11,1.007
05-29-2020,1650,15,0,1635,+0,1.000
05-30-2020,1661,15,0,1646,+11,1.007
05-31-2020,1663,15,0,1648,+2,1.001
06-01-2020,1665,15,0,1650,+2,1.001
06-02-2020,1675,15,0,1660,+10,1.006
06-03-2020,1684,15,0,1669,+9,1.005
