Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,131,2,0,0,+0,0.000
03-23-2020,155,4,0,0,+24,1.183
03-24-2020,169,5,0,0,+14,1.090
03-25-2020,247,6,0,0,+78,1.462
03-26-2020,303,7,0,0,+56,1.227
03-27-2020,367,7,0,0,+64,1.211
03-28-2020,439,9,0,0,+72,1.196
03-29-2020,488,10,0,0,+49,1.112
03-30-2020,549,11,0,0,+61,1.125
03-31-2020,631,13,0,0,+82,1.149
04-01-2020,731,15,0,0,+100,1.158
04-02-2020,831,17,0,0,+100,1.137
04-03-2020,921,17,0,0,+90,1.108
04-04-2020,1105,18,0,0,+184,1.200
04-05-2020,1112,18,0,0,+7,1.006
04-06-2020,1155,18,0,0,+43,1.039
04-07-2020,1261,19,0,0,+106,1.092
04-08-2020,1324,20,0,0,+63,1.050
04-09-2020,1432,22,0,0,+108,1.082
04-10-2020,1537,25,0,0,+105,1.073
04-11-2020,1644,27,0,0,+107,1.070
04-12-2020,1723,31,0,1692,+79,1.048
04-13-2020,1788,32,0,1756,+65,1.038
04-14-2020,1877,42,0,1835,+89,1.050
04-15-2020,1986,43,0,1943,+109,1.058
04-16-2020,2066,50,0,2016,+80,1.040
04-17-2020,2190,55,0,2135,+124,1.060
04-18-2020,2324,60,0,2264,+134,1.061
04-19-2020,2428,60,0,2368,+104,1.045
04-20-2020,2512,60,0,2452,+84,1.035
04-21-2020,2512,60,0,2452,+0,1.000
04-22-2020,2683,65,0,2618,+171,1.068
04-23-2020,2763,72,0,2691,+80,1.030
04-24-2020,2834,77,0,2757,+71,1.026
04-25-2020,2909,81,0,2828,+75,1.026
04-26-2020,3014,82,0,2932,+105,1.036
04-27-2020,3014,82,0,2932,+0,1.000
04-28-2020,3240,94,0,3146,+226,1.075
04-29-2020,3240,94,0,3146,+0,1.000
04-30-2020,3531,104,0,3427,+291,1.090
05-01-2020,3718,106,0,3612,+187,1.053
05-02-2020,3899,110,0,3789,+181,1.049
05-03-2020,4133,111,0,4022,+234,1.060
05-04-2020,4370,114,0,4256,+237,1.057
05-05-2020,4623,121,0,4502,+253,1.058
05-06-2020,4869,123,0,4746,+246,1.053
05-07-2020,5120,125,0,4995,+251,1.052
05-08-2020,5369,135,0,5234,+249,1.049
05-09-2020,5619,143,0,5476,+250,1.047
05-10-2020,5870,143,0,5727,+251,1.045
05-11-2020,6123,145,0,5978,+253,1.043
05-12-2020,6123,145,0,5978,+0,1.000
05-13-2020,6602,153,0,6449,+479,1.078
05-14-2020,6837,159,0,6678,+235,1.036
05-15-2020,7036,164,0,6872,+199,1.029
05-16-2020,7250,170,0,7080,+214,1.030
05-17-2020,7455,176,0,7279,+205,1.028
05-18-2020,7679,177,0,7502,+224,1.030
05-19-2020,7904,191,0,7713,+225,1.029
05-20-2020,7904,191,0,7713,+0,1.000
05-21-2020,8273,203,0,8070,+369,1.047
05-22-2020,8477,207,0,8270,+204,1.025
05-23-2020,8649,210,0,8439,+172,1.020
05-24-2020,8827,211,0,8616,+178,1.021
05-25-2020,8998,211,0,8787,+171,1.019
05-26-2020,9188,213,0,8975,+190,1.021
05-27-2020,9385,221,0,9164,+197,1.021
05-28-2020,9587,222,0,9365,+202,1.022
05-29-2020,9787,223,0,9564,+200,1.021
05-30-2020,9787,223,0,9564,+0,1.000
05-31-2020,10234,229,0,10005,+447,1.046
06-01-2020,10462,229,0,10233,+228,1.022
06-02-2020,10719,245,0,10474,+257,1.025
06-03-2020,10958,249,0,10709,+239,1.022
