Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,1,0,0,0,+0,1.000
03-24-2020,4,0,0,0,+3,4.000
03-25-2020,10,0,0,0,+6,2.500
03-26-2020,13,0,0,0,+3,1.300
03-27-2020,18,0,0,0,+5,1.385
03-28-2020,23,0,0,0,+5,1.278
03-29-2020,35,0,0,0,+12,1.522
03-30-2020,36,0,0,0,+1,1.029
03-31-2020,45,1,0,0,+9,1.250
04-01-2020,59,1,0,0,+14,1.311
04-02-2020,67,1,0,0,+8,1.136
04-03-2020,79,1,0,0,+12,1.179
04-04-2020,99,1,0,0,+20,1.253
04-05-2020,118,1,0,0,+19,1.192
04-06-2020,132,1,0,0,+14,1.119
04-07-2020,155,1,0,0,+23,1.174
04-08-2020,168,2,0,0,+13,1.084
04-09-2020,180,2,0,0,+12,1.071
04-10-2020,199,2,0,0,+19,1.106
04-11-2020,213,3,0,0,+14,1.070
04-12-2020,229,4,0,225,+16,1.075
04-13-2020,240,4,0,236,+11,1.048
04-14-2020,249,5,0,244,+9,1.038
04-15-2020,271,5,0,266,+22,1.088
04-16-2020,287,7,0,280,+16,1.059
04-17-2020,311,7,0,304,+24,1.084
04-18-2020,343,9,0,334,+32,1.103
04-19-2020,368,9,0,359,+25,1.073
04-20-2020,386,9,0,377,+18,1.049
04-21-2020,400,11,0,389,+14,1.036
04-22-2020,422,13,0,409,+22,1.055
04-23-2020,445,16,0,429,+23,1.055
04-24-2020,468,19,0,449,+23,1.052
04-25-2020,492,18,0,474,+24,1.051
04-26-2020,519,18,0,501,+27,1.055
04-27-2020,529,21,0,508,+10,1.019
04-28-2020,553,20,0,533,+24,1.045
04-29-2020,558,21,0,537,+5,1.009
04-30-2020,584,25,0,559,+26,1.047
05-01-2020,601,25,0,576,+17,1.029
05-02-2020,617,25,0,592,+16,1.027
05-03-2020,634,28,0,606,+17,1.028
05-04-2020,652,28,0,624,+18,1.028
05-05-2020,695,29,0,666,+43,1.066
05-06-2020,711,29,0,682,+16,1.023
05-07-2020,735,33,0,702,+24,1.034
05-08-2020,764,37,0,727,+29,1.039
05-09-2020,797,36,0,761,+33,1.043
05-10-2020,823,36,0,787,+26,1.033
05-11-2020,830,36,0,794,+7,1.009
05-12-2020,851,38,0,813,+21,1.025
05-13-2020,871,39,0,832,+20,1.024
05-14-2020,895,40,0,855,+24,1.028
05-15-2020,912,41,0,871,+17,1.019
05-16-2020,938,39,0,899,+26,1.029
05-17-2020,963,39,0,924,+25,1.027
05-18-2020,978,50,0,928,+15,1.016
05-19-2020,989,50,0,939,+11,1.011
05-20-2020,1012,51,0,961,+23,1.023
05-21-2020,1034,52,0,982,+22,1.022
05-22-2020,1049,57,0,992,+15,1.015
05-23-2020,1061,62,0,999,+12,1.011
05-24-2020,1099,63,0,1036,+38,1.036
05-25-2020,1123,63,0,1060,+24,1.022
05-26-2020,1137,63,0,1074,+14,1.012
05-27-2020,1174,66,0,1108,+37,1.033
05-28-2020,1212,71,0,1141,+38,1.032
05-29-2020,1231,72,0,1159,+19,1.016
05-30-2020,1258,73,0,1185,+27,1.022
05-31-2020,1277,73,0,1204,+19,1.015
06-01-2020,1303,74,0,1229,+26,1.020
06-02-2020,1359,77,0,1282,+56,1.043
06-03-2020,1385,85,0,1300,+26,1.019
