Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,167,2,0,0,+0,0.000
03-23-2020,164,2,0,0,+-3,0.982
03-24-2020,253,2,0,0,+89,1.543
03-25-2020,257,2,0,0,+4,1.016
03-26-2020,293,2,0,0,+36,1.140
03-27-2020,312,2,0,0,+19,1.065
03-28-2020,376,2,0,0,+64,1.205
03-29-2020,394,2,0,0,+18,1.048
03-30-2020,443,3,0,0,+49,1.124
03-31-2020,541,3,0,0,+98,1.221
04-01-2020,673,4,0,0,+132,1.244
04-02-2020,785,5,0,0,+112,1.166
04-03-2020,685,6,0,0,+-100,0.873
04-04-2020,741,6,0,0,+56,1.082
04-05-2020,801,6,0,0,+60,1.081
04-06-2020,819,7,0,0,+18,1.022
04-07-2020,888,9,0,0,+69,1.084
04-08-2020,946,13,0,0,+58,1.065
04-09-2020,1004,13,0,0,+58,1.061
04-10-2020,1048,13,0,0,+44,1.044
04-11-2020,1111,13,0,0,+63,1.060
04-12-2020,1349,13,0,1336,+238,1.214
04-13-2020,1207,16,0,1191,+-142,0.895
04-14-2020,1237,18,0,1219,+30,1.025
04-15-2020,1237,18,0,1219,+0,1.000
04-16-2020,1492,19,0,1473,+255,1.206
04-17-2020,1307,19,0,1288,+-185,0.876
04-18-2020,1465,19,0,1446,+158,1.121
04-19-2020,1638,19,0,1619,+173,1.118
04-20-2020,1675,19,0,1656,+37,1.023
04-21-2020,1719,20,0,1699,+44,1.026
04-22-2020,1719,20,0,1699,+0,1.000
04-23-2020,1934,21,0,1913,+215,1.125
04-24-2020,2011,21,0,1990,+77,1.040
04-25-2020,2136,22,0,2114,+125,1.062
04-26-2020,2236,23,0,2213,+100,1.047
04-27-2020,2338,25,0,2313,+102,1.046
04-28-2020,2383,25,0,2358,+45,1.019
04-29-2020,2454,25,0,2429,+71,1.030
04-30-2020,2612,28,0,2584,+158,1.064
05-01-2020,2652,28,0,2624,+40,1.015
05-02-2020,2773,28,0,2745,+121,1.046
05-03-2020,2904,28,0,2876,+131,1.047
05-04-2020,2999,29,0,2970,+95,1.033
05-05-2020,3033,30,0,3003,+34,1.011
05-06-2020,3128,31,0,3097,+95,1.031
05-07-2020,3157,31,0,3126,+29,1.009
05-08-2020,3300,31,0,3269,+143,1.045
05-09-2020,3358,31,0,3327,+58,1.018
05-10-2020,3401,31,0,3370,+43,1.013
05-11-2020,3465,32,0,3433,+64,1.019
05-12-2020,3580,33,0,3547,+115,1.033
05-13-2020,3623,37,0,3586,+43,1.012
05-14-2020,3745,40,0,3705,+122,1.034
05-15-2020,3795,41,0,3754,+50,1.013
05-16-2020,3872,41,0,3831,+77,1.020
05-17-2020,3893,44,0,3849,+21,1.005
05-18-2020,4066,44,0,4022,+173,1.044
05-19-2020,4174,46,0,4128,+108,1.027
05-20-2020,4174,46,0,4128,+0,1.000
05-21-2020,4292,48,0,4244,+118,1.028
05-22-2020,4396,48,0,4348,+104,1.024
05-23-2020,4465,54,0,4411,+69,1.016
05-24-2020,4518,57,0,4461,+53,1.012
05-25-2020,4632,58,0,4574,+114,1.025
05-26-2020,4716,60,0,4656,+84,1.018
05-27-2020,4826,60,0,4766,+110,1.023
05-28-2020,4894,60,0,4834,+68,1.014
05-29-2020,4968,60,0,4908,+74,1.015
05-30-2020,5040,62,0,4978,+72,1.014
05-31-2020,5040,62,0,4978,+0,1.000
06-01-2020,5040,62,0,4978,+0,1.000
06-02-2020,5323,64,0,5259,+283,1.056
06-03-2020,5429,65,0,5364,+106,1.020
