Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,53,0,0,0,+0,0.000
03-23-2020,75,0,0,0,+22,1.415
03-24-2020,94,0,0,0,+19,1.253
03-25-2020,116,0,0,0,+22,1.234
03-26-2020,129,0,0,0,+13,1.112
03-27-2020,181,0,0,0,+52,1.403
03-28-2020,240,2,0,0,+59,1.326
03-29-2020,272,3,0,0,+32,1.133
03-30-2020,281,3,0,0,+9,1.033
03-31-2020,335,3,0,0,+54,1.192
04-01-2020,365,4,0,0,+30,1.090
04-02-2020,396,6,0,0,+31,1.085
04-03-2020,448,8,0,0,+52,1.131
04-04-2020,500,8,0,0,+52,1.116
04-05-2020,543,9,0,0,+43,1.086
04-06-2020,579,10,0,0,+36,1.066
04-07-2020,645,11,0,0,+66,1.114
04-08-2020,706,11,0,0,+61,1.095
04-09-2020,742,12,0,0,+36,1.051
04-10-2020,795,13,0,0,+53,1.071
04-11-2020,835,13,0,0,+40,1.050
04-12-2020,869,14,0,855,+34,1.041
04-13-2020,980,14,0,966,+111,1.128
04-14-2020,1144,15,0,1129,+164,1.167
04-15-2020,1191,15,0,1176,+47,1.041
04-16-2020,1247,18,0,1229,+56,1.047
04-17-2020,1349,23,0,1326,+102,1.082
04-18-2020,1396,24,0,1372,+47,1.035
04-19-2020,1452,24,0,1428,+56,1.040
04-20-2020,1521,27,0,1494,+69,1.048
04-21-2020,1534,29,0,1505,+13,1.009
04-22-2020,1609,31,0,1578,+75,1.049
04-23-2020,1689,34,0,1655,+80,1.050
04-24-2020,1721,36,0,1685,+32,1.019
04-25-2020,1788,36,0,1752,+67,1.039
04-26-2020,1800,36,0,1764,+12,1.007
04-27-2020,1855,42,0,1813,+55,1.031
04-28-2020,1887,43,0,1844,+32,1.017
04-29-2020,1970,46,0,1924,+83,1.044
04-30-2020,2026,47,0,1979,+56,1.028
05-01-2020,2072,49,0,2023,+46,1.023
05-02-2020,2148,52,0,2096,+76,1.037
05-03-2020,2183,53,0,2130,+35,1.016
05-04-2020,2259,57,0,2202,+76,1.035
05-05-2020,2284,59,0,2225,+25,1.011
05-06-2020,2357,61,0,2296,+73,1.032
05-07-2020,2396,62,0,2334,+39,1.017
05-08-2020,2445,69,0,2376,+49,1.020
05-09-2020,2489,69,0,2420,+44,1.018
05-10-2020,2535,69,0,2466,+46,1.018
05-11-2020,2555,71,0,2484,+20,1.008
05-12-2020,2605,72,0,2533,+50,1.020
05-13-2020,2632,73,0,2559,+27,1.010
05-14-2020,2664,75,0,2589,+32,1.012
05-15-2020,2751,80,0,2671,+87,1.033
05-16-2020,2800,81,0,2719,+49,1.018
05-17-2020,2802,82,0,2720,+2,1.001
05-18-2020,2856,86,0,2770,+54,1.019
05-19-2020,2918,87,0,2831,+62,1.022
05-20-2020,2979,88,0,2891,+61,1.021
05-21-2020,3038,96,0,2942,+59,1.020
05-22-2020,3080,100,0,2980,+42,1.014
05-23-2020,3146,102,0,3044,+66,1.021
05-24-2020,3257,102,0,3155,+111,1.035
05-25-2020,3305,104,0,3201,+48,1.015
05-26-2020,3421,107,0,3314,+116,1.035
05-27-2020,3573,111,0,3462,+152,1.044
05-28-2020,3635,112,0,3523,+62,1.017
05-29-2020,3718,112,0,3606,+83,1.023
05-30-2020,3731,112,0,3619,+13,1.003
05-31-2020,3734,120,0,3614,+3,1.001
06-01-2020,3795,121,0,3674,+61,1.016
06-02-2020,3803,121,0,3682,+8,1.002
06-03-2020,3874,122,0,3752,+71,1.019
