Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,43,0,0,0,+0,0.000
03-23-2020,54,0,0,0,+11,1.256
03-24-2020,84,0,0,0,+30,1.556
03-25-2020,101,2,0,0,+17,1.202
03-26-2020,156,2,0,0,+55,1.545
03-27-2020,185,3,0,0,+29,1.186
03-28-2020,226,4,0,0,+41,1.222
03-29-2020,276,4,0,0,+50,1.221
03-30-2020,303,4,0,0,+27,1.098
03-31-2020,338,5,0,0,+35,1.116
04-01-2020,390,7,0,0,+52,1.154
04-02-2020,470,8,0,0,+80,1.205
04-03-2020,542,10,0,0,+72,1.153
04-04-2020,616,13,0,0,+74,1.137
04-05-2020,708,14,0,0,+92,1.149
04-06-2020,822,15,0,0,+114,1.161
04-07-2020,898,20,0,0,+76,1.092
04-08-2020,1034,23,0,0,+136,1.151
04-09-2020,1222,26,0,0,+188,1.182
04-10-2020,1377,30,0,0,+155,1.127
