Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,30,0,0,0,+0,0.000
03-23-2020,30,0,0,0,+0,1.000
03-24-2020,38,0,0,0,+8,1.267
03-25-2020,51,0,0,0,+13,1.342
03-26-2020,83,1,0,0,+32,1.627
03-27-2020,137,1,0,0,+54,1.651
03-28-2020,148,2,0,0,+11,1.080
03-29-2020,165,2,0,0,+17,1.115
03-30-2020,165,2,0,0,+0,1.000
03-31-2020,206,4,0,0,+41,1.248
04-01-2020,206,4,0,0,+0,1.000
04-02-2020,254,5,0,0,+48,1.233
04-03-2020,273,6,0,0,+19,1.075
04-04-2020,273,6,0,0,+0,1.000
04-05-2020,304,7,0,0,+31,1.114
04-06-2020,337,7,0,0,+33,1.109
04-07-2020,366,7,0,0,+29,1.086
04-08-2020,366,7,0,0,+0,1.000
04-09-2020,426,7,0,0,+60,1.164
04-10-2020,426,9,0,0,+0,1.000
04-11-2020,454,10,0,0,+28,1.066
04-12-2020,474,13,0,461,+20,1.044
04-13-2020,507,13,0,494,+33,1.070
04-14-2020,507,13,0,494,+0,1.000
04-15-2020,521,14,0,507,+14,1.028
04-16-2020,547,14,0,533,+26,1.050
04-17-2020,564,15,0,549,+17,1.031
04-18-2020,585,15,0,570,+21,1.037
04-19-2020,592,16,0,576,+7,1.012
04-20-2020,593,16,0,577,+1,1.002
04-21-2020,598,17,0,581,+5,1.008
