Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,125,0,0,0,+0,0.000
03-23-2020,148,0,0,0,+23,1.184
03-24-2020,148,0,0,0,+0,1.000
03-25-2020,214,3,0,0,+66,1.446
03-26-2020,262,3,0,0,+48,1.224
03-27-2020,262,3,0,0,+0,1.000
03-28-2020,312,3,0,0,+50,1.191
03-29-2020,408,5,0,0,+96,1.308
03-30-2020,408,5,0,0,+0,1.000
03-31-2020,539,7,0,0,+131,1.321
04-01-2020,539,7,0,0,+0,1.000
04-02-2020,586,8,0,0,+47,1.087
04-03-2020,643,11,0,0,+57,1.097
04-04-2020,716,14,0,0,+73,1.114
04-05-2020,825,16,0,0,+109,1.152
04-06-2020,847,15,0,0,+22,1.027
04-07-2020,884,15,0,0,+37,1.044
04-08-2020,927,33,0,0,+43,1.049
04-09-2020,927,33,0,0,+0,1.000
04-10-2020,1031,33,0,0,+104,1.112
04-11-2020,1113,42,0,0,+82,1.080
04-12-2020,1247,46,0,1201,+134,1.120
04-13-2020,1346,51,0,1295,+99,1.079
04-14-2020,1402,56,0,1346,+56,1.042
04-15-2020,1402,56,0,1346,+0,1.000
04-16-2020,1468,61,0,1407,+66,1.047
04-17-2020,1549,63,0,1486,+81,1.055
04-18-2020,1636,66,0,1570,+87,1.056
04-19-2020,1784,75,0,1709,+148,1.090
04-20-2020,1784,75,0,1709,+0,1.000
04-21-2020,2004,91,0,1913,+220,1.123
