Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,52,6,0,0,+0,0.000
03-23-2020,64,6,0,0,+12,1.231
03-24-2020,90,6,0,0,+26,1.406
03-25-2020,109,6,0,0,+19,1.211
03-26-2020,156,6,0,0,+47,1.431
03-27-2020,193,12,0,0,+37,1.237
03-28-2020,205,13,0,0,+12,1.062
03-29-2020,239,17,0,0,+34,1.166
03-30-2020,267,17,0,0,+28,1.117
03-31-2020,462,18,0,0,+195,1.730
04-01-2020,480,27,0,0,+18,1.039
04-02-2020,507,29,0,0,+27,1.056
04-03-2020,560,30,0,0,+53,1.105
04-04-2020,636,30,0,0,+76,1.136
04-05-2020,686,30,0,0,+50,1.079
04-06-2020,716,31,0,0,+30,1.044
04-07-2020,939,52,0,0,+223,1.311
04-08-2020,986,61,0,0,+47,1.050
04-09-2020,1020,62,0,0,+34,1.034
04-10-2020,1062,67,0,0,+42,1.041
04-11-2020,1076,69,0,0,+14,1.013
04-12-2020,1154,72,0,1082,+78,1.072
04-13-2020,1217,77,0,1140,+63,1.055
04-14-2020,1297,78,0,1219,+80,1.066
04-15-2020,1308,83,0,1225,+11,1.008
04-16-2020,1338,83,0,1255,+30,1.023
04-17-2020,1381,91,0,1290,+43,1.032
04-18-2020,1406,91,0,1315,+25,1.018
04-19-2020,1422,94,0,1328,+16,1.011
04-20-2020,1436,98,0,1338,+14,1.010
04-21-2020,1446,103,0,1343,+10,1.007
04-22-2020,1479,107,0,1372,+33,1.023
04-23-2020,1478,109,0,1369,+-1,0.999
04-24-2020,1465,108,0,1357,+-13,0.991
04-25-2020,1470,108,0,1362,+5,1.003
04-26-2020,1470,108,0,1362,+0,1.000
04-27-2020,1480,114,0,1366,+10,1.007
04-28-2020,1491,118,0,1373,+11,1.007
04-29-2020,1499,120,0,1379,+8,1.005
04-30-2020,1505,120,0,1385,+6,1.004
05-01-2020,1530,123,0,1407,+25,1.017
05-02-2020,1534,124,0,1410,+4,1.003
05-03-2020,1536,124,0,1412,+2,1.001
05-04-2020,1543,125,0,1418,+7,1.005
05-05-2020,1550,126,0,1424,+7,1.005
05-06-2020,1555,126,0,1429,+5,1.003
05-07-2020,1566,126,0,1440,+11,1.007
05-08-2020,1583,126,0,1457,+17,1.011
05-09-2020,1587,126,0,1461,+4,1.003
05-10-2020,1593,126,0,1467,+6,1.004
05-11-2020,1609,128,0,1481,+16,1.010
05-12-2020,1643,129,0,1514,+34,1.021
05-13-2020,1644,130,0,1514,+1,1.001
05-14-2020,1643,132,0,1511,+-1,0.999
05-15-2020,1662,134,0,1528,+19,1.012
05-16-2020,1662,134,0,1528,+0,1.000
05-17-2020,1661,134,0,1527,+-1,0.999
05-18-2020,1664,135,0,1529,+3,1.002
05-19-2020,1668,139,0,1529,+4,1.002
05-20-2020,1672,139,0,1533,+4,1.002
05-21-2020,1716,138,0,1578,+44,1.026
05-22-2020,1723,138,0,1585,+7,1.004
05-23-2020,1725,139,0,1586,+2,1.001
05-24-2020,1727,139,0,1588,+2,1.001
05-25-2020,1730,140,0,1590,+3,1.002
05-26-2020,1774,142,0,1632,+44,1.025
05-27-2020,1784,144,0,1640,+10,1.006
05-28-2020,1764,144,0,1620,+-20,0.989
05-29-2020,1764,144,0,1620,+0,1.000
05-30-2020,1770,145,0,1625,+6,1.003
05-31-2020,1770,148,0,1622,+0,1.000
06-01-2020,1780,149,0,1631,+10,1.006
06-02-2020,1784,149,0,1635,+4,1.002
06-03-2020,1790,149,0,1641,+6,1.003
