Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,34,0,0,0,+0,0.000
03-23-2020,34,0,0,0,+0,1.000
03-24-2020,39,0,0,0,+5,1.147
03-25-2020,43,0,0,0,+4,1.103
03-26-2020,44,0,0,0,+1,1.023
03-27-2020,44,0,0,0,+0,1.000
03-28-2020,51,1,0,0,+7,1.159
03-29-2020,57,1,0,0,+6,1.118
03-30-2020,75,1,0,0,+18,1.316
03-31-2020,85,1,0,0,+10,1.133
04-01-2020,101,1,0,0,+16,1.188
04-02-2020,116,1,0,0,+15,1.149
04-03-2020,124,1,0,0,+8,1.069
04-04-2020,131,1,0,0,+7,1.056
04-05-2020,144,3,0,0,+13,1.099
04-06-2020,159,4,0,0,+15,1.104
04-07-2020,159,4,0,0,+0,1.000
04-08-2020,181,5,0,0,+22,1.138
04-09-2020,198,5,0,0,+17,1.094
04-10-2020,214,5,0,0,+16,1.081
04-11-2020,228,5,0,0,+14,1.065
04-12-2020,239,5,0,234,+11,1.048
04-13-2020,242,5,0,237,+3,1.013
04-14-2020,251,5,0,246,+9,1.037
04-15-2020,251,5,0,246,+0,1.000
04-16-2020,259,5,0,254,+8,1.032
04-17-2020,266,5,0,261,+7,1.027
04-18-2020,266,5,0,261,+0,1.000
04-19-2020,280,8,0,272,+14,1.053
04-20-2020,291,8,0,283,+11,1.039
04-21-2020,296,8,0,288,+5,1.017
04-22-2020,310,8,0,302,+14,1.047
04-23-2020,327,10,0,317,+17,1.055
04-24-2020,362,10,0,352,+35,1.107
04-25-2020,382,10,0,372,+20,1.055
04-26-2020,419,10,0,409,+37,1.097
04-27-2020,476,10,0,466,+57,1.136
04-28-2020,484,10,0,474,+8,1.017
04-29-2020,580,10,0,570,+96,1.198
04-30-2020,656,14,0,642,+76,1.131
05-01-2020,744,14,0,730,+88,1.134
05-02-2020,825,14,0,811,+81,1.109
05-03-2020,878,14,0,864,+53,1.064
05-04-2020,944,14,0,930,+66,1.075
05-05-2020,1049,14,0,1035,+105,1.111
05-06-2020,1113,14,0,1099,+64,1.061
05-07-2020,1221,14,0,1207,+108,1.097
05-08-2020,1342,14,0,1328,+121,1.099
05-09-2020,1501,14,0,1487,+159,1.118
05-10-2020,1551,14,0,1537,+50,1.033
05-11-2020,1616,14,0,1602,+65,1.042
05-12-2020,1668,14,0,1654,+52,1.032
05-13-2020,1779,14,0,1765,+111,1.067
05-14-2020,1960,14,0,1946,+181,1.102
05-15-2020,2093,14,0,2079,+133,1.068
05-16-2020,2305,14,0,2291,+212,1.101
05-17-2020,2362,14,0,2348,+57,1.025
05-18-2020,2446,14,0,2432,+84,1.036
05-19-2020,2583,14,0,2569,+137,1.056
05-20-2020,2692,23,0,2669,+109,1.042
05-21-2020,2798,23,0,2775,+106,1.039
05-22-2020,2881,23,0,2858,+83,1.030
05-23-2020,3024,23,0,3001,+143,1.050
05-24-2020,3094,23,0,3071,+70,1.023
05-25-2020,3186,23,0,3163,+92,1.030
05-26-2020,3329,23,0,3306,+143,1.045
05-27-2020,3583,23,0,3560,+254,1.076
05-28-2020,3736,23,0,3713,+153,1.043
05-29-2020,3955,23,0,3932,+219,1.059
05-30-2020,4073,23,0,4050,+118,1.030
05-31-2020,4198,23,0,4175,+125,1.031
06-01-2020,4331,23,0,4308,+133,1.032
06-02-2020,4476,23,0,4453,+145,1.033
06-03-2020,4640,23,0,4617,+164,1.037
