Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,79,0,0,0,+0,0.000
03-23-2020,95,0,0,0,+16,1.203
03-24-2020,103,0,0,0,+8,1.084
03-25-2020,131,0,0,0,+28,1.272
03-26-2020,131,1,0,0,+0,1.000
03-27-2020,199,6,0,0,+68,1.519
03-28-2020,202,6,0,0,+3,1.015
03-29-2020,274,7,0,0,+72,1.356
03-30-2020,320,8,0,0,+46,1.168
03-31-2020,356,10,0,0,+36,1.113
04-01-2020,392,12,0,0,+36,1.101
04-02-2020,448,14,0,0,+56,1.143
04-03-2020,500,16,0,0,+52,1.116
04-04-2020,590,18,0,0,+90,1.180
04-05-2020,656,22,0,0,+66,1.112
04-06-2020,715,22,0,0,+59,1.090
04-07-2020,715,22,0,0,+0,1.000
04-08-2020,875,30,0,0,+160,1.224
04-09-2020,875,30,0,0,+0,1.000
04-10-2020,1008,41,0,0,+133,1.152
04-11-2020,1048,46,0,0,+40,1.040
04-12-2020,1162,50,0,1112,+114,1.109
04-13-2020,1223,56,0,1167,+61,1.052
04-14-2020,1312,61,0,1251,+89,1.073
04-15-2020,1386,66,0,1320,+74,1.056
04-16-2020,1463,69,0,1394,+77,1.056
04-17-2020,1560,77,0,1483,+97,1.066
04-18-2020,1642,82,0,1560,+82,1.053
04-19-2020,1695,85,0,1610,+53,1.032
04-20-2020,1761,90,0,1671,+66,1.039
04-21-2020,1864,98,0,1766,+103,1.058
