Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,41,0,0,0,+0,0.000
03-23-2020,41,0,0,0,+0,1.000
03-24-2020,71,0,0,0,+30,1.732
03-25-2020,74,0,0,0,+3,1.042
03-26-2020,93,0,0,0,+19,1.257
03-27-2020,93,0,0,0,+0,1.000
03-28-2020,113,0,0,0,+20,1.215
03-29-2020,113,0,0,0,+0,1.000
03-30-2020,107,0,0,0,+-6,0.947
03-31-2020,122,0,0,0,+15,1.140
04-01-2020,126,0,0,0,+4,1.033
04-02-2020,147,0,0,0,+21,1.167
04-03-2020,159,0,0,0,+12,1.082
04-04-2020,182,1,0,0,+23,1.145
04-05-2020,186,1,0,0,+4,1.022
04-06-2020,191,1,0,0,+5,1.027
04-07-2020,219,1,0,0,+28,1.147
04-08-2020,236,1,0,0,+17,1.078
04-09-2020,243,1,0,0,+7,1.030
04-10-2020,259,1,0,0,+16,1.066
04-11-2020,275,1,0,0,+16,1.062
04-12-2020,278,1,0,277,+3,1.011
04-13-2020,290,1,0,289,+12,1.043
04-14-2020,324,1,0,323,+34,1.117
04-15-2020,349,2,0,347,+25,1.077
04-16-2020,376,2,0,374,+27,1.077
04-17-2020,388,4,0,384,+12,1.032
04-18-2020,399,4,0,395,+11,1.028
04-19-2020,409,5,0,404,+10,1.025
04-20-2020,435,5,0,430,+26,1.064
04-21-2020,439,6,0,433,+4,1.009
04-22-2020,439,6,0,433,+0,1.000
04-23-2020,500,9,0,491,+61,1.139
04-24-2020,541,9,0,532,+41,1.082
04-25-2020,546,11,0,535,+5,1.009
04-26-2020,555,15,0,540,+9,1.016
04-27-2020,555,15,0,540,+0,1.000
04-28-2020,712,17,0,695,+157,1.283
04-29-2020,724,20,0,704,+12,1.017
04-30-2020,733,21,0,712,+9,1.012
05-01-2020,741,23,0,718,+8,1.011
05-02-2020,755,23,0,732,+14,1.019
05-03-2020,767,24,0,743,+12,1.016
05-04-2020,767,24,0,743,+0,1.000
05-05-2020,800,28,0,772,+33,1.043
05-06-2020,818,30,0,788,+18,1.022
05-07-2020,841,30,0,811,+23,1.028
05-08-2020,872,31,0,841,+31,1.037
05-09-2020,876,32,0,844,+4,1.005
05-10-2020,886,34,0,852,+10,1.011
05-11-2020,886,34,0,852,+0,1.000
05-12-2020,914,37,0,877,+28,1.032
05-13-2020,932,37,0,895,+18,1.020
05-14-2020,949,37,0,912,+17,1.018
05-15-2020,968,37,0,931,+19,1.020
05-16-2020,980,37,0,943,+12,1.012
05-17-2020,1000,39,0,961,+20,1.020
05-18-2020,1009,39,0,970,+9,1.009
05-19-2020,1040,39,0,1001,+31,1.031
05-20-2020,1105,41,0,1064,+65,1.062
05-21-2020,1131,43,0,1088,+26,1.024
05-22-2020,1216,44,0,1172,+85,1.075
05-23-2020,1230,44,0,1186,+14,1.012
05-24-2020,1262,44,0,1218,+32,1.026
05-25-2020,1312,44,0,1268,+50,1.040
05-26-2020,1353,45,0,1308,+41,1.031
05-27-2020,1379,46,0,1333,+26,1.019
05-28-2020,1411,46,0,1365,+32,1.023
05-29-2020,1441,47,0,1394,+30,1.021
05-30-2020,1552,47,0,1505,+111,1.077
05-31-2020,1615,47,0,1568,+63,1.041
06-01-2020,1677,47,0,1630,+62,1.038
06-02-2020,1706,47,0,1659,+29,1.017
06-03-2020,1828,49,0,1779,+122,1.072
