Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,82,0,0,0,+0,0.000
03-23-2020,100,1,0,0,+18,1.220
03-24-2020,124,1,0,0,+24,1.240
03-25-2020,153,1,0,0,+29,1.234
03-26-2020,190,1,0,0,+37,1.242
03-27-2020,225,1,0,0,+35,1.184
03-28-2020,262,2,0,0,+37,1.164
03-29-2020,320,2,0,0,+58,1.221
03-30-2020,392,2,0,0,+72,1.225
03-31-2020,484,3,0,0,+92,1.235
04-01-2020,547,4,0,0,+63,1.130
04-02-2020,667,5,0,0,+120,1.219
04-03-2020,809,5,0,0,+142,1.213
04-04-2020,938,5,0,0,+129,1.159
04-05-2020,1077,8,0,0,+139,1.148
04-06-2020,1189,9,0,0,+112,1.104
04-07-2020,1249,9,0,0,+60,1.050
04-08-2020,1395,10,0,0,+146,1.117
04-09-2020,1493,10,0,0,+98,1.070
04-10-2020,1598,10,0,0,+105,1.070
04-11-2020,1744,11,0,0,+146,1.091
04-12-2020,1838,12,0,1826,+94,1.054
04-13-2020,1881,13,0,1868,+43,1.023
04-14-2020,1934,17,0,1917,+53,1.028
04-15-2020,2048,18,0,2030,+114,1.059
04-16-2020,2085,19,0,2066,+37,1.018
04-17-2020,2142,19,0,2123,+57,1.027
04-18-2020,2201,26,0,2175,+59,1.028
04-19-2020,2240,28,0,2212,+39,1.018
04-20-2020,2284,28,0,2256,+44,1.020
04-21-2020,2331,28,0,2303,+47,1.021
04-22-2020,2391,28,0,2363,+60,1.026
04-23-2020,2460,35,0,2425,+69,1.029
04-24-2020,2517,35,0,2482,+57,1.023
04-25-2020,2660,35,0,2625,+143,1.057
04-26-2020,2729,35,0,2694,+69,1.026
04-27-2020,2793,36,0,2757,+64,1.023
04-28-2020,2817,36,0,2781,+24,1.009
04-29-2020,2881,36,0,2845,+64,1.023
04-30-2020,2954,37,0,2917,+73,1.025
05-01-2020,3002,37,0,2965,+48,1.016
05-02-2020,3049,37,0,3012,+47,1.016
05-03-2020,3086,37,0,3049,+37,1.012
05-04-2020,3131,40,0,3091,+45,1.015
05-05-2020,3151,40,0,3111,+20,1.006
05-06-2020,3192,40,0,3152,+41,1.013
05-07-2020,3233,40,0,3193,+41,1.013
05-08-2020,3277,96,0,3181,+44,1.014
05-09-2020,3319,98,0,3221,+42,1.013
05-10-2020,3359,98,0,3261,+40,1.012
05-11-2020,3378,98,0,3280,+19,1.006
05-12-2020,3399,103,0,3296,+21,1.006
05-13-2020,3429,108,0,3321,+30,1.009
05-14-2020,3474,114,0,3360,+45,1.013
05-15-2020,3498,117,0,3381,+24,1.007
05-16-2020,3527,120,0,3407,+29,1.008
05-17-2020,3543,120,0,3423,+16,1.005
05-18-2020,3552,120,0,3432,+9,1.003
05-19-2020,3710,126,0,3584,+158,1.044
05-20-2020,3724,126,0,3598,+14,1.004
05-21-2020,3745,126,0,3619,+21,1.006
05-22-2020,3767,126,0,3641,+22,1.006
05-23-2020,3793,133,0,3660,+26,1.007
05-24-2020,3807,133,0,3674,+14,1.004
05-25-2020,3825,137,0,3688,+18,1.005
05-26-2020,3834,137,0,3697,+9,1.002
05-27-2020,3847,138,0,3709,+13,1.003
05-28-2020,3867,138,0,3729,+20,1.005
05-29-2020,3887,139,0,3748,+20,1.005
05-30-2020,3899,139,0,3760,+12,1.003
05-31-2020,3909,139,0,3770,+10,1.003
06-01-2020,3924,142,0,3782,+15,1.004
06-02-2020,3936,142,0,3794,+12,1.003
06-03-2020,3951,142,0,3809,+15,1.004
