Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,39,1,0,0,+0,0.000
03-23-2020,50,1,0,0,+11,1.282
03-24-2020,50,1,0,0,+0,1.000
03-25-2020,56,3,0,0,+6,1.120
03-26-2020,74,3,0,0,+18,1.321
03-27-2020,90,3,0,0,+16,1.216
03-28-2020,115,3,0,0,+25,1.278
03-29-2020,125,3,0,0,+10,1.087
03-30-2020,158,3,0,0,+33,1.264
03-31-2020,207,4,0,0,+49,1.310
04-01-2020,218,4,0,0,+11,1.053
04-02-2020,286,9,0,0,+68,1.312
04-03-2020,323,9,0,0,+37,1.129
04-04-2020,387,9,0,0,+64,1.198
04-05-2020,413,9,0,0,+26,1.067
04-06-2020,475,9,0,0,+62,1.150
04-07-2020,521,9,0,0,+46,1.097
04-08-2020,549,10,0,0,+28,1.054
04-09-2020,589,11,0,0,+40,1.073
04-10-2020,609,11,0,0,+20,1.034
04-11-2020,635,11,0,0,+26,1.043
04-12-2020,668,13,0,655,+33,1.052
04-13-2020,691,13,0,678,+23,1.034
04-14-2020,718,13,0,705,+27,1.039
04-15-2020,745,14,0,731,+27,1.038
04-16-2020,776,14,0,762,+31,1.042
04-17-2020,817,15,0,802,+41,1.053
04-18-2020,835,15,0,820,+18,1.022
04-19-2020,854,15,0,839,+19,1.023
04-20-2020,896,16,0,880,+42,1.049
04-21-2020,909,17,0,892,+13,1.015
04-22-2020,925,17,0,908,+16,1.018
04-23-2020,956,17,0,939,+31,1.034
04-24-2020,955,18,0,937,+-1,0.999
04-25-2020,965,18,0,947,+10,1.010
04-26-2020,984,18,0,966,+19,1.020
04-27-2020,990,19,0,971,+6,1.006
04-28-2020,1001,20,0,981,+11,1.011
04-29-2020,1007,20,0,987,+6,1.006
04-30-2020,1012,20,0,992,+5,1.005
05-01-2020,1025,22,0,1003,+13,1.013
05-02-2020,1038,23,0,1015,+13,1.013
05-03-2020,1045,24,0,1021,+7,1.007
05-04-2020,1072,26,0,1046,+27,1.026
05-05-2020,1084,26,0,1058,+12,1.011
05-06-2020,1077,26,0,1051,+-7,0.994
05-07-2020,1083,28,0,1055,+6,1.006
05-08-2020,1088,29,0,1059,+5,1.005
05-09-2020,1134,29,0,1105,+46,1.042
05-10-2020,1164,29,0,1135,+30,1.026
05-11-2020,1171,29,0,1142,+7,1.006
05-12-2020,1186,29,0,1157,+15,1.013
05-13-2020,1199,32,0,1167,+13,1.011
05-14-2020,1215,32,0,1183,+16,1.013
05-15-2020,1252,32,0,1220,+37,1.030
05-16-2020,1259,34,0,1225,+7,1.006
05-17-2020,1284,35,0,1249,+25,1.020
05-18-2020,1300,35,0,1265,+16,1.012
05-19-2020,1318,36,0,1282,+18,1.014
05-20-2020,1336,36,0,1300,+18,1.014
05-21-2020,1355,37,0,1318,+19,1.014
05-22-2020,1376,41,0,1335,+21,1.015
05-23-2020,1406,41,0,1365,+30,1.022
05-24-2020,1439,41,0,1398,+33,1.023
05-25-2020,1467,43,0,1424,+28,1.019
05-26-2020,1484,44,0,1440,+17,1.012
05-27-2020,1507,46,0,1461,+23,1.015
05-28-2020,1523,46,0,1477,+16,1.011
05-29-2020,1561,47,0,1514,+38,1.025
05-30-2020,1608,48,0,1560,+47,1.030
05-31-2020,1644,50,0,1594,+36,1.022
06-01-2020,1654,51,0,1603,+10,1.006
06-02-2020,1660,51,0,1609,+6,1.004
06-03-2020,1669,51,0,1618,+9,1.005
