Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,51,3,0,0,+0,0.000
03-23-2020,69,3,0,0,+18,1.353
03-24-2020,69,4,0,0,+0,1.000
03-25-2020,122,5,0,0,+53,1.768
03-26-2020,137,5,0,0,+15,1.123
03-27-2020,137,5,0,0,+0,1.000
03-28-2020,160,7,0,0,+23,1.168
03-29-2020,214,11,0,0,+54,1.337
03-30-2020,214,11,0,0,+0,1.000
03-31-2020,286,13,0,0,+72,1.336
04-01-2020,286,13,0,0,+0,1.000
04-02-2020,314,14,0,0,+28,1.098
04-03-2020,340,16,0,0,+26,1.083
04-04-2020,374,18,0,0,+34,1.100
04-05-2020,435,25,0,0,+61,1.163
04-06-2020,441,28,0,0,+6,1.014
04-07-2020,457,28,0,0,+16,1.036
04-08-2020,472,30,0,0,+15,1.033
04-09-2020,472,30,0,0,+0,1.000
04-10-2020,534,30,0,0,+62,1.131
04-11-2020,550,33,0,0,+16,1.030
04-12-2020,613,37,0,576,+63,1.115
04-13-2020,641,39,0,602,+28,1.046
04-14-2020,652,41,0,611,+11,1.017
04-15-2020,652,41,0,611,+0,1.000
04-16-2020,668,43,0,625,+16,1.025
04-17-2020,689,48,0,641,+21,1.031
04-18-2020,708,49,0,659,+19,1.028
04-19-2020,731,49,0,682,+23,1.032
04-20-2020,731,49,0,682,+0,1.000
04-21-2020,744,53,0,691,+13,1.018
04-22-2020,774,54,0,720,+30,1.040
04-23-2020,798,55,0,743,+24,1.031
04-24-2020,853,72,0,781,+55,1.069
04-25-2020,862,72,0,790,+9,1.011
04-26-2020,867,72,0,795,+5,1.006
04-27-2020,879,68,0,811,+12,1.014
04-28-2020,884,69,0,815,+5,1.006
04-29-2020,907,69,0,838,+23,1.026
04-30-2020,932,70,0,862,+25,1.028
05-01-2020,964,71,0,893,+32,1.034
05-02-2020,988,74,0,914,+24,1.025
05-03-2020,994,75,0,919,+6,1.006
05-04-2020,1005,76,0,929,+11,1.011
05-05-2020,1028,78,0,950,+23,1.023
05-06-2020,1055,77,0,978,+27,1.026
05-07-2020,1079,77,0,1002,+24,1.023
05-08-2020,1097,78,0,1019,+18,1.017
05-09-2020,1109,78,0,1031,+12,1.011
05-10-2020,1124,78,0,1046,+15,1.014
05-11-2020,1137,79,0,1058,+13,1.012
05-12-2020,1157,81,0,1076,+20,1.018
05-13-2020,1175,81,0,1094,+18,1.016
05-14-2020,1204,81,0,1123,+29,1.025
05-15-2020,1251,83,0,1168,+47,1.039
05-16-2020,1291,83,0,1208,+40,1.032
05-17-2020,1314,83,0,1231,+23,1.018
05-18-2020,1348,83,0,1265,+34,1.026
05-19-2020,1357,84,0,1273,+9,1.007
05-20-2020,1386,88,0,1298,+29,1.021
05-21-2020,1428,88,0,1340,+42,1.030
05-22-2020,1460,88,0,1372,+32,1.022
05-23-2020,1493,88,0,1405,+33,1.023
05-24-2020,1505,89,0,1416,+12,1.008
05-25-2020,1535,89,0,1446,+30,1.020
05-26-2020,1581,89,0,1492,+46,1.030
05-27-2020,1600,88,0,1512,+19,1.012
05-28-2020,1636,88,0,1548,+36,1.022
05-29-2020,1674,88,0,1586,+38,1.023
05-30-2020,1717,88,0,1629,+43,1.026
05-31-2020,1732,88,0,1644,+15,1.009
06-01-2020,1748,89,0,1659,+16,1.009
06-02-2020,1761,95,0,1666,+13,1.007
06-03-2020,1778,96,0,1682,+17,1.010
