Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,7,0,0,0,+0,0.000
03-23-2020,9,0,0,0,+2,1.286
03-24-2020,10,0,0,0,+1,1.111
03-25-2020,16,0,0,0,+6,1.600
03-26-2020,28,0,0,0,+12,1.750
03-27-2020,28,0,0,0,+0,1.000
03-28-2020,38,0,0,0,+10,1.357
03-29-2020,42,0,0,0,+4,1.105
03-30-2020,40,0,0,0,+-2,0.952
03-31-2020,53,0,0,0,+13,1.325
04-01-2020,57,0,0,0,+4,1.075
04-02-2020,75,0,0,0,+18,1.316
04-03-2020,85,0,0,0,+10,1.133
04-04-2020,103,0,0,0,+18,1.212
04-05-2020,113,0,0,0,+10,1.097
04-06-2020,132,0,0,0,+19,1.168
04-07-2020,132,0,0,0,+0,1.000
04-08-2020,153,0,0,0,+21,1.159
04-09-2020,192,0,0,0,+39,1.255
04-10-2020,225,1,0,0,+33,1.172
04-11-2020,252,2,0,0,+27,1.120
04-12-2020,269,2,0,267,+17,1.067
04-13-2020,292,2,0,290,+23,1.086
04-14-2020,300,2,0,298,+8,1.027
04-15-2020,346,4,0,342,+46,1.153
04-16-2020,393,6,0,387,+47,1.136
04-17-2020,451,7,0,444,+58,1.148
04-18-2020,482,7,0,475,+31,1.069
04-19-2020,505,8,0,497,+23,1.048
04-20-2020,531,8,0,523,+26,1.051
04-21-2020,540,9,0,531,+9,1.017
04-22-2020,587,9,0,578,+47,1.087
04-23-2020,674,10,0,664,+87,1.148
04-24-2020,706,10,0,696,+32,1.047
04-25-2020,706,10,0,696,+0,1.000
04-26-2020,780,12,0,768,+74,1.105
04-27-2020,802,12,0,790,+22,1.028
04-28-2020,829,12,0,817,+27,1.034
04-29-2020,857,14,0,843,+28,1.034
04-30-2020,887,18,0,869,+30,1.035
05-01-2020,924,21,0,903,+37,1.042
05-02-2020,961,22,0,939,+37,1.040
05-03-2020,986,22,0,964,+25,1.026
05-04-2020,998,22,0,976,+12,1.012
05-05-2020,1029,22,0,1007,+31,1.031
05-06-2020,1080,22,0,1058,+51,1.050
05-07-2020,1119,23,0,1096,+39,1.036
05-08-2020,1190,30,0,1160,+71,1.063
05-09-2020,1276,32,0,1244,+86,1.072
05-10-2020,1322,32,0,1290,+46,1.036
05-11-2020,1340,33,0,1307,+18,1.014
05-12-2020,1348,33,0,1315,+8,1.006
05-13-2020,1413,33,0,1380,+65,1.048
05-14-2020,1456,41,0,1415,+43,1.030
05-15-2020,1607,43,0,1564,+151,1.104
05-16-2020,1655,45,0,1610,+48,1.030
05-17-2020,1726,46,0,1680,+71,1.043
05-18-2020,1772,47,0,1725,+46,1.027
05-19-2020,1852,52,0,1800,+80,1.045
05-20-2020,1930,54,0,1876,+78,1.042
05-21-2020,2046,57,0,1989,+116,1.060
05-22-2020,2046,57,0,1989,+0,1.000
05-23-2020,2265,57,0,2208,+219,1.107
05-24-2020,2340,58,0,2282,+75,1.033
05-25-2020,2376,58,0,2318,+36,1.015
05-26-2020,2393,60,0,2333,+17,1.007
05-27-2020,2461,68,0,2393,+68,1.028
05-28-2020,2569,72,0,2497,+108,1.044
05-29-2020,2569,72,0,2497,+0,1.000
05-30-2020,2704,78,0,2626,+135,1.053
05-31-2020,2764,78,0,2686,+60,1.022
06-01-2020,2794,80,0,2714,+30,1.011
06-02-2020,2833,83,0,2750,+39,1.014
06-03-2020,2872,88,0,2784,+39,1.014
