Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,4,0,0,0,+0,0.000
03-23-2020,4,0,0,0,+0,1.000
03-24-2020,4,0,0,0,+0,1.000
03-25-2020,5,0,0,0,+1,1.250
03-26-2020,7,0,0,0,+2,1.400
03-27-2020,9,0,0,0,+2,1.286
03-28-2020,11,0,0,0,+2,1.222
03-29-2020,12,0,0,0,+1,1.091
03-30-2020,12,0,0,0,+0,1.000
03-31-2020,20,1,0,0,+8,1.667
04-01-2020,23,2,0,0,+3,1.150
04-02-2020,27,3,0,0,+4,1.174
04-03-2020,29,3,0,0,+2,1.074
04-04-2020,31,3,0,0,+2,1.069
04-05-2020,35,3,0,0,+4,1.129
04-06-2020,36,3,0,0,+1,1.029
04-07-2020,43,3,0,0,+7,1.194
04-08-2020,46,3,0,0,+3,1.070
04-09-2020,56,3,0,0,+10,1.217
04-10-2020,61,3,0,0,+5,1.089
04-11-2020,71,3,0,0,+10,1.164
04-12-2020,83,3,0,80,+12,1.169
04-13-2020,89,3,0,86,+6,1.072
04-14-2020,100,3,0,97,+11,1.124
04-15-2020,105,3,0,102,+5,1.050
04-16-2020,123,3,0,120,+18,1.171
04-17-2020,130,3,0,127,+7,1.057
04-18-2020,148,3,0,145,+18,1.138
04-19-2020,152,3,0,149,+4,1.027
04-20-2020,164,3,0,161,+12,1.079
04-21-2020,179,3,0,176,+15,1.091
04-22-2020,185,3,0,182,+6,1.034
04-23-2020,196,4,0,192,+11,1.059
04-24-2020,211,4,0,207,+15,1.077
04-25-2020,238,4,0,234,+27,1.128
04-26-2020,245,4,0,241,+7,1.029
04-27-2020,247,5,0,242,+2,1.008
04-28-2020,269,7,0,262,+22,1.089
04-29-2020,281,7,0,274,+12,1.045
04-30-2020,287,7,0,280,+6,1.021
05-01-2020,293,9,0,284,+6,1.021
05-02-2020,295,9,0,286,+2,1.007
05-03-2020,311,12,0,299,+16,1.054
05-04-2020,321,13,0,308,+10,1.032
05-05-2020,342,13,0,329,+21,1.065
05-06-2020,361,16,0,345,+19,1.056
05-07-2020,387,16,0,371,+26,1.072
05-08-2020,410,16,0,394,+23,1.059
05-09-2020,436,18,0,418,+26,1.063
05-10-2020,484,18,0,466,+48,1.110
05-11-2020,494,18,0,476,+10,1.021
05-12-2020,525,21,0,504,+31,1.063
05-13-2020,549,21,0,528,+24,1.046
05-14-2020,589,22,0,567,+40,1.073
05-15-2020,609,22,0,587,+20,1.034
05-16-2020,638,23,0,615,+29,1.048
05-17-2020,668,23,0,645,+30,1.047
05-18-2020,687,23,0,664,+19,1.028
05-19-2020,733,24,0,709,+46,1.067
05-20-2020,777,26,0,751,+44,1.060
05-21-2020,844,27,0,817,+67,1.086
05-22-2020,903,27,0,876,+59,1.070
05-23-2020,938,27,0,911,+35,1.039
05-24-2020,991,27,0,964,+53,1.057
05-25-2020,1008,27,0,981,+17,1.017
05-26-2020,1057,28,0,1029,+49,1.049
05-27-2020,1070,28,0,1042,+13,1.012
05-28-2020,1101,28,0,1073,+31,1.029
05-29-2020,1163,28,0,1135,+62,1.056
05-30-2020,1262,28,0,1234,+99,1.085
05-31-2020,1322,28,0,1294,+60,1.048
06-01-2020,1322,28,0,1294,+0,1.000
06-02-2020,1384,28,0,1356,+62,1.047
06-03-2020,1435,29,0,1406,+51,1.037
